condition,axe_transport,variante,jeu_items,mesure,lambda_median,ratio_inter,inter_ic_bas,inter_ic_haut,ratio_intra,intra_ic_bas,intra_ic_haut,ratio_total,exactitude,exact_ic_bas,exact_ic_haut,delta_exactitude,delta_ic_bas,delta_ic_haut,diversite_conservee,accord_paires,part_changee,un_dans_ic_inter
agents demographiques (v8),political_ideology,informee,149 items,entropie,0.30,0.9075,0.8001,1.0204,0.7965,0.7866,0.8071,0.8016,0.5249,0.5207,0.5290,-0.0343,-0.0375,-0.0311,0.8016,0.5811,0.1800,oui
agents demographiques (v8),political_ideology,informee,149 items,gini_simpson,0.30,0.9774,0.8613,1.1110,0.8176,0.8065,0.8292,0.8256,0.5249,0.5207,0.5290,-0.0343,-0.0375,-0.0311,0.8016,0.5811,0.1800,oui
agents demographiques (v8),political_ideology,informee,70 items ordinaux,entropie,0.30,1.1166,0.9778,1.2547,0.8168,0.8052,0.8281,0.8300,0.5249,0.5207,0.5290,-0.0343,-0.0375,-0.0311,0.8016,0.5811,0.1800,oui
agents demographiques (v8),political_ideology,informee,70 items ordinaux,gini_simpson,0.30,1.2622,1.1012,1.4355,0.8295,0.8181,0.8409,0.8484,0.5249,0.5207,0.5290,-0.0343,-0.0375,-0.0311,0.8016,0.5811,0.1800,non
agents demographiques (v8),political_ideology,informee,70 items ordinaux,variance_ordinale,0.30,0.9305,0.7928,1.0601,0.9562,0.9303,0.9822,0.9539,0.5249,0.5207,0.5290,-0.0343,-0.0375,-0.0311,0.8016,0.5811,0.1800,oui
agents demographiques (v8),political_ideology,naive,149 items,entropie,0.30,0.9075,0.8246,0.9907,0.7965,0.7885,0.8044,0.8016,0.5205,0.5170,0.5241,-0.0386,-0.0415,-0.0359,0.8016,0.5811,0.1800,non
agents demographiques (v8),political_ideology,naive,149 items,gini_simpson,0.30,0.9774,0.8913,1.0768,0.8176,0.8086,0.8262,0.8256,0.5205,0.5170,0.5241,-0.0386,-0.0415,-0.0359,0.8016,0.5811,0.1800,oui
agents demographiques (v8),political_ideology,naive,70 items ordinaux,entropie,0.30,1.1166,1.0054,1.2404,0.8168,0.8076,0.8247,0.8300,0.5205,0.5170,0.5241,-0.0386,-0.0415,-0.0359,0.8016,0.5811,0.1800,non
agents demographiques (v8),political_ideology,naive,70 items ordinaux,gini_simpson,0.30,1.2622,1.1465,1.4117,0.8295,0.8206,0.8381,0.8484,0.5205,0.5170,0.5241,-0.0386,-0.0415,-0.0359,0.8016,0.5811,0.1800,non
agents demographiques (v8),political_ideology,naive,70 items ordinaux,variance_ordinale,0.30,0.9305,0.8202,1.0439,0.9562,0.9348,0.9790,0.9539,0.5205,0.5170,0.5241,-0.0386,-0.0415,-0.0359,0.8016,0.5811,0.1800,oui
agents demographiques (v8),profil croise,dilatation,149 items,entropie,0.60,1.9702,1.8134,2.1170,0.9830,0.9697,0.9990,1.0343,0.4962,0.4915,0.5007,-0.0630,-0.0663,-0.0597,1.0346,0.4579,0.1800,non
agents demographiques (v8),profil croise,dilatation,149 items,gini_simpson,0.60,2.3412,2.1464,2.5366,0.9957,0.9814,1.0123,1.0685,0.4962,0.4915,0.5007,-0.0630,-0.0663,-0.0597,1.0346,0.4579,0.1800,non
agents demographiques (v8),profil croise,dilatation,70 items ordinaux,entropie,0.60,2.4950,2.2973,2.6836,0.9314,0.9174,0.9464,1.0042,0.4962,0.4915,0.5007,-0.0630,-0.0663,-0.0597,1.0346,0.4579,0.1800,non
agents demographiques (v8),profil croise,dilatation,70 items ordinaux,gini_simpson,0.60,3.0521,2.7930,3.3060,0.9237,0.9092,0.9388,1.0177,0.4962,0.4915,0.5007,-0.0630,-0.0663,-0.0597,1.0346,0.4579,0.1800,non
