item,panel,paire,ecart_annees,n_personnes,n_changeurs,taux_changement,derive_nette_tv,part_dirigee,n_monotone,n_contraire,n_indetermine,part_monotone_du_changement,part_contraire_du_changement,perimetre
letdie1,2006-2010,2006-2010,4,785,155,0.19745222929936307,0.019108280254777066,0.09677419354838707,85,70,0,0.5483870967741935,0.45161290322580644,4 ans
suicide1,2006-2010,2006-2010,4,784,174,0.22193877551020408,0.06632653061224489,0.29885057471264365,113,61,0,0.6494252873563219,0.3505747126436782,4 ans
suicide2,2006-2010,2006-2010,4,821,84,0.1023142509135201,0.009744214372716213,0.09523809523809536,46,38,0,0.5476190476190477,0.4523809523809524,4 ans
suicide3,2006-2010,2006-2010,4,818,83,0.10146699266503667,0.018337408312958464,0.18072289156626536,49,34,0,0.5903614457831325,0.40963855421686746,4 ans
suicide4,2006-2010,2006-2010,4,802,119,0.1483790523690773,0.008728179551122178,0.058823529411764594,63,56,0,0.5294117647058824,0.47058823529411764,4 ans
pornlaw,2006-2010,2006-2010,4,830,199,0.2397590361445783,0.027710843373493943,0.11557788944723604,93,90,16,0.46733668341708545,0.45226130653266333,4 ans
fair,2006-2010,2006-2010,4,833,290,0.34813925570228094,0.07202881152460983,0.20689655172413787,146,86,58,0.503448275862069,0.296551724137931,4 ans
helpful,2006-2010,2006-2010,4,834,294,0.35251798561151076,0.0695443645083933,0.1972789115646259,149,91,54,0.5068027210884354,0.30952380952380953,4 ans
trust,2006-2010,2006-2010,4,1049,329,0.3136320305052431,0.06387035271687323,0.20364741641337394,166,99,64,0.5045592705167173,0.3009118541033435,4 ans
tax,2006-2010,2006-2010,4,838,246,0.2935560859188544,0.06443914081145583,0.21951219512195116,147,93,6,0.5975609756097561,0.3780487804878049,4 ans
news,2006-2010,2006-2010,4,840,431,0.513095238095238,0.0654761904761905,0.12761020881670537,93,73,265,0.21577726218097448,0.16937354988399073,4 ans
attend,2006-2010,2006-2010,4,1270,736,0.5795275590551181,0.03307086614173231,0.05706521739130439,206,191,339,0.2798913043478261,0.2595108695652174,4 ans
pray,2006-2010,2006-2010,4,1258,604,0.48012718600953896,0.02702702702702704,0.056291390728476845,230,196,178,0.38079470198675497,0.32450331125827814,4 ans
postlife,2006-2010,2006-2010,4,1053,99,0.09401709401709402,0.0009496676163342904,0.01010101010101018,0,49,50,0.0,0.494949494949495,4 ans
bible,2006-2010,2006-2010,4,1244,380,0.3054662379421222,0.02090032154340833,0.06842105263157885,21,162,197,0.05526315789473684,0.4263157894736842,4 ans
reborn,2006-2010,2006-2010,4,1257,192,0.15274463007159905,0.022275258552108157,0.1458333333333331,110,82,0,0.5729166666666666,0.4270833333333333,4 ans
savesoul,2006-2010,2006-2010,4,1263,227,0.17973079968329375,0.011876484560570083,0.06607929515418509,121,106,0,0.5330396475770925,0.4669603524229075,4 ans
income,2006-2010,2006-2010,4,1035,291,0.2811594202898551,0.02608695652173912,0.09278350515463914,35,61,195,0.12027491408934708,0.20962199312714777,4 ans
health,2006-2010,2006-2010,4,870,350,0.40229885057471265,0.03333333333333334,0.08285714285714287,103,74,173,0.29428571428571426,0.21142857142857144,4 ans
xmovie,2006-2010,2006-2010,4,833,126,0.15126050420168066,0.021608643457382976,0.14285714285714302,72,54,0,0.5714285714285714,0.42857142857142855,4 ans
life,2006-2010,2006-2010,4,857,259,0.30221703617269546,0.018669778296382722,0.06177606177606174,120,104,35,0.46332046332046334,0.4015444015444015,4 ans
richwork,2006-2010,2006-2010,4,487,123,0.25256673511293637,0.03490759753593431,0.1382113821138212,70,53,0,0.5691056910569106,0.43089430894308944,4 ans
natspac/y,2008-2012,2008-2012,4,1184,492,0.4155405405405405,0.12077702702702704,0.2906504065040651,198,55,239,0.4024390243902439,0.11178861788617886,4 ans
natenvir/y,2008-2012,2008-2012,4,602,217,0.36046511627906974,0.13289036544850502,0.3686635944700462,133,53,31,0.6129032258064516,0.24423963133640553,4 ans
natheal/y,2008-2012,2008-2012,4,1246,424,0.3402889245585875,0.1276083467094703,0.37499999999999994,259,100,65,0.6108490566037735,0.2358490566037736,4 ans
natcity/y,2008-2012,2008-2012,4,1061,461,0.4344957587181904,0.052780395852968856,0.12147505422993482,150,94,217,0.32537960954446854,0.2039045553145336,4 ans
natdrug/y,2008-2012,2008-2012,4,1188,469,0.3947811447811448,0.03367003367003371,0.08528784648187643,203,163,103,0.43283582089552236,0.34754797441364604,4 ans
nateduc/y,2008-2012,2008-2012,4,1267,319,0.2517758484609313,0.010260457774269947,0.04075235109717876,146,133,40,0.45768025078369906,0.4169278996865204,4 ans
natrace/y,2008-2012,2008-2012,4,1050,389,0.37047619047619046,0.0723809523809524,0.1953727506426736,155,79,155,0.39845758354755784,0.20308483290488433,4 ans
natarms/y,2008-2012,2008-2012,4,1218,525,0.43103448275862066,0.07799671592775041,0.18095238095238098,222,127,176,0.4228571428571429,0.2419047619047619,4 ans
nataid/y,2008-2012,2008-2012,4,1204,400,0.33222591362126247,0.049003322259136256,0.14750000000000013,193,134,73,0.4825,0.335,4 ans
natfare/y,2008-2012,2008-2012,4,1221,438,0.35872235872235875,0.05569205569205565,0.1552511415525113,175,107,156,0.3995433789954338,0.24429223744292236,4 ans
natroad,2008-2012,2008-2012,4,1236,480,0.3883495145631068,0.008090614886731372,0.020833333333333284,80,70,330,0.16666666666666666,0.14583333333333334,4 ans
