temoin,jeu,candidat,attaque,mesure,valeur,ic_bas,ic_haut,tirages_min,tirages_max,tirages_ecart_type,k_items,n_tirages_items,n_attaques,n_pool,baseline_top1,note,top1_k12,top1_k60,tirage_items,candidat_top1,baseline_ic_bas,baseline_ic_haut,hasard,top1_naif,top1_fort,twin_top1,twin_baseline_top1,twin_rapport,argyle_top1,argyle_baseline_top1,argyle_rapport,contraste_twin_sur_argyle
T2 attaquant fort Argyle,Argyle 2023,GPT-3 davinci (temp. 1.0),A-LLR (hors pli),tpr_a_fpr_0_1pct,0.0,,,,,,,,2148.0,2148.0,,,,,,,,,0.0004655493482309125,,,,,,,,,
T2 attaquant fort Argyle,Argyle 2023,GPT-3 davinci (temp. 1.0),A-LLR (hors pli),tpr_a_fpr_1pct,0.0,,,,,,,,2148.0,2148.0,,,,,,,,,0.0004655493482309125,,,,,,,,,
T2 attaquant fort Argyle,Argyle 2023,"B-demo (demographies seules, ce bassin)",A-LLR (hors pli),top1,0.000931098696461825,0.0,0.0023277467411545625,,,,,,2148.0,2148.0,,,,,,,,,0.0004655493482309125,,,,,,,,,
T2 attaquant fort Argyle,Argyle 2023,"B-demo (demographies seules, ce bassin)",A-LLR (hors pli),top10,0.007402234636871508,0.003957169459962756,0.010942737430167585,,,,,,2148.0,2148.0,,,,,,,,,0.0004655493482309125,,,,,,,,,
T2 attaquant fort Argyle,Argyle 2023,"B-demo (demographies seules, ce bassin)",A-LLR (hors pli),auc_monde_ouvert,0.0004064887349194954,,,,,,,,2148.0,2148.0,,,,,,,,,0.0004655493482309125,,,,,,,,,
T2 attaquant fort Argyle,Argyle 2023,"B-demo (demographies seules, ce bassin)",A-LLR (hors pli),tpr_a_fpr_0_1pct,0.0,,,,,,,,2148.0,2148.0,,,,,,,,,0.0004655493482309125,,,,,,,,,
T2 attaquant fort Argyle,Argyle 2023,"B-demo (demographies seules, ce bassin)",A-LLR (hors pli),tpr_a_fpr_1pct,0.0,,,,,,,,2148.0,2148.0,,,,,,,,,0.0004655493482309125,,,,,,,,,
T2 attaquant fort Argyle,Argyle 2023,GPT-3 davinci (temp. principale),naif -> A-LLR,gain_relatif_top1_fort_sur_naif,0.6949152542372882,,,,,,,,,2148.0,,,,,,,,,,0.0013733705772811919,0.0023277467411545625,,,,,,,
T2 attaquant fort Argyle,Argyle 2023,GPT-3 davinci (temp. 0.01),naif -> A-LLR,gain_relatif_top1_fort_sur_naif,-0.8666666666666667,,,,,,,,,2148.0,,,,,,,,,,0.001047486033519553,0.00013966480446927373,,,,,,,
T2 attaquant fort Argyle,Argyle 2023,GPT-3 davinci (temp. 1.0),naif -> A-LLR,gain_relatif_top1_fort_sur_naif,0.3953488372093023,,,,,,,,,2148.0,,,,,,,,,,0.0010009310986964619,0.0013966480446927375,,,,,,,
T2 attaquant fort Argyle,Argyle 2023,"B-demo (demographies seules, ce bassin)",naif -> A-LLR,gain_relatif_top1_fort_sur_naif,0.21212121212121218,,,,,,,,,2148.0,,,,,,,,,,0.0007681564245810055,0.000931098696461825,,,,,,,
T2 attaquant fort Argyle,Argyle 2023,GPT-3 davinci (temp. principale),naif (Hamming),controle_interpretabilite_passe,0.0,0.0005121042830540037,0.002676908752327747,,,,,,,2148.0,0.001000931098696462,,,,,0.0014432029795158285,0.00016294227188081936,0.0022584962756052106,0.0004655493482309125,,,,,,,,,
T2 attaquant fort Argyle,Argyle 2023,GPT-3 davinci (temp. 0.01),naif (Hamming),controle_interpretabilite_passe,0.0,0.00037185754189944135,0.002048417132216015,,,,,,,2148.0,0.001000931098696462,,,,,0.0010940409683426443,0.00016294227188081936,0.0022584962756052106,0.0004655493482309125,,,,,,,,,
T2 attaquant fort Argyle,Argyle 2023,GPT-3 davinci (temp. 1.0),naif (Hamming),controle_interpretabilite_passe,0.0,0.00016294227188081936,0.0021648044692737433,,,,,,,2148.0,0.001000931098696462,,,,,0.000931098696461825,0.00016294227188081936,0.0022584962756052106,0.0004655493482309125,,,,,,,,,
T2 attaquant fort Argyle,Argyle 2023,GPT-3 davinci (temp. principale),A-LLR (hors pli),controle_interpretabilite_passe,0.0,0.0004655493482309125,0.004655493482309125,,,,,,,2148.0,0.000931098696461825,"meme regle de decision, candidat et baseline tous deux sous A-LLR",,,,0.0023277467411545625,0.0,0.0023277467411545625,0.0004655493482309125,,,,,,,,,
T2 attaquant fort Argyle,Argyle 2023,GPT-3 davinci (temp. 0.01),A-LLR (hors pli),controle_interpretabilite_passe,0.0,0.0,0.00041899441340782117,,,,,,,2148.0,0.000931098696461825,"meme regle de decision, candidat et baseline tous deux sous A-LLR",,,,0.00013966480446927373,0.0,0.0023277467411545625,0.0004655493482309125,,,,,,,,,
T2 attaquant fort Argyle,Argyle 2023,GPT-3 davinci (temp. 1.0),A-LLR (hors pli),controle_interpretabilite_passe,0.0,0.0,0.0032588454376163874,,,,,,,2148.0,0.000931098696461825,"meme regle de decision, candidat et baseline tous deux sous A-LLR",,,,0.0013966480446927375,0.0,0.0023277467411545625,0.0004655493482309125,,,,,,,,,
synthese,Twin-2K-500 vs Argyle 2023,JSON Persona - GPT4.1 vs GPT-3 davinci (temp. principale),naif (Hamming),rapport_a_la_baseline_12_items,,,,,,,12.0,,,,,,,,,,,,,,,0.012193067703271785,0.002863621639131843,4.257918552036199,0.0013733705772811919,0.0007681564245810055,1.787878787878788,8.878206585297557
