config_x,config_y,n_attaques,n_pool,n_items,top1,top1_bas,top1_haut,top10,top10_bas,top10_haut,rang_median,hasard_top1,hasard_top10,top1_controle,top1_controle_bas,top1_controle_haut,top10_controle,n_controle
Text Persona (Default Temperature) - GPT4.1-mini,Text Persona (Repeating Questions) - GPT4.1-mini,2058,2058,60,0.5592322643343052,0.5389935617103985,0.5790834548104956,0.83377065111759,0.8169071914480077,0.8495651117589893,1.0,0.00048590864917395527,0.004859086491739553,0.0,0.0,0.0,0.008240155566358775,2057
Text Persona (Default Temperature) - GPT4.1-mini,Text Persona - GPT4.1-mini,2058,2058,60,0.8357628765792031,0.8204075558794948,0.8500777453838677,0.9613945578231292,0.9538125607385812,0.9692444120505344,1.0,0.00048590864917395527,0.004859086491739553,0.0,0.0,0.0,0.0053475935828877,2057
Text Persona (Default Temperature) - GPT4.1-mini,Text Persona - Gemini-Flash2.5,2058,2058,60,0.11912050534499513,0.10616921768707484,0.1321203838678328,0.328134110787172,0.3082786686103013,0.3483254373177842,34.425,0.00048590864917395527,0.004859086491739553,0.0,0.0,0.0,0.004326689353427321,2057
Text Persona (Reasoning) - GPT4.1-mini,Demographics Only - GPT4.1-mini,2058,2058,60,0.11887755102040817,0.10651056851311953,0.1321209912536443,0.2915694849368319,0.27252065111758983,0.3099167881438289,55.95,0.00048590864917395527,0.004859086491739553,0.0,0.0,0.0,0.0037919299951385513,2057
Text Persona (Reasoning) - GPT4.1-mini,JSON Persona - GPT4.1,2058,2058,60,0.38304178814382894,0.36392067541302237,0.40372145286686095,0.6262390670553937,0.6048578717201167,0.6457258260447036,3.55,0.00048590864917395527,0.004859086491739553,9.722897423432184e-05,0.0,0.00026737967914438503,0.0038405444822557123,2057
Text Persona (Reasoning) - GPT4.1-mini,JSON Persona - GPT4.1-mini,1000,1000,19,0.00675,0.0034,0.010901249999999993,0.04635,0.035797499999999996,0.05805,177.25,0.001,0.01,0.0017034068136272545,0.0003507014028056112,0.0036072144288577155,0.01157314629258517,998
Text Persona (Reasoning) - GPT4.1-mini,Text Persona (Default Temperature) - GPT4.1-mini,2058,2058,60,0.3136540330417881,0.2942875364431487,0.3339680515063168,0.5852769679300291,0.5649586977648201,0.6065603741496598,5.3,0.00048590864917395527,0.004859086491739553,0.0,0.0,0.0,0.0054205153135634425,2057
Text Persona (Reasoning) - GPT4.1-mini,Text Persona (Repeating Questions) - GPT4.1-mini,2058,2058,60,0.3839893100097182,0.36460034013605436,0.40486273080660834,0.651846452866861,0.6317784256559767,0.6716472303206997,3.1,0.00048590864917395527,0.004859086491739553,0.0001701507049100632,0.0,0.0005104521147301895,0.004083616917841517,2057
Text Persona (Reasoning) - GPT4.1-mini,Text Persona - GPT4.1-mini,2058,2058,60,0.37291059280855193,0.35388605442176874,0.3949708454810495,0.6366132167152576,0.6161540330417882,0.6573384353741498,3.6,0.00048590864917395527,0.004859086491739553,0.0004861448711716091,0.0,0.0014584346135148275,0.008385999027710258,2057
Text Persona (Reasoning) - GPT4.1-mini,Text Persona - Gemini-Flash2.5,2058,2058,60,0.27803692905733723,0.2592565597667638,0.29611394557823123,0.5636054421768708,0.5434778911564626,0.5821695821185616,6.925000000000001,0.00048590864917395527,0.004859086491739553,0.00043753038405444823,0.0,0.0011424404472532815,0.00430238210986874,2057
Text Persona (Repeating Questions) - GPT4.1-mini,Demographics Only - GPT4.1-mini,2058,2058,60,0.10988824101068999,0.09744897959183674,0.12301141885325557,0.25733722060252673,0.23862548590864915,0.2755363216715257,87.725,0.00048590864917395527,0.004859086491739553,0.00021876519202722412,0.0,0.0006562955760816724,0.007146329606222654,2057
Text Persona (Repeating Questions) - GPT4.1-mini,JSON Persona - GPT4.1,2058,2058,60,0.30932944606414,0.2907646987366375,0.32891156462585036,0.5742954324586979,0.5535228377065112,0.594413872691934,6.25,0.00048590864917395527,0.004859086491739553,0.0004861448711716091,0.0,0.0014584346135148275,0.005371900826446281,2057
Text Persona (Repeating Questions) - GPT4.1-mini,JSON Persona - GPT4.1-mini,1000,1000,19,0.0062,0.00254875,0.011,0.046900000000000004,0.0361475,0.05865000000000001,159.425,0.001,0.01,0.0013527054108216435,5.01002004008016e-05,0.0036573146292585173,0.008917835671342685,998
Text Persona (Repeating Questions) - GPT4.1-mini,Text Persona (Default Temperature) - GPT4.1-mini,2058,2058,60,0.573712342079689,0.5540020651117591,0.5944375607385812,0.852089407191448,0.8377787900874637,0.8666466229348883,1.0,0.00048590864917395527,0.004859086491739553,0.0,0.0,0.0,0.004107924161400097,2057
Text Persona (Repeating Questions) - GPT4.1-mini,Text Persona (Reasoning) - GPT4.1-mini,2058,2058,60,0.3272351797862002,0.3075297619047619,0.34635993683187555,0.5974489795918368,0.5767486637512147,0.6179786200194364,4.8,0.00048590864917395527,0.004859086491739553,0.0004861448711716091,0.0,0.0014584346135148275,0.005955274671852212,2057
