variable,regle_choc,mois_choc,cible,predicteur,description,n_menages,taux_de_base,auc,auc_permutee,chute,chute_ic_bas,chute_ic_haut,p_permutation_normal,p_permutation_empirique,p_holm,retenu_holm
infl3,"secondaire, saut d'IQR",2025-04,Y_rev,HD,historique et demographies,1013,0.4995064165844027,0.7712304417990037,0.5276247748906612,0.2436056669083425,0.1984320622354246,0.2818648175868086,1.31286261174451e-41,0.0049751243781094,2.481310336197124e-39,True
infl3,"secondaire, saut d'IQR",2025-04,Y_rev,T0b,temoin constant,1013,0.4995064165844027,0.5,0.5,0.0,0.0,0.0,1.0,1.0,,False
infl3,"secondaire, saut d'IQR",2025-04,Y_dir,V,volatilite passee du menage seule,1013,0.489634748272458,0.4758473981406377,0.4944919023366818,-0.0186445041960441,-0.0716244540096177,0.0254819016347413,0.2529588609071793,0.2587064676616915,1.0,False
infl3,"secondaire, saut d'IQR",2025-04,Y_dir,N,"ecart au niveau moyen avant le choc, seul",1013,0.489634748272458,0.4808818712173208,0.4929927914612841,-0.0121109202439633,-0.0572104932406359,0.0344112405199837,0.4651846907198211,0.472636815920398,1.0,False
infl3,"secondaire, saut d'IQR",2025-04,Y_dir,L,"niveau d'avant le choc seul, signe, retour a la moyenne",1013,0.489634748272458,0.651227225931241,0.5022518055468896,0.1489754203843514,0.1014536812952554,0.1897984162056144,3.5017345429629133e-19,0.0049751243781094,4.972463051007337e-17,True
infl3,"secondaire, saut d'IQR",2025-04,Y_dir,D,demographies seules,1013,0.489634748272458,0.5183849909527672,0.5400039191676547,-0.0216189282148874,-0.0575062816504383,0.0224471280616769,0.1013466719162709,0.0895522388059701,1.0,False
infl3,"secondaire, saut d'IQR",2025-04,Y_dir,H,historique du menage,1013,0.489634748272458,0.6423964247831784,0.5032427115180633,0.139153713265115,0.0866217390816912,0.1816475339209084,1.0136114559008874e-14,0.0049751243781094,1.2670143198761092e-12,True
infl3,"secondaire, saut d'IQR",2025-04,Y_dir,HD,historique et demographies,1013,0.489634748272458,0.651591845011543,0.5154445817994634,0.1361472632120796,0.0924918552460301,0.1823640298696518,3.816714042738788e-14,0.0049751243781094,4.694558272568709e-12,True
infl3,"secondaire, saut d'IQR",2025-04,Y_dir,T0b,temoin constant,1013,0.489634748272458,0.5,0.5,0.0,0.0,0.0,1.0,1.0,,False
revenu,"primaire, saut de moyenne",2025-06,Y_rev,V,volatilite passee du menage seule,1047,0.4966571155682903,0.6900561961757408,0.516250693329441,0.1738055028462998,0.123791781833698,0.213584700902465,2.410104310225823e-22,0.0049751243781094,3.663358551543251e-20,True
revenu,"primaire, saut de moyenne",2025-06,Y_rev,N,"ecart au niveau moyen avant le choc, seul",1047,0.4966571155682903,0.6944351189607356,0.5124105513793608,0.1820245675813748,0.1344583068560107,0.2220961563441985,1.085151517916726e-26,0.0049751243781094,1.8230545501000996e-24,True
revenu,"primaire, saut de moyenne",2025-06,Y_rev,L,"niveau d'avant le choc seul, signe, retour a la moyenne",1047,0.4966571155682903,0.4792767479200117,0.5100246040723982,-0.0307478561523865,-0.0719855724873332,0.0178105152140259,0.0768277242543637,0.0796019900497512,1.0,False
revenu,"primaire, saut de moyenne",2025-06,Y_rev,D,demographies seules,1047,0.4966571155682903,0.5482119398627937,0.5649707524448986,-0.0167588125821048,-0.0492540986345148,0.0153262734650577,0.1668528541364131,0.1840796019900497,1.0,False
revenu,"primaire, saut de moyenne",2025-06,Y_rev,H,historique du menage,1047,0.4966571155682903,0.7949423441833309,0.5150866388118522,0.2798557053714786,0.2198199470314426,0.3146917037295998,8.883587110925502e-57,0.0049751243781094,1.821135357739728e-54,True
revenu,"primaire, saut de moyenne",2025-06,Y_rev,HD,historique et demographies,1047,0.4966571155682903,0.7906838417749233,0.5202609290614508,0.2704229127134725,0.2199677667918194,0.3042094388723641,2.576908372095934e-51,0.0049751243781094,5.179585827912828e-49,True
revenu,"primaire, saut de moyenne",2025-06,Y_rev,T0b,temoin constant,1047,0.4966571155682903,0.5,0.5,0.0,0.0,0.0,1.0,1.0,,False
revenu,"primaire, saut de moyenne",2025-06,Y_dir,V,volatilite passee du menage seule,1047,0.4145176695319962,0.5707275542959382,0.5066487058434384,0.0640788484524998,0.0121560649766606,0.1081762327996495,8.873695632093626e-05,0.0049751243781094,0.006744008680391156,True
revenu,"primaire, saut de moyenne",2025-06,Y_dir,N,"ecart au niveau moyen avant le choc, seul",1047,0.4145176695319962,0.5747269228166981,0.5096586535208726,0.0650682692958255,0.0156905671009311,0.1076087999200397,0.0001616986733557,0.0049751243781094,0.0116423044816104,True
revenu,"primaire, saut de moyenne",2025-06,Y_dir,L,"niveau d'avant le choc seul, signe, retour a la moyenne",1047,0.4145176695319962,0.7088561204621827,0.5111280737627893,0.1977280466993933,0.1469567751658121,0.2371317028316181,3.894366392986226e-25,0.0049751243781094,6.269929892707824e-23,True
revenu,"primaire, saut de moyenne",2025-06,Y_dir,D,demographies seules,1047,0.4145176695319962,0.4773062148081882,0.5395835525969583,-0.0622773377887701,-0.0992739525704523,-0.025157296577255,1.2098883241782989e-05,0.0049751243781094,0.000980009542584422,True
revenu,"primaire, saut de moyenne",2025-06,Y_dir,H,historique du menage,1047,0.4145176695319962,0.6937043775043038,0.5133386175866969,0.1803657599176069,0.1278614660214624,0.2166008383373808,5.313115655526871e-29,0.0049751243781094,9.08542777095095e-27,True
revenu,"primaire, saut de moyenne",2025-06,Y_dir,HD,historique et demographies,1047,0.4145176695319962,0.7025713985009886,0.5150331244690688,0.1875382740319198,0.1363954348815648,0.2278066497777647,1.305656664779776e-26,0.0049751243781094,2.180446630182226e-24,True
