source,taux,tirage,n_remplacees,polarisation,A,B,C,C_exces,C5,C5_exces,patrons,patrons_nul,q5,q5_nul,q4,conc_nul,n_lignes_patrons,n_paires,patrons_nul_et,q5_nul_et,conc_nul_et,replis_segment
IM m=10 mode des m,0.5,16,526,0.486888343370348,-0.1039377464855562,0.049912491535670865,0.03954372623574144,0.010263783269961975,0.1378802281368821,0.016371197718631172,613.75,684.94125,0.07455845094595309,0.024645959410282227,0.10449482284802124,0.029279942965779467,1052.0,11026,2.806217627304563,0.00021437303579459398,0.0006798618716202959,0.0
IM m=10 mode des m,0.5,17,526,0.48632682952590955,-0.10020044857934607,0.04912649031022316,0.038973384030418244,0.009205085551330792,0.1351235741444867,0.013268773764258557,613.3,681.59625,0.07392974011449448,0.02480324980427132,0.10443895791303984,0.029768298479087452,1052.0,11026,3.1481860365157686,0.00019306406493038193,0.0007509048684543047,0.0
IM m=10 mode des m,0.5,18,526,0.48832886949120624,-0.10458034795699966,0.05000499318380453,0.03678707224334601,0.0069403517110266134,0.1385931558935361,0.016188212927756643,608.15,679.17875,0.07473595325213703,0.024730960068332496,0.10525019486998595,0.029846720532319394,1052.0,11026,3.2388247215499493,0.00028981603985847403,0.0007665622911802627,0.0
IM m=10 mode des m,0.5,19,526,0.48411195316988537,-0.10729853192453886,0.05008072121736213,0.0373574144486692,0.00812737642585551,0.13208174904942965,0.011890446768060822,608.0,681.07875,0.07469949127351394,0.02461877005615181,0.10418011523485392,0.02923003802281369,1052.0,11026,3.961091009706744,0.0002240385545773092,0.0007583205849267472,0.0
B0 segment,0.05,0,53,0.4506366030278381,-0.06532027206338287,0.039564929260748616,0.02732889733840304,0.004872861216730039,0.1036596958174905,0.008229562737642596,727.3,778.1274999999999,0.06434770050442837,0.024782771243679756,0.09038900329479264,0.022456036121673,1052.0,11026,3.589495893469,0.00017075048308427362,0.0006788419399563743,0.0
B0 segment,0.05,1,53,0.446117974470273,-0.06132495249701353,0.0392936358166712,0.02652091254752852,0.004283507604562739,0.10232889733840304,0.00680846007604563,731.75,779.55625,0.06410538648602108,0.02481175066934988,0.08965201608137666,0.02223740494296578,1052.0,11026,3.211142210315787,0.00016395002872368248,0.0005848021052100666,0.0
B0 segment,0.05,2,53,0.4433199770812932,-0.06377235262698344,0.03969817618582586,0.026901140684410647,0.005027328897338406,0.10356463878326996,0.00911240494296578,731.8,781.6475,0.06449739188622391,0.02479921570039805,0.08895650042339782,0.02187381178707224,1052.0,11026,2.9656138293134875,0.00020175090834882235,0.0004421373878343099,0.0
B0 segment,0.05,3,53,0.454438764468585,-0.06387046893095805,0.039452964572407864,0.02652091254752852,0.0038605038022813745,0.10380228136882128,0.008855750950570312,729.5,779.2725,0.06421600910575066,0.0247630445333428,0.09091880148190401,0.022660408745247145,1052.0,11026,3.352151050693671,0.0001739702080610078,0.0005402478694440649,0.0
B0 segment,0.05,4,53,0.4446020874015747,-0.062461872379227734,0.039877904679720126,0.026996197718631182,0.004638783269961984,0.10332699619771864,0.0075914923954372715,730.0,778.635,0.06467881559457889,0.02480091091485876,0.08966970070148376,0.022357414448669198,1052.0,11026,3.9280418557486003,0.00019412065780168304,0.0004971801880038917,0.0
B0 segment,0.05,5,53,0.4475262293033111,-0.06437843854858205,0.03952716588740221,0.027186311787072242,0.004947718631178707,0.1038022813688213,0.008944866920152103,730.2,780.44375,0.06426083425725634,0.024733668369854134,0.08966177487558435,0.022238593155893535,1052.0,11026,3.503042404788101,0.00019088829486572616,0.0007515534977330304,0.0
B0 segment,0.05,6,53,0.44443544550332126,-0.06281635634378557,0.03906912050995301,0.026853612167300384,0.004716017110266167,0.10285171102661597,0.008267585551330808,731.35,780.37,0.06382174799973651,0.0247526274897835,0.08918592518281572,0.022137595057034217,1052.0,11026,3.1780456823296896,0.00017888758645882727,0.000602491524822609,0.0
B0 segment,0.05,7,53,0.4471926757074364,-0.06528502705568939,0.039521706221856,0.02675855513307985,0.00464828897338403,0.10175855513307985,0.007776853612167317,731.55,782.645,0.06434360523281739,0.024821899010961386,0.08996343774423649,0.02211026615969582,1052.0,11026,3.4625061325503306,0.00014723899537790705,0.00047628344028040126,0.0
B0 segment,0.05,8,53,0.45017103650964513,-0.06464306511148143,0.039618014661842456,0.026901140684410647,0.004390446768060836,0.10356463878326996,0.007823193916349808,728.85,779.2212499999999,0.06436371139211937,0.024745696730276913,0.09030340719456849,0.02251069391634981,1052.0,11026,3.79750065410774,0.00019653232665899046,0.0005621267667868264,0.0
B0 segment,0.05,9,53,0.45249258091921807,-0.06308064065824404,0.03944797676534578,0.02704372623574145,0.00472552281368822,0.10228136882129277,0.007507129277566527,729.9,779.0425,0.06422040858012128,0.024772431814775495,0.09021152777488423,0.02231820342205323,1052.0,11026,2.780899826702475,0.00018841068932661344,0.0004975397551960503,0.0
B0 segment,0.05,10,53,0.4484595309206057,-0.06300888586851994,0.03941890185313023,0.026901140684410647,0.004496197718631179,0.10270912547528517,0.007685361216730038,730.75,779.89,0.06421665583938557,0.02479775398625534,0.09005607374215915,0.022404942965779467,1052.0,11026,3.5273510072298158,0.00020504141692624363,0.0005667561370407212,0.0
B0 segment,0.05,11,53,0.452853501849911,-0.0630628316794174,0.03926484359334739,0.02732889733840304,0.004792062737642586,0.10327946768060839,0.007995484790874557,729.6,778.7075,0.06403601412870613,0.02477117053535874,0.0907597626710007,0.022536834600760454,1052.0,11026,3.287711190447676,0.00018627606777322852,0.0006053113694670182,0.0
B0 segment,0.05,12,53,0.455161431291649,-0.06364952302350557,0.03894860284084677,0.026901140684410647,0.004253802281368825,0.10356463878326996,0.007928944866920154,726.1,775.4575000000001,0.0636839105065473,0.024735307665700527,0.09050133876065236,0.02264733840304182,1052.0,11026,3.530263845736294,0.00019154980276492797,0.0005988767250495253,0.0
B0 segment,0.05,13,53,0.4455881859875384,-0.06556882189352542,0.039691978869161246,0.026568441064638782,0.004222908745247146,0.10266159695817492,0.007327709125475312,727.45,778.4950000000001,0.06449833854303666,0.024806359673875414,0.08990415663056026,0.022345532319391636,1052.0,11026,3.565069136597209,0.00015952474391202622,0.0006557142420325863,0.0
B0 segment,0.05,14,53,0.44791731358172177,-0.06476511193940349,0.039498552325162396,0.026901140684410647,0.004792062737642586,0.10247148288973384,0.007939638783269976,731.1,781.72875,0.06424192718103743,0.02474337485587503,0.09008848007110173,0.02210907794676806,1052.0,11026,3.284791830815893,0.00017861002743236795,0.0004454524776519152,0.0
B0 segment,0.05,15,53,0.450515755922772,-0.0634581852941225,0.03991674324777772,0.027091254752851714,0.004916825095057038,0.10266159695817492,0.00813094106463881,731.15,780.6912500000001,0.06473583070338322,0.0248190874556055,0.09030923288348516,0.022174429657794675,1052.0,11026,3.7592771996891265,0.00015924164881329052,0.0005838864550490343,0.0
B0 segment,0.05,16,53,0.4422944947586992,-0.06280413576459909,0.039446419130465545,0.027043726235741444,0.004687500000000001,0.10237642585551332,0.00800142585551332,729.45,778.3324999999999,0.06420570653789333,0.024759287407427784,0.08928705863175128,0.022356226235741444,1052.0,11026,3.474717291580752,0.0001985906408205042,0.00042574618531714787,0.0
B0 segment,0.05,17,53,0.45271459002008013,-0.06135101087001826,0.03944450081456616,0.026948669201520913,0.0047362167300380245,0.10337452471482889,0.008369771863117867,732.05,779.8975,0.06420939841828012,0.024764897603713965,0.0904585028738835,0.022212452471482888,1052.0,11026,3.7051237911427877,0.00017989724331748705,0.00040193331393023146,0.0
B0 segment,0.05,18,53,0.45466422405214824,-0.0648439991218892,0.039383898929042226,0.026948669201520913,0.004613830798479088,0.10299429657794676,0.007914686311787059,729.5,780.08375,0.06419022837497249,0.02480632944593026,0.09046145167436993,0.022334838403041825,1052.0,11026,2.9537544014529358,0.00014730856357395638,0.0005943513680658975,0.0
B0 segment,0.05,19,53,0.4487134118034958,-0.06578135887804049,0.03973670855439222,0.02675855513307985,0.00466730038022814,0.10128326996197719,0.006555370722433465,729.0,780.33125,0.06451840404632006,0.024781695491927835,0.09026303833872576,0.02209125475285171,1052.0,11026,3.6992668625706,0.00017540606977458926,0.0005683278261746444,0.0
B0 segment,0.1,0,105,0.45286623199542236,-0.05900112413682346,0.03718439441436895,0.027471482889733844,0.004933460076045632,0.10380228136882128,0.007463165399239538,732.45,778.375,0.06196815051795857,0.02478375610358962,0.08806632130007985,0.022538022813688212,1052.0,11026,3.311615145483369,0.0001712089113714993,0.0005660812201593914,0.0
B0 segment,0.1,1,105,0.4507562837808495,-0.0561739389732252,0.036268834087914543,0.026093155893536123,0.0037226711026615983,0.10185361216730038,0.006466254752851702,735.9,779.6987499999999,0.06107602153690535,0.024807187448990804,0.08678028668519798,0.022370484790874525,1052.0,11026,2.7338450310590368,0.00015869946085724738,0.0004550365867192018,0.0
B0 segment,0.1,2,105,0.44211829224073884,-0.05739566605459978,0.037248748746387894,0.026425855513307984,0.004056558935361217,0.10185361216730038,0.007149477186311787,736.65,781.505,0.06197165059252894,0.024722901846141045,0.087211324335488,0.022369296577946767,1052.0,11026,3.7092365653104236,0.0001892496159541714,0.00045480262941233765,0.0
B0 segment,0.1,3,105,0.44695049063762426,-0.06097588384689723,0.03716332087061911,0.02652091254752852,0.004173003802281371,0.10180608365019013,0.007507129277566554,731.15,778.6274999999999,0.06191133390476273,0.024748013034143618,0.08755718341526128,0.02234790874524715,1052.0,11026,2.9752817147374926,0.0001643754613815697,0.000591206238779417,0.0
B0 segment,0.1,4,105,0.4503547828936329,-0.057107875780862516,0.03638541253598421,0.026663498098859317,0.004252614068441067,0.10289923954372623,0.008016872623574145,734.5,778.9862499999999,0.06118345618298897,0.024798043647004758,0.08741766517682793,0.02241088403041825,1052.0,11026,3.8598523204777395,0.0001752809172768572,0.0005539580952687782,0.0
B0 segment,0.1,5,105,0.4543109901794174,-0.05813149674842555,0.0365793842721631,0.026425855513307984,0.004001901140684411,0.1016634980988593,0.007441777566539909,735.75,781.1600000000001,0.061383580585219324,0.024804196313056227,0.08861234955025366,0.022423954372623574,1052.0,11026,3.157311417110351,0.0001680927165133547,0.0005572121277098852,0.0
B0 segment,0.1,6,105,0.4516264372877083,-0.058538216290494716,0.037332241223869064,0.026663498098859317,0.004317965779467681,0.10152091254752851,0.006854800380228121,735.65,781.39125,0.06207994387216806,0.02474770264829899,0.08800433214751373,0.022345532319391636,1052.0,11026,3.357919981560627,0.00018610146958030166,0.0005707026175915677,0.0
