perimetre,definition,condition,famille_condition,tranche,exactitude,ic_bas,ic_haut,n_cellules,n_personnes,taux_refus
150,ordinale extremes,B1 argmax,statistique,milieu,0.792376,0.783781,0.800672,5436,150,0.000000
150,ordinale extremes,B1 argmax,statistique,haut,0.692414,0.674066,0.710792,2212,150,0.000000
150,ordinale extremes,B1 argmax,statistique,ensemble,0.760947,0.752720,0.769063,10650,150,0.000000
150,rarete,B2 argmax,statistique,bas,0.000000,0.000000,0.000000,244,150,0.000000
150,rarete,B2 argmax,statistique,milieu,0.661481,0.649137,0.673357,21083,150,0.000000
150,rarete,B2 argmax,statistique,haut,1.000000,1.000000,1.000000,1023,150,0.000000
150,rarete,B2 argmax,statistique,ensemble,0.669754,0.657629,0.681388,22350,150,0.000000
150,ordinale,B2 argmax,statistique,bas,0.653142,0.624258,0.682341,568,150,0.000000
150,ordinale,B2 argmax,statistique,milieu,0.809173,0.801494,0.816644,9514,150,0.000000
150,ordinale,B2 argmax,statistique,haut,0.604607,0.573753,0.636651,568,150,0.000000
150,ordinale,B2 argmax,statistique,ensemble,0.789941,0.781480,0.798110,10650,150,0.000000
150,ordinale extremes,B2 argmax,statistique,bas,0.776183,0.760638,0.791776,3002,150,0.000000
150,ordinale extremes,B2 argmax,statistique,milieu,0.822969,0.815670,0.830457,5436,150,0.000000
150,ordinale extremes,B2 argmax,statistique,haut,0.727449,0.709299,0.744640,2212,150,0.000000
150,ordinale extremes,B2 argmax,statistique,ensemble,0.789941,0.781480,0.798110,10650,150,0.000000
150,rarete,B3 foret,statistique,bas,0.000000,0.000000,0.000000,244,150,0.000000
150,rarete,B3 foret,statistique,milieu,0.626666,0.613174,0.639891,21083,150,0.000000
150,rarete,B3 foret,statistique,haut,1.000000,1.000000,1.000000,1023,150,0.000000
150,rarete,B3 foret,statistique,ensemble,0.636913,0.623803,0.649710,22350,150,0.000000
150,ordinale,B3 foret,statistique,bas,0.636470,0.606278,0.667186,568,150,0.000000
150,ordinale,B3 foret,statistique,milieu,0.790740,0.782793,0.798842,9514,150,0.000000
150,ordinale,B3 foret,statistique,haut,0.547242,0.516106,0.580373,568,150,0.000000
150,ordinale,B3 foret,statistique,ensemble,0.769526,0.760539,0.778555,10650,150,0.000000
150,ordinale extremes,B3 foret,statistique,bas,0.753470,0.738200,0.769053,3002,150,0.000000
150,ordinale extremes,B3 foret,statistique,milieu,0.810697,0.802746,0.818485,5436,150,0.000000
150,ordinale extremes,B3 foret,statistique,haut,0.690137,0.672559,0.707954,2212,150,0.000000
150,ordinale extremes,B3 foret,statistique,ensemble,0.769526,0.760539,0.778555,10650,150,0.000000
150,rarete,humains vague 2,plancher,bas,0.405738,0.337599,0.473938,244,150,0.000000
150,rarete,humains vague 2,plancher,milieu,0.786748,0.770935,0.801346,21083,150,0.000000
150,rarete,humains vague 2,plancher,haut,0.981427,0.970234,0.991202,1023,150,0.000000
