perimetre,seuil,partition,tercile,condition,cellules_minoritaires,raretes_osees,rappel,precision,f1,plancher_item,exces_item,plancher_segment,exces_segment,plancher_humains vague 2,exces_humains vague 2,rappel_ic_bas,rappel_ic_haut,exces_segment_ic_bas,exces_segment_ic_haut,exces_segment_p
1052,0.100000,P_B division de recensement,T2 intermediaire,B2 argmax,1937,137,0.037687,0.532847,0.070395,0.067497,-0.029810,0.096547,-0.058900,0.570470,-0.532783,0.026845,0.049346,-0.070637,-0.046121,0.000250
1052,0.100000,P_B division de recensement,T3 deductible,B2 argmax,1868,250,0.062634,0.468000,0.110482,0.079324,-0.016691,0.125677,-0.064999,0.574411,-0.511777,0.049206,0.077199,-0.080244,-0.049408,0.000250
1052,0.100000,P_B division de recensement,ensemble,B2 argmax,5709,417,0.035733,0.489209,0.066601,0.062262,-0.026529,0.092714,-0.058103,0.548257,-0.512524,0.029118,0.042978,-0.065179,-0.050823,0.000250
1052,0.100000,P_C partition aleatoire,T1 non deductible,B2 argmax,1956,21,0.006135,0.571429,0.012140,0.038907,-0.032772,0.051547,-0.045290,0.505112,-0.498978,0.002519,0.010865,-0.050686,-0.039276,0.000250
1052,0.100000,P_C partition aleatoire,T2 intermediaire,B2 argmax,2112,160,0.038352,0.506250,0.071303,0.069160,-0.030808,0.103552,-0.065974,0.558239,-0.519886,0.028288,0.049229,-0.076840,-0.055015,0.000250
1052,0.100000,P_C partition aleatoire,T3 deductible,B2 argmax,1641,236,0.067642,0.470339,0.118274,0.081222,-0.013580,0.128550,-0.063272,0.586837,-0.519196,0.054224,0.081151,-0.078830,-0.048121,0.000250
1052,0.100000,P_C partition aleatoire,ensemble,B2 argmax,5709,417,0.035733,0.489209,0.066601,0.062262,-0.026529,0.092714,-0.058103,0.548257,-0.512524,0.029118,0.042978,-0.065179,-0.050823,0.000250
1052,0.100000,P_B division de recensement,T1 non deductible,B1 argmax,1904,165,0.016807,0.193939,0.030933,0.040197,-0.023390,0.056979,-0.040245,0.500000,-0.483193,0.011219,0.022715,-0.047019,-0.033570,0.000250
1052,0.100000,P_B division de recensement,T2 intermediaire,B1 argmax,1937,443,0.042334,0.185102,0.068908,0.067497,-0.025163,0.096547,-0.061842,0.570470,-0.528136,0.032787,0.052424,-0.070726,-0.052286,0.000250
1052,0.100000,P_B division de recensement,T3 deductible,B1 argmax,1868,888,0.116167,0.244369,0.157475,0.079324,0.036843,0.125677,-0.017408,0.574411,-0.458244,0.099948,0.132806,-0.031702,-0.002990,0.016000
1052,0.100000,P_B division de recensement,ensemble,B1 argmax,5709,1496,0.057979,0.221257,0.091881,0.062262,-0.004283,0.092714,-0.039918,0.548257,-0.490279,0.050901,0.065240,-0.046122,-0.033847,0.000250
1052,0.100000,P_C partition aleatoire,T1 non deductible,B1 argmax,1956,333,0.023517,0.138138,0.040192,0.038907,-0.015389,0.051547,-0.032207,0.505112,-0.481595,0.017045,0.030177,-0.039113,-0.025120,0.000250
1052,0.100000,P_C partition aleatoire,T2 intermediaire,B1 argmax,2112,626,0.066288,0.223642,0.102264,0.069160,-0.002872,0.103552,-0.039878,0.558239,-0.491951,0.054840,0.078285,-0.050831,-0.028741,0.000250
1052,0.100000,P_C partition aleatoire,T3 deductible,B1 argmax,1641,537,0.088361,0.270019,0.133150,0.081222,0.007139,0.128550,-0.049383,0.586837,-0.498477,0.073126,0.104433,-0.062116,-0.036607,0.000250
1052,0.100000,P_C partition aleatoire,ensemble,B1 argmax,5709,1496,0.057979,0.221257,0.091881,0.062262,-0.004283,0.092714,-0.039918,0.548257,-0.490279,0.050901,0.065240,-0.046122,-0.033847,0.000250
1052,0.100000,P_B division de recensement,T1 non deductible,B3 foret,1904,27,0.007878,0.555556,0.015536,0.040197,-0.032319,0.056979,-0.048324,0.500000,-0.492122,0.004253,0.012049,-0.053827,-0.042949,0.000250
1052,0.100000,P_B division de recensement,T2 intermediaire,B3 foret,1937,86,0.012907,0.290698,0.024716,0.067497,-0.054590,0.096547,-0.084195,0.570470,-0.557563,0.008180,0.018018,-0.091261,-0.077131,0.000250
1052,0.100000,P_B division de recensement,T3 deductible,B3 foret,1868,94,0.022484,0.446809,0.042813,0.079324,-0.056840,0.125677,-0.104856,0.574411,-0.551927,0.015951,0.029703,-0.111559,-0.097823,0.000250
1052,0.100000,P_B division de recensement,ensemble,B3 foret,5709,207,0.014363,0.396135,0.027721,0.062262,-0.047899,0.092714,-0.078830,0.548257,-0.533894,0.011347,0.017547,-0.083175,-0.074452,0.000250
1052,0.100000,P_C partition aleatoire,T1 non deductible,B3 foret,1956,38,0.004601,0.236842,0.009027,0.038907,-0.034306,0.051547,-0.046997,0.505112,-0.500511,0.001993,0.007812,-0.051576,-0.042257,0.000250
1052,0.100000,P_C partition aleatoire,T2 intermediaire,B3 foret,2112,69,0.014205,0.434783,0.027510,0.069160,-0.054956,0.103552,-0.089461,0.558239,-0.544034,0.009056,0.019552,-0.096643,-0.082070,0.000250
