variable,libelle,predicteur,description,n_couples,n_menages,rho,rho_ic_bas,rho_ic_haut,rho_permute,chute,chute_ic_bas,chute_ic_haut,p_permutation_empirique,p_permutation_normal,p_holm,p_bh,retenu_holm
chomage,probabilite que le chomage augmente,HD,"historique et demographies, ridge",67826,9105,0.6403515242132899,0.6318597784724325,0.6479998603617027,0.0501738151693686,0.5901777090439213,0.5610991878988704,0.5844370278266288,0.0049751243781094,0.0,0.0,0.0,True
chomage,probabilite que le chomage augmente,F,foret sur historique et demographies,67826,9105,0.6387162084655632,0.6296008135928806,0.6466020158301494,0.0504821905393451,0.5882340179262181,0.559672236550164,0.5828667360257963,0.0049751243781094,0.0,0.0,0.0,True
chomage,probabilite que le chomage augmente,T1,"temoin de cohorte, moyenne de la cohorte au mois cible hors pli",67826,9105,0.0796285832566659,0.0655629335084508,0.0934936269772488,0.1835645339951912,-0.1039359507385253,-0.1057018339116491,-0.0944430036253053,0.0049751243781094,0.0,,,False
chomage,probabilite que le chomage augmente,T0b,"temoin de cohorte a plein echantillon, constant dans (mois, cohorte)",67826,9105,0.2144862680580443,0.1986789244454012,0.2277058398057769,0.2144862680580443,5.551115123125783e-17,0.0,0.0,1.0,0.3185233937032804,,,False
infl1_var,"incertitude d'inflation, variance de la densite",P,"persistance seule, x(i, t)",66292,9003,0.7078438674263972,0.6994820017246799,0.7163676229984567,0.0943129714092232,0.6135308960171739,0.5827504835579715,0.606745102689934,0.0049751243781094,0.0,0.0,0.0,True
infl1_var,"incertitude d'inflation, variance de la densite",D,"demographies seules, ridge",66292,9003,0.2631611054216851,0.2437379669582798,0.2794432819062417,0.1908904344181166,0.0722706710035684,0.0586555416643572,0.0819720250488973,0.0049751243781094,9.19428567296788e-256,8.274857105671092e-255,1.1182239331987962e-255,True
infl1_var,"incertitude d'inflation, variance de la densite",H,"historique du menage, ridge",66292,9003,0.7096539841208341,0.7005247034570347,0.7171324770783052,0.1069113276961609,0.6027426564246732,0.5734268400874041,0.5967664281844878,0.0049751243781094,0.0,0.0,0.0,True
infl1_var,"incertitude d'inflation, variance de la densite",HD,"historique et demographies, ridge",66292,9003,0.6599250869173593,0.6498424323196226,0.6695824803794087,0.1458643479540215,0.5140607389633377,0.4873629938998081,0.5125206260031978,0.0049751243781094,0.0,0.0,0.0,True
infl1_var,"incertitude d'inflation, variance de la densite",F,foret sur historique et demographies,66292,9003,0.7097203647595921,0.7011547236720462,0.717932229059737,0.1203612051931113,0.5893591595664807,0.5604601136328362,0.5832984277138111,0.0049751243781094,0.0,0.0,0.0,True
infl1_var,"incertitude d'inflation, variance de la densite",T1,"temoin de cohorte, moyenne de la cohorte au mois cible hors pli",66292,9003,0.1856264240541833,0.1681968936640367,0.2030122878802017,0.2390424418476037,-0.0534160177934203,-0.0558425637071628,-0.0473962259753292,0.0049751243781094,0.0,,,False
infl1_var,"incertitude d'inflation, variance de la densite",T0b,"temoin de cohorte a plein echantillon, constant dans (mois, cohorte)",66292,9003,0.2604161741122984,0.2443126344255386,0.2781447673021258,0.2604161741122985,-5.551115123125783e-17,0.0,0.0,1.0,0.3185233937032804,,,False
infl1_point,prevision ponctuelle d'inflation a un an,P,"persistance seule, x(i, t)",67529,9089,0.6353485955227088,0.6257590076535038,0.6444926154537901,0.0758874905281489,0.5594611049945599,0.527330015249841,0.5544463999745467,0.0049751243781094,0.0,0.0,0.0,True
infl1_point,prevision ponctuelle d'inflation a un an,D,"demographies seules, ridge",67529,9089,0.2193367706542578,0.2021259299319166,0.2375080708896678,0.1734435408826115,0.0458932297716463,0.0352943273940704,0.0525974598042914,0.0049751243781094,4.7447888626318976e-138,3.3213522038423283e-137,5.474756379959881e-138,True
infl1_point,prevision ponctuelle d'inflation a un an,H,"historique du menage, ridge",67529,9089,0.6510207446261256,0.641526249272106,0.6593349923952808,0.0867446927852711,0.5642760518408545,0.5318164444685204,0.5608974379622407,0.0049751243781094,0.0,0.0,0.0,True
infl1_point,prevision ponctuelle d'inflation a un an,HD,"historique et demographies, ridge",67529,9089,0.6410526348041207,0.6316877961181047,0.6491948250213606,0.1117178610470461,0.5293347737570745,0.4986570599901477,0.5276589824878609,0.0049751243781094,0.0,0.0,0.0,True
infl1_point,prevision ponctuelle d'inflation a un an,F,foret sur historique et demographies,67529,9089,0.663287629241181,0.6537004627627059,0.6714168301381546,0.0959123681423121,0.5673752610988689,0.5359225922421171,0.5643313272952867,0.0049751243781094,0.0,0.0,0.0,True
infl1_point,prevision ponctuelle d'inflation a un an,T1,"temoin de cohorte, moyenne de la cohorte au mois cible hors pli",67529,9089,0.1628063808597247,0.1470842854982828,0.1787249067152711,0.2316601447468914,-0.0688537638871667,-0.0716217903650388,-0.0614979642267782,0.0049751243781094,0.0,,,False
infl1_point,prevision ponctuelle d'inflation a un an,T0b,"temoin de cohorte a plein echantillon, constant dans (mois, cohorte)",67529,9089,0.255736420170936,0.2411384114841109,0.2705382777470154,0.255736420170936,0.0,0.0,0.0,1.0,1.0,,,False
