perimetre,camp,item,desirabilite_humaine,n_personnes,pole_endogroupe
1052,centre,libcom/y,0.719472,303,
1052,centre,spkhomo/y,0.917492,303,droite_bas
1052,centre,colhomo,0.920792,303,droite_bas
1052,centre,libhomo/y,0.851485,303,droite_bas
1052,centre,polhitok/y,0.402640,303,
1052,centre,polabuse/y,0.937294,303,
1052,centre,satfin,0.485149,303,
1052,centre,finalter,0.480198,303,
1052,centre,finrela,0.406766,303,
1052,centre,racdif1,0.488449,303,droite_bas
1052,centre,racdif2,0.927393,303,droite_bas
1052,centre,racdif3,0.419142,303,droite_bas
1052,centre,racdif4,0.689769,303,droite_bas
1052,centre,letin1a,0.355611,303,droite_bas
1052,centre,parsol,0.547855,303,
1052,centre,spanking,0.480748,303,
1052,centre,sexeduc,0.867987,303,
1052,centre,xmarsex,0.798680,303,
1052,centre,homosex,0.684268,303,droite_bas
1052,centre,marhomo,0.713696,303,droite_bas
1052,centre,pornlaw,0.617162,303,
1052,centre,vote16,0.561056,303,
1052,centre,news,0.311056,303,
1052,centre,attend,0.208333,303,
1052,centre,pray,0.477888,303,
1052,centre,reborn,0.370892,303,
1052,centre,savesoul,0.300330,303,
1052,centre,income,0.769877,303,
1052,centre,health,0.594059,303,
1052,centre,xmovie,0.627063,303,
1052,centre,life,0.610561,303,
1052,centre,richwork,0.379538,303,
1052,droite,natspac/y,0.450301,332,droite_bas
1052,droite,natenvir/y,0.543675,332,droite_bas
1052,droite,natheal/y,0.740964,332,droite_bas
1052,droite,natcity/y,0.301205,332,droite_bas
1052,droite,natdrug/y,0.671687,332,droite_bas
1052,droite,nateduc/y,0.709337,332,droite_bas
1052,droite,natrace/y,0.310241,332,droite_bas
1052,droite,natarms/y,0.631024,332,
1052,droite,nataid/y,0.082831,332,
1052,droite,natfare/y,0.653614,332,droite_bas
1052,droite,natroad,0.745482,332,droite_bas
1052,droite,natsoc,0.792169,332,droite_bas
1052,droite,natmass,0.546687,332,droite_bas
1052,droite,natpark,0.561747,332,droite_bas
1052,droite,natchld,0.608434,332,droite_bas
1052,droite,natsci,0.515060,332,droite_bas
1052,droite,natenrgy,0.496988,332,droite_bas
1052,droite,fechld,0.666667,332,droite_bas
1052,droite,fepresch,0.565261,332,droite_bas
1052,droite,fefam,0.488956,332,droite_bas
1052,droite,fepol,0.581325,332,droite_bas
1052,droite,incom16,0.445030,332,
1052,droite,divorced,0.629518,332,
1052,droite,conarmy,0.727410,332,
1052,droite,conbus,0.463855,332,
1052,droite,conclerg,0.451807,332,
1052,droite,coneduc,0.441265,332,
1052,droite,confed,0.245482,332,
1052,droite,confinan,0.480422,332,
1052,droite,conjudge,0.575301,332,
1052,droite,conlabor,0.352410,332,
1052,droite,conlegis,0.250000,332,
1052,droite,conmedic,0.572289,332,
1052,droite,conpress,0.176205,332,
1052,droite,consci,0.524096,332,
1052,droite,contv,0.256024,332,
1052,droite,happy,0.504518,332,
1052,droite,hapmar,0.680000,332,
1052,droite,satjob,0.749577,332,
1052,droite,unemp,0.674699,332,
1052,droite,spkath/y,0.780120,332,
1052,droite,colath,0.665663,332,
1052,droite,spkcom/y,0.629518,332,
1052,droite,colcom/y,0.623494,332,
1052,droite,libcom/y,0.674699,332,
1052,droite,spkhomo/y,0.909639,332,droite_bas
1052,droite,colhomo,0.897590,332,droite_bas
1052,droite,libhomo/y,0.759036,332,droite_bas
1052,droite,polhitok/y,0.225904,332,
1052,droite,polabuse/y,0.909639,332,
1052,droite,satfin,0.525602,332,
1052,droite,finalter,0.430723,332,
1052,droite,finrela,0.411145,332,
1052,droite,racdif1,0.207831,332,droite_bas
1052,droite,racdif2,0.927711,332,droite_bas
1052,droite,racdif3,0.262048,332,droite_bas
1052,droite,racdif4,0.518072,332,droite_bas
1052,droite,letin1a,0.173193,332,droite_bas
