perimetre,condition,support_minimal,cellules_minoritaires,rappel,plancher_segment,exces_segment,avantage_sur_B1,avantage_ic_bas,avantage_ic_haut,avantage_p,exces_segment_ic_bas,exces_segment_ic_haut,exces_segment_p
150,agents v8,10,181,0.237569,0.128996,0.105571,0.132597,0.049683,0.215789,0.001000,0.031320,0.182697,0.002500
150,agents v8,20,0,,,,,,,1.000000,,,1.000000
150,C2,0,354,0.141243,0.099378,0.032697,0.070621,0.027543,0.114460,0.001000,-0.005413,0.074907,0.099500
150,C2,5,320,0.131250,0.107580,0.014371,0.053125,0.009868,0.096157,0.015500,-0.023465,0.055881,0.483000
150,C2,10,181,0.165746,0.128996,0.025325,0.060773,-0.010754,0.135294,0.105000,-0.025545,0.078896,0.352500
150,C2,20,0,,,,,,,1.000000,,,1.000000
150,C3,0,354,0.248588,0.099378,0.161628,0.177966,0.121116,0.232144,0.000250,0.108556,0.210593,0.000250
150,C3,5,320,0.259375,0.107580,0.171166,0.181250,0.119994,0.239363,0.000250,0.113548,0.223460,0.000250
150,C3,10,181,0.298343,0.128996,0.185818,0.193370,0.112355,0.274114,0.000250,0.117300,0.253405,0.000250
150,C3,20,0,,,,,,,1.000000,,,1.000000
150,PMM k=5,0,354,0.276836,0.099378,0.174207,0.206215,0.151513,0.261214,0.000250,0.122447,0.222702,0.000250
150,PMM k=5,5,320,0.296875,0.107580,0.188587,0.218750,0.159574,0.277946,0.000250,0.133031,0.241103,0.000250
150,PMM k=5,10,181,0.375691,0.128996,0.229028,0.270718,0.179771,0.359616,0.000250,0.149872,0.308013,0.000250
150,PMM k=5,20,0,,,,,,,1.000000,,,1.000000
150,PMM k=10,0,354,0.302260,0.099378,0.202509,0.231638,0.177361,0.285350,0.000250,0.147481,0.255711,0.000250
150,PMM k=10,5,320,0.328125,0.107580,0.219946,0.250000,0.192165,0.307902,0.000250,0.160858,0.278560,0.000250
150,PMM k=10,10,181,0.403315,0.128996,0.259892,0.298343,0.216780,0.378061,0.000250,0.183084,0.331749,0.000250
150,PMM k=10,20,0,,,,,,,1.000000,,,1.000000
150,IM m=10 mode des m,0,354,0.155367,0.099378,0.051565,0.084746,0.042493,0.126029,0.000500,0.010433,0.091692,0.015500
150,IM m=10 mode des m,5,320,0.171875,0.107580,0.059668,0.093750,0.047454,0.140162,0.000500,0.014754,0.103356,0.009500
150,IM m=10 mode des m,10,181,0.254144,0.128996,0.111744,0.149171,0.076069,0.224856,0.000250,0.044326,0.177154,0.002500
150,IM m=10 mode des m,20,0,,,,,,,1.000000,,,1.000000
150,B2 argmax,0,354,0.048023,0.099378,-0.052208,-0.022599,-0.057231,0.008929,0.210000,-0.077007,-0.025890,0.000500
150,B2 argmax,5,320,0.053125,0.107580,-0.055315,-0.025000,-0.062875,0.010033,0.210000,-0.082085,-0.026552,0.000500
150,B2 argmax,10,181,0.093923,0.128996,-0.036404,-0.011050,-0.074716,0.048913,0.844000,-0.081896,0.012129,0.144500
150,B2 argmax,20,0,,,,,,,1.000000,,,1.000000
150,B1 argmax,0,354,0.070621,0.099378,-0.023906,0.000000,0.000000,0.000000,1.000000,-0.052257,0.007654,0.134500
150,B1 argmax,5,320,0.078125,0.107580,-0.023956,0.000000,0.000000,0.000000,1.000000,-0.055297,0.010391,0.173500
150,B1 argmax,10,181,0.104972,0.128996,-0.017885,0.000000,0.000000,0.000000,1.000000,-0.070241,0.034807,0.478500
150,B1 argmax,20,0,,,,,,,1.000000,,,1.000000
150,B3 foret,0,354,0.014124,0.099378,-0.086800,-0.056497,-0.092547,-0.025888,0.000250,-0.116485,-0.059108,0.000250
