perimetre,seuil,partition,tercile,condition,rappel,plancher_segment,plancher_item,rappel_sur_cellules_a_plancher,exces_sur_plancher
150,0.100000,D_seg segment,T2 intermediaire,agents enquete,0.178571,0.060854,0.064304,0.178571,0.117717
150,0.100000,D_seg segment,T3 deductible,agents enquete,0.274882,0.202519,0.079338,0.274882,0.072362
150,0.100000,D_seg segment,ensemble,agents enquete,0.191432,0.081344,0.064179,0.192012,0.110668
150,0.100000,D_logit regression,T1 non deductible,agents enquete,0.120482,0.031699,0.046974,0.124424,0.092725
150,0.100000,D_logit regression,T2 intermediaire,agents enquete,0.144578,0.064680,0.066301,0.134884,0.070204
150,0.100000,D_logit regression,T3 deductible,agents enquete,0.309237,0.146896,0.079263,0.315068,0.168172
150,0.100000,D_logit regression,ensemble,agents enquete,0.191432,0.081344,0.064179,0.192012,0.110668
150,0.100000,D_seg segment,T1 non deductible,agents demographiques (v6),0.180147,0.000000,0.052426,0.180147,0.180147
150,0.100000,D_seg segment,T2 intermediaire,agents demographiques (v6),0.142857,0.060854,0.064304,0.142857,0.082003
150,0.100000,D_seg segment,T3 deductible,agents demographiques (v6),0.094787,0.202519,0.079338,0.094787,-0.107733
150,0.100000,D_seg segment,ensemble,agents demographiques (v6),0.136546,0.081344,0.064179,0.142857,0.061513
150,0.100000,D_logit regression,T1 non deductible,agents demographiques (v6),0.160643,0.031699,0.046974,0.170507,0.138808
150,0.100000,D_logit regression,T2 intermediaire,agents demographiques (v6),0.128514,0.064680,0.066301,0.134884,0.070204
150,0.100000,D_logit regression,T3 deductible,agents demographiques (v6),0.120482,0.146896,0.079263,0.123288,-0.023609
150,0.100000,D_logit regression,ensemble,agents demographiques (v6),0.136546,0.081344,0.064179,0.142857,0.061513
150,0.100000,D_seg segment,T1 non deductible,agents v7,0.047794,0.000000,0.052426,0.047794,0.047794
150,0.100000,D_seg segment,T2 intermediaire,agents v7,0.029762,0.060854,0.064304,0.029762,-0.031092
150,0.100000,D_seg segment,T3 deductible,agents v7,0.080569,0.202519,0.079338,0.080569,-0.121951
150,0.100000,D_seg segment,ensemble,agents v7,0.058902,0.081344,0.064179,0.053763,-0.027581
150,0.100000,D_logit regression,T1 non deductible,agents v7,0.056225,0.031699,0.046974,0.050691,0.018993
150,0.100000,D_logit regression,T2 intermediaire,agents v7,0.052209,0.064680,0.066301,0.041860,-0.022819
150,0.100000,D_logit regression,T3 deductible,agents v7,0.068273,0.146896,0.079263,0.068493,-0.078403
150,0.100000,D_logit regression,ensemble,agents v7,0.058902,0.081344,0.064179,0.053763,-0.027581
150,0.100000,D_seg segment,T1 non deductible,agents v8,0.044118,0.000000,0.052426,0.044118,0.044118
150,0.100000,D_seg segment,T2 intermediaire,agents v8,0.077381,0.060854,0.064304,0.077381,0.016527
150,0.100000,D_seg segment,T3 deductible,agents v8,0.279621,0.202519,0.079338,0.279621,0.077101
150,0.100000,D_seg segment,ensemble,agents v8,0.141901,0.081344,0.064179,0.129032,0.047688
150,0.100000,D_logit regression,T1 non deductible,agents v8,0.052209,0.031699,0.046974,0.050691,0.018993
150,0.100000,D_logit regression,T2 intermediaire,agents v8,0.092369,0.064680,0.066301,0.074419,0.009739
150,0.100000,D_logit regression,T3 deductible,agents v8,0.281124,0.146896,0.079263,0.260274,0.113377
150,0.100000,D_logit regression,ensemble,agents v8,0.141901,0.081344,0.064179,0.129032,0.047688
150,0.100000,D_seg segment,T1 non deductible,C2,0.099265,0.000000,0.052426,0.099265,0.099265
150,0.100000,D_seg segment,T2 intermediaire,C2,0.089286,0.060854,0.064304,0.089286,0.028432
150,0.100000,D_seg segment,T3 deductible,C2,0.175355,0.202519,0.079338,0.175355,-0.027164
150,0.100000,D_seg segment,ensemble,C2,0.128514,0.081344,0.064179,0.121352,0.040008
150,0.100000,D_logit regression,T1 non deductible,C2,0.048193,0.031699,0.046974,0.050691,0.018993
150,0.100000,D_logit regression,T2 intermediaire,C2,0.104418,0.064680,0.066301,0.088372,0.023692
150,0.100000,D_logit regression,T3 deductible,C2,0.232932,0.146896,0.079263,0.223744,0.076848
150,0.100000,D_logit regression,ensemble,C2,0.128514,0.081344,0.064179,0.121352,0.040008
150,0.100000,D_seg segment,T1 non deductible,C3,0.161765,0.000000,0.052426,0.161765,0.161765
150,0.100000,D_seg segment,T2 intermediaire,C3,0.202381,0.060854,0.064304,0.202381,0.141527
150,0.100000,D_seg segment,T3 deductible,C3,0.312796,0.202519,0.079338,0.312796,0.110277
150,0.100000,D_seg segment,ensemble,C3,0.219545,0.081344,0.064179,0.221198,0.139854
150,0.100000,D_logit regression,T1 non deductible,C3,0.140562,0.031699,0.046974,0.133641,0.101942
150,0.100000,D_logit regression,T2 intermediaire,C3,0.208835,0.064680,0.066301,0.200000,0.135320
150,0.100000,D_logit regression,T3 deductible,C3,0.309237,0.146896,0.079263,0.328767,0.181871
