modele,cle_modele,camp,identite,item,famille,n_modalites,rejet,n_tentatives,motif_rejet,gs_decrit,gs_reel_w1,gs_reel_w1_sans_biais,gs_reel_w2,tv_decrit_reel,tv_plancher_w1_w2,pos_decrit,pos_reel_w1,pos_reel_w2
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,spkhomo/y,libertes civiles (spk/col/lib),2,False,1,,0.1472,0.04681147168596045,0.046923999262128625,0.09994881792407795,0.05601918465227819,0.028776978417266216,0.08,0.0239808153477218,0.052757793764988
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,colhomo,libertes civiles (spk/col/lib),2,False,1,,0.34319999999999995,0.05589772786087677,0.05603209739900388,0.10848299777444237,0.19122302158273383,0.02877697841726616,0.22,0.0287769784172661,0.0575539568345323
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,libhomo/y,libertes civiles (spk/col/lib),2,False,1,,0.2550000000000001,0.08260442006107338,0.0828029883785279,0.1127155829293397,0.10683453237410079,0.016786570743405237,0.15,0.0431654676258992,0.0599520383693045
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,cappun,hors famille,2,False,1,,0.4949999999999999,0.4855051210829897,0.4866722007009777,0.4893006458142839,0.03513189448441248,0.01199040767386092,0.45,0.4148681055155875,0.4268585131894484
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,polhitok/y,hors famille,2,False,1,,0.039200000000000124,0.4772239762147117,0.4783711492344586,0.4855051210829897,0.5867146282973621,0.021582733812949617,0.02,0.6067146282973621,0.5851318944844125
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,polabuse/y,hors famille,2,False,1,,0.2550000000000001,0.07379420204843301,0.07397159195720329,0.02836292117385253,0.11163069544364516,0.02398081534772173,0.15,0.0383693045563549,0.014388489208633
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,polattak/y,hors famille,2,False,1,,0.45499999999999996,0.45065530309565305,0.45173860911270997,0.4361632995761664,0.007074340527577966,0.02158273381294959,0.65,0.657074340527578,0.6786570743405276
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,grass,hors famille,2,False,1,,0.34319999999999995,0.23948610895456302,0.24006179671647304,0.2360126287459241,0.08091127098321343,0.0023980815347721396,0.22,0.1390887290167865,0.1366906474820144
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,gunlaw,hors famille,2,False,1,,0.4949999999999999,0.2793736234034354,0.2800451946135398,0.27617618135707267,0.38213429256594733,0.002398081534772195,0.55,0.1678657074340527,0.1654676258992805
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,owngun,hors famille,2,False,1,,0.45499999999999996,0.31302727602090996,0.3137797454344218,0.33299403642553593,0.15575539568345326,0.016786570743405296,,,
