modele,cle_modele,identite,item,tv_camps_decrit,tv_camps_reel_w1,tv_camps_reel_w2,gap_signe_decrit,gap_signe_reel_w1,gap_signe_reel_w2
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,getahead,0.11,0.35619456242235126,0.32417439542342036,0.07999999999999996,0.2151808673543093,0.19615873566207287
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,aged,0.0,0.0508797781052267,0.0568966513536159,,,
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,parsol,0.16,0.0801623761231979,0.031969605038860496,,,
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,divlaw,0.009999999999999953,0.2387102366299731,0.26336280373291726,-0.0050000000000000044,0.22553523446303197,0.24151642541388563
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,sexeduc,0.4,0.2526292219236658,0.24242292912657823,0.4,0.2526292219236659,0.2424229291265782
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,pillok,0.29999999999999993,0.38500765652538216,0.36102684117766026,0.010000000000000009,0.3406022170215635,0.3294111698592932
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,xmarsex,0.14999999999999997,0.38414810320418363,0.4225174077605386,0.07666666666666669,0.1887550200803213,0.21119489950208492
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,homosex,0.44999999999999996,0.45346132732368327,0.5010401317500217,0.15,0.4311153486849076,0.4524043415869714
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,discaff,0.15,0.4008768888503655,0.408071133454682,-0.065,0.30717474213400364,0.30173571985784864
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,abdefect,0.8,0.2743853110282859,0.29061570021091565,0.8,0.2743853110282858,0.2906157002109156
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,abnomore,0.07999999999999997,0.5385643292594839,0.5578645517321084,0.07999999999999999,0.5385643292594839,0.5578645517321084
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,abhlth,0.27,0.08149865649648948,0.08690878622403284,0.27,0.08149865649648949,0.08690878622403281
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,abpoor,0.18000000000000005,0.5480988703013493,0.5692409927479702,0.18000000000000002,0.5480988703013493,0.5692409927479704
