source,famille,statistique,taux,valeur_moyenne,ecart_a_la_reference,z,p_bilateral,puissance_empirique,n_tirages,taux_detectable_alpha5,taux_detectable_holm27,courbe_a,courbe_b,courbe_r2,p_holm
PMM k=10,imputation par tirage,A,0.1,-0.07209949396496111,-0.0035377326719222973,-1.2118630203055931,0.22556481972686196,0.05,20,0.24095000000000003,0.3603,-0.037797671567257767,0.015974294646409492,0.9996858183036563,
PMM k=10,imputation par tirage,A,0.25,-0.0769589039325695,-0.008397142639530689,-2.8764713404840476,0.004021487125112293,0.95,20,0.24095000000000003,0.3603,-0.037797671567257767,0.015974294646409492,0.9996858183036563,
PMM k=10,imputation par tirage,A,0.5,-0.0834808258574469,-0.014919064564408085,-5.110579096790171,3.2117280909019486e-07,1.0,20,0.24095000000000003,0.3603,-0.037797671567257767,0.015974294646409492,0.9996858183036563,
PMM k=10,imputation par tirage,B,0.05,0.04302046463234777,0.0008044024737458785,0.9338571841860902,0.3503775672278963,0.0,20,0.15265,0.2194,0.016455561699033294,-0.004225397855398161,0.9999989642583761,1.0
PMM k=10,imputation par tirage,B,0.1,0.04382257413633431,0.0016065119777324138,1.8650523846603293,0.062174061842902015,0.45,20,0.15265,0.2194,0.016455561699033294,-0.004225397855398161,0.9999989642583761,
PMM k=10,imputation par tirage,B,0.25,0.046066623316076895,0.0038505611574750007,4.470242593003165,7.813092539629967e-06,1.0,20,0.15265,0.2194,0.016455561699033294,-0.004225397855398161,0.9999989642583761,
PMM k=10,imputation par tirage,B,0.5,0.049387253749309586,0.0071711915907076915,8.325271247578092,8.413586063139082e-17,1.0,20,0.15265,0.2194,0.016455561699033294,-0.004225397855398161,0.9999989642583761,
PMM k=10,imputation par tirage,C,0.05,0.027587927756653995,0.00035408745247148335,0.5601265752094161,0.5753931048738148,0.0,20,0.34335000000000004,0.5263,0.005924046715525198,-0.002230112271498093,0.9986381084541242,1.0
PMM k=10,imputation par tirage,C,0.1,0.027725760456273767,0.0004919201520912561,0.7781624232775122,0.4364732662222058,0.1,20,0.34335000000000004,0.5263,0.005924046715525198,-0.002230112271498093,0.9986381084541242,
PMM k=10,imputation par tirage,C,0.25,0.028602661596958172,0.0013688212927756606,2.1653215256417595,0.030363071025672907,0.75,20,0.34335000000000004,0.5263,0.005924046715525198,-0.002230112271498093,0.9986381084541242,
PMM k=10,imputation par tirage,C,0.5,0.02963403041825095,0.0024001901140684387,3.796831147392678,0.00014655754329365598,0.9,20,0.34335000000000004,0.5263,0.005924046715525198,-0.002230112271498093,0.9986381084541242,
agents composite,modele riche,A,0.05,-0.07237764085131551,-0.003815879558276697,-1.3071432342294118,0.19116407024104187,0.05,20,0.10035000000000001,0.13815,-0.07602228923930544,-0.05483543117889308,0.999645971739014,1.0
agents composite,modele riche,A,0.1,-0.07583892860353898,-0.007277167310500168,-2.492819773004477,0.012673315598777784,0.85,20,0.10035000000000001,0.13815,-0.07602228923930544,-0.05483543117889308,0.999645971739014,
agents composite,modele riche,A,0.25,-0.09159757069707523,-0.02303580940403642,-7.890999164838171,2.997766606090002e-15,1.0,20,0.10035000000000001,0.13815,-0.07602228923930544,-0.05483543117889308,0.999645971739014,
agents composite,modele riche,A,0.5,-0.12016716791785761,-0.0516054066248188,-17.67761720177391,6.237728554701555e-70,1.0,20,0.10035000000000001,0.13815,-0.07602228923930544,-0.05483543117889308,0.999645971739014,
agents composite,modele riche,B,0.05,0.04350661318034434,0.001290551021742449,1.4982429598962432,0.13407013781790622,0.15,20,0.08285000000000001,0.11470000000000001,0.027641722451152748,0.018013492925578196,0.9996485179875183,1.0
agents composite,modele riche,B,0.1,0.044888177203372855,0.0026721150447709605,3.1021458945928346,0.001921232469304938,0.95,20,0.08285000000000001,0.11470000000000001,0.027641722451152748,0.018013492925578196,0.9996485179875183,
agents composite,modele riche,B,0.25,0.050475703822109266,0.008259641663507372,9.588888594971987,8.90389277847918e-22,1.0,20,0.08285000000000001,0.11470000000000001,0.027641722451152748,0.018013492925578196,0.9996485179875183,
agents composite,modele riche,B,0.5,0.06049670805337047,0.018280645894768577,21.22260069750197,5.90649749768402e-100,1.0,20,0.08285000000000001,0.11470000000000001,0.027641722451152748,0.018013492925578196,0.9996485179875183,
agents composite,modele riche,C,0.05,0.027650741284050102,0.00041690097986759114,0.659490519714166,0.5095808318688064,0.0,20,0.14545,0.18535000000000001,0.007413064100946065,0.0327836609221245,0.9999865999515676,1.0
agents composite,modele riche,C,0.1,0.02833154018983548,0.0010976998856529682,1.7364379146083473,0.0824864331942295,0.35,20,0.14545,0.18535000000000001,0.007413064100946065,0.0327836609221245,0.9999865999515676,
agents composite,modele riche,C,0.25,0.03113066483849066,0.00389682453430815,6.164338683449502,7.077830953086599e-10,1.0,20,0.14545,0.18535000000000001,0.007413064100946065,0.0327836609221245,0.9999865999515676,
agents composite,modele riche,C,0.5,0.03913685749894832,0.011903017194765806,18.82923613764571,4.34989852413432e-79,1.0,20,0.14545,0.18535000000000001,0.007413064100946065,0.0327836609221245,0.9999865999515676,
agents demographiques (v6),modele a demographies,A,0.05,-0.07503260533434156,-0.006470844041302742,-2.216610844017959,0.02664969590874423,0.75,20,0.052250000000000005,0.07355,-0.1558501208335573,-0.015673357728937156,0.9993730033231717,0.4530448304486519
agents demographiques (v6),modele a demographies,A,0.1,-0.08299483973728636,-0.014433078444247543,-4.944102807589853,7.649532973829071e-07,1.0,20,0.052250000000000005,0.07355,-0.1558501208335573,-0.015673357728937156,0.9993730033231717,
agents demographiques (v6),modele a demographies,A,0.25,-0.10983132772007223,-0.041269566427033416,-14.137038056578604,2.2453797290917823e-45,1.0,20,0.052250000000000005,0.07355,-0.1558501208335573,-0.015673357728937156,0.9993730033231717,
agents demographiques (v6),modele a demographies,A,0.5,-0.15013925344450824,-0.08157749215146942,-27.944662640073823,7.654218205620298e-172,1.0,20,0.052250000000000005,0.07355,-0.1558501208335573,-0.015673357728937156,0.9993730033231717,
agents demographiques (v6),modele a demographies,B,0.05,0.044254889523074735,0.002038827364472841,2.3669414798811834,0.017935768555008235,0.8,20,0.04725,0.0661,0.04985763677857381,0.025858021004365506,0.9986402397225622,0.3372164291356735
agents demographiques (v6),modele a demographies,B,0.1,0.04656930914840239,0.004353246989800497,5.053827043856097,4.330437917588673e-07,1.0,20,0.04725,0.0661,0.04985763677857381,0.025858021004365506,0.9986402397225622,
