condition,item,n_cellules,distance,entropie_humaine,entropie_simulee,ratio_entropie,ecart_desirabilite,perimetre,camp,n_personnes,classe_norc,type,classe_comportement
B0 mode,satjob,1052,0.590304,1.939802,0.000000,0.000000,,1052,tous,1052,temoin,nominal,auto evaluation
B0 tirage,satjob,1052,0.014259,1.939802,1.947170,1.003798,-0.004762,1052,tous,1052,temoin,nominal,auto evaluation
B1 argmax,satjob,1052,0.128327,1.939802,1.589705,0.819519,0.043847,1052,tous,1052,temoin,nominal,auto evaluation
B2 argmax,satjob,1052,0.192966,1.939802,1.425059,0.734641,0.028698,1052,tous,1052,temoin,nominal,auto evaluation
B3 foret,satjob,1052,0.230038,1.939802,1.223681,0.630828,0.030702,1052,tous,1052,temoin,nominal,auto evaluation
humains vague 2,satjob,1052,0.039924,1.939802,2.002212,1.032173,-0.036658,1052,tous,1052,temoin,nominal,auto evaluation
agents composite,spdeg*,1052,0.124525,2.015075,1.656947,0.822276,,1052,tous,1052,non teste,nominal,comportement
agents entretien (v3),spdeg*,1052,0.135932,2.015075,1.768203,0.877488,,1052,tous,1052,non teste,nominal,comportement
agents enquete,spdeg*,1051,0.105443,2.015075,1.678252,0.832848,,1052,tous,1052,non teste,nominal,comportement
agents demographiques (v6),spdeg*,1051,0.112830,2.015075,1.722326,0.854721,,1052,tous,1052,non teste,nominal,comportement
agents v7,spdeg*,1052,0.228137,2.015075,1.510517,0.749608,,1052,tous,1052,non teste,nominal,comportement
agents v8,spdeg*,1051,0.453023,2.015075,1.599666,0.793850,,1052,tous,1052,non teste,nominal,comportement
B0 mode,spdeg*,1052,0.484791,2.015075,0.000000,0.000000,,1052,tous,1052,non teste,nominal,comportement
B0 tirage,spdeg*,1052,0.026616,2.015075,2.060612,1.022598,,1052,tous,1052,non teste,nominal,comportement
B1 argmax,spdeg*,1052,0.218631,2.015075,1.366249,0.678014,,1052,tous,1052,non teste,nominal,comportement
B2 argmax,spdeg*,1052,0.369772,2.015075,0.676854,0.335895,,1052,tous,1052,non teste,nominal,comportement
B3 foret,spdeg*,1052,0.467681,2.015075,0.147382,0.073140,,1052,tous,1052,non teste,nominal,comportement
humains vague 2,spdeg*,1052,0.012357,2.015075,2.016700,1.000807,,1052,tous,1052,non teste,nominal,comportement
agents composite,spjew,1052,0.272814,1.222465,0.170076,0.139125,,1052,tous,1052,non teste,nominal,comportement
agents entretien (v3),spjew,1051,0.275649,1.222465,0.150717,0.123290,,1052,tous,1052,non teste,nominal,comportement
agents enquete,spjew,1047,0.251706,1.222465,0.322049,0.263442,,1052,tous,1052,non teste,nominal,comportement
agents demographiques (v6),spjew,1047,0.247940,1.222465,0.333093,0.272477,,1052,tous,1052,non teste,nominal,comportement
agents v7,spjew,1052,0.290875,1.222465,0.023197,0.018976,,1052,tous,1052,non teste,nominal,comportement
agents v8,spjew,1050,0.290871,1.222465,0.020644,0.016887,,1052,tous,1052,non teste,nominal,comportement
B0 mode,spjew,1052,0.292776,1.222465,0.000000,0.000000,,1052,tous,1052,non teste,nominal,comportement
B0 tirage,spjew,1052,0.010456,1.222465,1.254213,1.025971,,1052,tous,1052,non teste,nominal,comportement
B1 argmax,spjew,1052,0.192966,1.222465,0.553554,0.452818,,1052,tous,1052,non teste,nominal,comportement
B2 argmax,spjew,1052,0.275665,1.222465,0.140849,0.115217,,1052,tous,1052,non teste,nominal,comportement
B3 foret,spjew,1052,0.292776,1.222465,0.000000,0.000000,,1052,tous,1052,non teste,nominal,comportement
humains vague 2,spjew,1052,0.026616,1.222465,1.203419,0.984420,,1052,tous,1052,non teste,nominal,comportement
agents composite,spfund,1052,0.092205,1.311100,1.034843,0.789293,,1052,tous,1052,non teste,nominal,comportement
agents entretien (v3),spfund,1052,0.078897,1.311100,1.070911,0.816804,,1052,tous,1052,non teste,nominal,comportement
agents enquete,spfund,1050,0.118533,1.311100,0.978010,0.745946,,1052,tous,1052,non teste,nominal,comportement
agents demographiques (v6),spfund,1051,0.095032,1.311100,0.961040,0.733002,,1052,tous,1052,non teste,nominal,comportement
agents v7,spfund,1052,0.107414,1.311100,1.414834,1.079119,,1052,tous,1052,non teste,nominal,comportement
agents v8,spfund,1050,0.407261,1.311100,1.932146,1.473683,,1052,tous,1052,non teste,nominal,comportement
B0 mode,spfund,1052,0.311787,1.311100,0.000000,0.000000,,1052,tous,1052,non teste,nominal,comportement
B0 tirage,spfund,1052,0.017110,1.311100,1.288638,0.982868,,1052,tous,1052,non teste,nominal,comportement
B1 argmax,spfund,1052,0.178707,1.311100,0.736715,0.561906,,1052,tous,1052,non teste,nominal,comportement
B2 argmax,spfund,1052,0.282319,1.311100,0.199145,0.151891,,1052,tous,1052,non teste,nominal,comportement
B3 foret,spfund,1052,0.309886,1.311100,0.020610,0.015720,,1052,tous,1052,non teste,nominal,comportement
humains vague 2,spfund,1052,0.004753,1.311100,1.327958,1.012858,,1052,tous,1052,non teste,nominal,comportement
agents composite,unemp,1052,0.153042,0.971190,0.805882,0.829788,0.153042,1052,tous,1052,temoin,binaire,comportement
agents entretien (v3),unemp,1052,0.036122,0.971190,0.945927,0.973987,0.036122,1052,tous,1052,temoin,binaire,comportement
agents enquete,unemp,1051,0.104282,0.971190,0.875725,0.901704,0.104282,1052,tous,1052,temoin,binaire,comportement
agents demographiques (v6),unemp,1049,0.009721,0.971190,0.976639,1.005611,-0.009721,1052,tous,1052,temoin,binaire,comportement
agents v7,unemp,1052,0.107414,0.971190,0.871753,0.897613,0.107414,1052,tous,1052,temoin,binaire,comportement
agents v8,unemp,1051,0.220362,0.971190,0.678301,0.698423,0.220362,1052,tous,1052,temoin,binaire,comportement
B0 mode,unemp,1052,0.399240,0.971190,0.000000,0.000000,0.399240,1052,tous,1052,temoin,binaire,comportement
B0 tirage,unemp,1052,0.019962,0.971190,0.958216,0.986641,0.019962,1052,tous,1052,temoin,binaire,comportement
B1 argmax,unemp,1052,0.098859,0.971190,0.882441,0.908618,0.098859,1052,tous,1052,temoin,binaire,comportement
B2 argmax,unemp,1052,0.160646,0.971190,0.793379,0.816914,0.160646,1052,tous,1052,temoin,binaire,comportement
B3 foret,unemp,1052,0.184411,0.971190,0.751298,0.773585,0.184411,1052,tous,1052,temoin,binaire,comportement
humains vague 2,unemp,1052,0.041825,0.971190,0.990640,1.020028,-0.041825,1052,tous,1052,temoin,binaire,comportement
agents composite,union1,1052,0.040875,0.551964,0.303583,0.550005,,1052,tous,1052,non teste,nominal,comportement
agents entretien (v3),union1,1050,0.036111,0.551964,0.375916,0.681052,,1052,tous,1052,non teste,nominal,comportement
agents enquete,union1,1050,0.072213,0.551964,0.129315,0.234281,,1052,tous,1052,non teste,nominal,comportement
agents demographiques (v6),union1,1048,0.088403,0.551964,0.000000,0.000000,,1052,tous,1052,non teste,nominal,comportement
agents v7,union1,1051,0.057004,0.551964,0.213088,0.386054,,1052,tous,1052,non teste,nominal,comportement
agents v8,union1,1046,0.033221,0.551964,0.358261,0.649066,,1052,tous,1052,non teste,nominal,comportement
B0 mode,union1,1052,0.088403,0.551964,0.000000,0.000000,,1052,tous,1052,non teste,nominal,comportement
B0 tirage,union1,1052,0.017110,0.551964,0.581951,1.054328,,1052,tous,1052,non teste,nominal,comportement
B1 argmax,union1,1052,0.081749,0.551964,0.065614,0.118873,,1052,tous,1052,non teste,nominal,comportement
B2 argmax,union1,1052,0.088403,0.551964,0.000000,0.000000,,1052,tous,1052,non teste,nominal,comportement
B3 foret,union1,1052,0.088403,0.551964,0.000000,0.000000,,1052,tous,1052,non teste,nominal,comportement
humains vague 2,union1,1052,0.009506,0.551964,0.593235,1.074773,,1052,tous,1052,non teste,nominal,comportement
agents composite,spkath/y,1052,0.036122,0.696395,0.766984,1.101364,-0.036122,1052,tous,1052,temoin,binaire,attitude
agents entretien (v3),spkath/y,1052,0.051331,0.696395,0.793379,1.139265,-0.051331,1052,tous,1052,temoin,binaire,attitude
agents enquete,spkath/y,1050,0.015595,0.696395,0.728293,1.045804,-0.015595,1052,tous,1052,temoin,binaire,attitude
agents demographiques (v6),spkath/y,1051,0.051201,0.696395,0.574515,0.824985,0.051201,1052,tous,1052,temoin,binaire,attitude
agents v7,spkath/y,1052,0.084601,0.696395,0.478062,0.686481,0.084601,1052,tous,1052,temoin,binaire,attitude
agents v8,spkath/y,1051,0.061073,0.696395,0.809315,1.162149,-0.061073,1052,tous,1052,temoin,binaire,attitude
B0 mode,spkath/y,1052,0.187262,0.696395,0.000000,0.000000,0.187262,1052,tous,1052,temoin,binaire,attitude
B0 tirage,spkath/y,1052,0.011407,0.696395,0.671612,0.964412,0.011407,1052,tous,1052,temoin,binaire,attitude
B1 argmax,spkath/y,1052,0.164449,0.696395,0.157645,0.226374,0.164449,1052,tous,1052,temoin,binaire,attitude
B2 argmax,spkath/y,1052,0.175856,0.696395,0.090667,0.130195,0.175856,1052,tous,1052,temoin,binaire,attitude
B3 foret,spkath/y,1052,0.187262,0.696395,0.000000,0.000000,0.187262,1052,tous,1052,temoin,binaire,attitude
humains vague 2,spkath/y,1052,0.003802,0.696395,0.704379,1.011465,-0.003802,1052,tous,1052,temoin,binaire,attitude
agents composite,colath,1052,0.027567,0.814963,0.855410,1.049630,-0.027567,1052,tous,1052,temoin,binaire,attitude
agents entretien (v3),colath,1051,0.138204,0.814963,0.965553,1.184782,-0.138204,1052,tous,1052,temoin,binaire,attitude
agents enquete,colath,1052,0.031369,0.814963,0.860554,1.055942,-0.031369,1052,tous,1052,temoin,binaire,attitude
agents demographiques (v6),colath,1051,0.008324,0.814963,0.801626,0.983634,0.008324,1052,tous,1052,temoin,binaire,attitude
agents v7,colath,1052,0.076996,0.814963,0.669489,0.821496,0.076996,1052,tous,1052,temoin,binaire,attitude
agents v8,colath,1051,0.074455,0.814963,0.911846,1.118880,-0.074455,1052,tous,1052,temoin,binaire,attitude
B0 mode,colath,1052,0.251901,0.814963,0.000000,0.000000,0.251901,1052,tous,1052,temoin,binaire,attitude
B0 tirage,colath,1052,0.013308,0.814963,0.835191,1.024821,-0.013308,1052,tous,1052,temoin,binaire,attitude
B1 argmax,colath,1052,0.186312,0.814963,0.349930,0.429381,0.186312,1052,tous,1052,temoin,binaire,attitude
B2 argmax,colath,1052,0.192966,0.814963,0.323890,0.397429,0.192966,1052,tous,1052,temoin,binaire,attitude
B3 foret,colath,1052,0.246198,0.814963,0.051404,0.063075,0.246198,1052,tous,1052,temoin,binaire,attitude
humains vague 2,colath,1052,0.005703,0.814963,0.823796,1.010838,-0.005703,1052,tous,1052,temoin,binaire,attitude
agents composite,spkrac/y,1052,0.017110,0.991591,0.996299,1.004748,,1052,tous,1052,sensible,binaire,attitude
agents entretien (v3),spkrac/y,1051,0.429644,0.991591,0.108626,0.109548,,1052,tous,1052,sensible,binaire,attitude
agents enquete,spkrac/y,1052,0.233840,0.991591,0.742314,0.748609,,1052,tous,1052,sensible,binaire,attitude
agents demographiques (v6),spkrac/y,1051,0.434402,0.991591,0.078245,0.078909,,1052,tous,1052,sensible,binaire,attitude
agents v7,spkrac/y,1052,0.431559,0.991591,0.096730,0.097551,,1052,tous,1052,sensible,binaire,attitude
agents v8,spkrac/y,1051,0.438208,0.991591,0.051445,0.051881,,1052,tous,1052,sensible,binaire,attitude
B0 mode,spkrac/y,1052,0.443916,0.991591,0.000000,0.000000,,1052,tous,1052,sensible,binaire,attitude
B0 tirage,spkrac/y,1052,0.018061,0.991591,0.996510,1.004961,,1052,tous,1052,sensible,binaire,attitude
B1 argmax,spkrac/y,1052,0.073194,0.991591,0.951911,0.959983,,1052,tous,1052,sensible,binaire,attitude
B2 argmax,spkrac/y,1052,0.106464,0.991591,0.923046,0.930873,,1052,tous,1052,sensible,binaire,attitude
B3 foret,spkrac/y,1052,0.202471,0.991591,0.798120,0.804889,,1052,tous,1052,sensible,binaire,attitude
humains vague 2,spkrac/y,1052,0.036122,0.991591,0.999536,1.008012,,1052,tous,1052,sensible,binaire,attitude
agents composite,colrac,1052,0.115970,0.884747,0.981316,1.109148,,1052,tous,1052,temoin,binaire,attitude
agents entretien (v3),colrac,1052,0.226236,0.884747,0.388776,0.439420,,1052,tous,1052,temoin,binaire,attitude
agents enquete,colrac,1052,0.171103,0.884747,0.998641,1.128730,,1052,tous,1052,temoin,binaire,attitude
agents demographiques (v6),colrac,1052,0.224335,0.884747,0.395589,0.447120,,1052,tous,1052,temoin,binaire,attitude
agents v7,colrac,1052,0.246198,0.884747,0.312384,0.353077,,1052,tous,1052,temoin,binaire,attitude
agents v8,colrac,1051,0.092005,0.884747,0.742696,0.839444,,1052,tous,1052,temoin,binaire,attitude
B0 mode,colrac,1052,0.302281,0.884747,0.000000,0.000000,,1052,tous,1052,temoin,binaire,attitude
B0 tirage,colrac,1052,0.011407,0.884747,0.898071,1.015059,,1052,tous,1052,temoin,binaire,attitude
B1 argmax,colrac,1052,0.180608,0.884747,0.534837,0.604508,,1052,tous,1052,temoin,binaire,attitude
B2 argmax,colrac,1052,0.256654,0.884747,0.268209,0.303148,,1052,tous,1052,temoin,binaire,attitude
B3 foret,colrac,1052,0.292776,0.884747,0.078184,0.088369,,1052,tous,1052,temoin,binaire,attitude
humains vague 2,colrac,1052,0.002852,0.884747,0.888161,1.003858,,1052,tous,1052,temoin,binaire,attitude
agents composite,librac/y,1052,0.156844,0.983083,0.835191,0.849563,,1052,tous,1052,non teste,binaire,attitude
agents entretien (v3),librac/y,1052,0.220532,0.983083,0.941202,0.957398,,1052,tous,1052,non teste,binaire,attitude
agents enquete,librac/y,1052,0.090304,0.983083,0.917389,0.933175,,1052,tous,1052,non teste,binaire,attitude
agents demographiques (v6),librac/y,1052,0.350760,0.983083,0.773760,0.787075,,1052,tous,1052,non teste,binaire,attitude
agents v7,librac/y,1052,0.373574,0.983083,0.731273,0.743857,,1052,tous,1052,non teste,binaire,attitude
agents v8,librac/y,1051,0.101258,0.983083,0.999118,1.016311,,1052,tous,1052,non teste,binaire,attitude
B0 mode,librac/y,1052,0.422053,0.983083,0.000000,0.000000,,1052,tous,1052,non teste,binaire,attitude
B0 tirage,librac/y,1052,0.016160,0.983083,0.974980,0.991757,,1052,tous,1052,non teste,binaire,attitude
B1 argmax,librac/y,1052,0.143536,0.983083,0.854108,0.868805,,1052,tous,1052,non teste,binaire,attitude
B2 argmax,librac/y,1052,0.191065,0.983083,0.780416,0.793846,,1052,tous,1052,non teste,binaire,attitude
B3 foret,librac/y,1052,0.212928,0.983083,0.740493,0.753236,,1052,tous,1052,non teste,binaire,attitude
humains vague 2,librac/y,1052,0.002852,0.983083,0.981766,0.998660,,1052,tous,1052,non teste,binaire,attitude
agents composite,spkcom/y,1052,0.096008,0.893727,0.749517,0.838641,0.096008,1052,tous,1052,non teste,binaire,attitude
agents entretien (v3),spkcom/y,1051,0.074872,0.893727,0.787337,0.880958,0.074872,1052,tous,1052,non teste,binaire,attitude
agents enquete,spkcom/y,1050,0.157505,0.893727,0.616454,0.689756,0.157505,1052,tous,1052,non teste,binaire,attitude
agents demographiques (v6),spkcom/y,1050,0.198457,0.893727,0.504897,0.564934,0.198457,1052,tous,1052,non teste,binaire,attitude
agents v7,spkcom/y,1052,0.213878,0.893727,0.456896,0.511226,0.213878,1052,tous,1052,non teste,binaire,attitude
agents v8,spkcom/y,1047,0.061557,0.893727,0.809307,0.905541,0.061557,1052,tous,1052,non teste,binaire,attitude
B0 mode,spkcom/y,1052,0.309886,0.893727,0.000000,0.000000,0.309886,1052,tous,1052,non teste,binaire,attitude
B0 tirage,spkcom/y,1052,0.023764,0.893727,0.919298,1.028611,-0.023764,1052,tous,1052,non teste,binaire,attitude
B1 argmax,spkcom/y,1052,0.194867,0.893727,0.515557,0.576862,0.194867,1052,tous,1052,non teste,binaire,attitude
B2 argmax,spkcom/y,1052,0.184411,0.893727,0.545583,0.610458,0.184411,1052,tous,1052,non teste,binaire,attitude
B3 foret,spkcom/y,1052,0.288023,0.893727,0.152463,0.170592,0.288023,1052,tous,1052,non teste,binaire,attitude
humains vague 2,spkcom/y,1052,0.037072,0.893727,0.846159,0.946775,0.037072,1052,tous,1052,non teste,binaire,attitude
agents composite,colcom/y,1052,0.119772,0.899141,0.712228,0.792120,0.119772,1052,tous,1052,non teste,binaire,attitude
agents entretien (v3),colcom/y,1052,0.035171,0.899141,0.855410,0.951363,0.035171,1052,tous,1052,non teste,binaire,attitude
agents enquete,colcom/y,1050,0.093686,0.899141,0.762590,0.848131,0.093686,1052,tous,1052,non teste,binaire,attitude
agents demographiques (v6),colcom/y,1051,0.189044,0.899141,0.545918,0.607155,0.189044,1052,tous,1052,non teste,binaire,attitude
agents v7,colcom/y,1052,0.220532,0.899141,0.450716,0.501274,0.220532,1052,tous,1052,non teste,binaire,attitude
agents v8,colcom/y,1051,0.048226,0.899141,0.836957,0.930840,0.048226,1052,tous,1052,non teste,binaire,attitude
B0 mode,colcom/y,1052,0.314639,0.899141,0.000000,0.000000,0.314639,1052,tous,1052,non teste,binaire,attitude
B0 tirage,colcom/y,1052,0.019962,0.899141,0.920244,1.023469,-0.019962,1052,tous,1052,non teste,binaire,attitude
B1 argmax,colcom/y,1052,0.186312,0.899141,0.553518,0.615607,0.186312,1052,tous,1052,non teste,binaire,attitude
B2 argmax,colcom/y,1052,0.220532,0.899141,0.450716,0.501274,0.220532,1052,tous,1052,non teste,binaire,attitude
B3 foret,colcom/y,1052,0.300380,0.899141,0.108543,0.120718,0.300380,1052,tous,1052,non teste,binaire,attitude
humains vague 2,colcom/y,1052,0.015209,0.899141,0.881278,0.980133,0.015209,1052,tous,1052,non teste,binaire,attitude
agents composite,libcom/y,1052,0.057985,0.823796,0.721853,0.876252,0.057985,1052,tous,1052,temoin,binaire,attitude
agents entretien (v3),libcom/y,1052,0.176806,0.823796,0.405672,0.492443,0.176806,1052,tous,1052,temoin,binaire,attitude
agents enquete,libcom/y,1052,0.125475,0.823796,0.563935,0.684556,0.125475,1052,tous,1052,temoin,binaire,attitude
agents demographiques (v6),libcom/y,1052,0.134030,0.823796,0.540234,0.655786,0.134030,1052,tous,1052,temoin,binaire,attitude
agents v7,libcom/y,1052,0.205323,0.823796,0.296696,0.360157,0.205323,1052,tous,1052,temoin,binaire,attitude
agents v8,libcom/y,1051,0.206225,0.823796,0.292915,0.355568,0.206225,1052,tous,1052,temoin,binaire,attitude
B0 mode,libcom/y,1052,0.257605,0.823796,0.000000,0.000000,0.257605,1052,tous,1052,temoin,binaire,attitude
B0 tirage,libcom/y,1052,0.005703,0.823796,0.832383,1.010424,-0.005703,1052,tous,1052,temoin,binaire,attitude
B1 argmax,libcom/y,1052,0.187262,0.823796,0.367885,0.446573,0.187262,1052,tous,1052,temoin,binaire,attitude
B2 argmax,libcom/y,1052,0.193916,0.823796,0.342601,0.415881,0.193916,1052,tous,1052,temoin,binaire,attitude
B3 foret,libcom/y,1052,0.252852,0.823796,0.044204,0.053659,0.252852,1052,tous,1052,temoin,binaire,attitude
humains vague 2,libcom/y,1052,0.010456,0.823796,0.807413,0.980113,0.010456,1052,tous,1052,temoin,binaire,attitude
agents composite,spkhomo/y,1052,0.041825,0.335184,0.481028,1.435116,-0.041825,1052,tous,1052,non teste,binaire,attitude
agents entretien (v3),spkhomo/y,1051,0.025749,0.335184,0.428877,1.279525,-0.025749,1052,tous,1052,non teste,binaire,attitude
agents enquete,spkhomo/y,1052,0.070342,0.335184,0.563935,1.682462,-0.070342,1052,tous,1052,non teste,binaire,attitude
agents demographiques (v6),spkhomo/y,1049,0.034142,0.335184,0.183130,0.546357,0.034142,1052,tous,1052,non teste,binaire,attitude
agents v7,spkhomo/y,1051,0.023728,0.335184,0.234007,0.698145,0.023728,1052,tous,1052,non teste,binaire,attitude
agents v8,spkhomo/y,1051,0.137071,0.335184,0.720325,2.149043,-0.137071,1052,tous,1052,non teste,binaire,attitude
B0 mode,spkhomo/y,1052,0.061787,0.335184,0.000000,0.000000,0.061787,1052,tous,1052,non teste,binaire,attitude
B0 tirage,spkhomo/y,1052,0.007605,0.335184,0.304591,0.908727,0.007605,1052,tous,1052,non teste,binaire,attitude
B1 argmax,spkhomo/y,1052,0.058935,0.335184,0.028902,0.086228,0.058935,1052,tous,1052,non teste,binaire,attitude
B2 argmax,spkhomo/y,1052,0.061787,0.335184,0.000000,0.000000,0.061787,1052,tous,1052,non teste,binaire,attitude
B3 foret,spkhomo/y,1052,0.061787,0.335184,0.000000,0.000000,0.061787,1052,tous,1052,non teste,binaire,attitude
humains vague 2,spkhomo/y,1052,0.019011,0.335184,0.405672,1.210296,-0.019011,1052,tous,1052,non teste,binaire,attitude
agents composite,colhomo,1052,0.152091,0.353562,0.758346,2.144872,-0.152091,1052,tous,1052,non teste,binaire,attitude
agents entretien (v3),colhomo,1052,0.103612,0.353562,0.658738,1.863146,-0.103612,1052,tous,1052,non teste,binaire,attitude
agents enquete,colhomo,1052,0.151141,0.353562,0.756595,2.139921,-0.151141,1052,tous,1052,non teste,binaire,attitude
agents demographiques (v6),colhomo,1050,0.006793,0.353562,0.378929,1.071745,-0.006793,1052,tous,1052,non teste,binaire,attitude
agents v7,colhomo,1051,0.024675,0.353562,0.251465,0.711231,0.024675,1052,tous,1052,non teste,binaire,attitude
agents v8,colhomo,1051,0.162765,0.353562,0.777485,2.199004,-0.162765,1052,tous,1052,non teste,binaire,attitude
B0 mode,colhomo,1052,0.066540,0.353562,0.000000,0.000000,0.066540,1052,tous,1052,non teste,binaire,attitude
B0 tirage,colhomo,1052,0.010456,0.353562,0.392191,1.109257,-0.010456,1052,tous,1052,non teste,binaire,attitude
B1 argmax,colhomo,1052,0.063688,0.353562,0.028902,0.081746,0.063688,1052,tous,1052,non teste,binaire,attitude
B2 argmax,colhomo,1052,0.066540,0.353562,0.000000,0.000000,0.066540,1052,tous,1052,non teste,binaire,attitude
B3 foret,colhomo,1052,0.066540,0.353562,0.000000,0.000000,0.066540,1052,tous,1052,non teste,binaire,attitude
humains vague 2,colhomo,1052,0.017110,0.353562,0.415598,1.175458,-0.017110,1052,tous,1052,non teste,binaire,attitude
agents composite,libhomo/y,1052,0.053232,0.574170,0.700404,1.219855,-0.053232,1052,tous,1052,non teste,binaire,attitude
agents entretien (v3),libhomo/y,1052,0.024715,0.574170,0.636539,1.108626,-0.024715,1052,tous,1052,non teste,binaire,attitude
agents enquete,libhomo/y,1052,0.038023,0.574170,0.667357,1.162299,-0.038023,1052,tous,1052,non teste,binaire,attitude
agents demographiques (v6),libhomo/y,1049,0.062528,0.574170,0.379185,0.660406,0.062528,1052,tous,1052,non teste,binaire,attitude
agents v7,libhomo/y,1051,0.094067,0.574170,0.251465,0.437962,0.094067,1052,tous,1052,non teste,binaire,attitude
agents v8,libhomo/y,1051,0.091471,0.574170,0.774142,1.348281,-0.091471,1052,tous,1052,non teste,binaire,attitude
B0 mode,libhomo/y,1052,0.135932,0.574170,0.000000,0.000000,0.135932,1052,tous,1052,non teste,binaire,attitude
B0 tirage,libhomo/y,1052,0.002852,0.574170,0.566510,0.986660,0.002852,1052,tous,1052,non teste,binaire,attitude
B1 argmax,libhomo/y,1052,0.115970,0.574170,0.141913,0.247162,0.115970,1052,tous,1052,non teste,binaire,attitude
B2 argmax,libhomo/y,1052,0.129278,0.574170,0.058372,0.101664,0.129278,1052,tous,1052,non teste,binaire,attitude
B3 foret,libhomo/y,1052,0.135932,0.574170,0.000000,0.000000,0.135932,1052,tous,1052,non teste,binaire,attitude
humains vague 2,libhomo/y,1052,0.023764,0.574170,0.634267,1.104668,-0.023764,1052,tous,1052,non teste,binaire,attitude
agents composite,cappun,1052,0.069392,0.957538,0.992785,1.036810,,1052,tous,1052,temoin,binaire,attitude
agents entretien (v3),cappun,1052,0.142586,0.957538,0.999423,1.043743,,1052,tous,1052,temoin,binaire,attitude
agents enquete,cappun,1052,0.076046,0.957538,0.994670,1.038779,,1052,tous,1052,temoin,binaire,attitude
agents demographiques (v6),cappun,1050,0.260721,0.957538,0.944158,0.986027,,1052,tous,1052,temoin,binaire,attitude
agents v7,cappun,1051,0.412349,0.957538,0.740876,0.773730,,1052,tous,1052,temoin,binaire,attitude
agents v8,cappun,1051,0.146887,0.957538,0.998851,1.043146,,1052,tous,1052,temoin,binaire,attitude
B0 mode,cappun,1052,0.378327,0.957538,0.000000,0.000000,,1052,tous,1052,temoin,binaire,attitude
B0 tirage,cappun,1052,0.001901,0.957538,0.956164,0.998566,,1052,tous,1052,temoin,binaire,attitude
B1 argmax,cappun,1052,0.088403,0.957538,0.869309,0.907859,,1052,tous,1052,temoin,binaire,attitude
B2 argmax,cappun,1052,0.022814,0.957538,0.939581,0.981248,,1052,tous,1052,temoin,binaire,attitude
B3 foret,cappun,1052,0.137833,0.957538,0.796547,0.831870,,1052,tous,1052,temoin,binaire,attitude
humains vague 2,cappun,1052,0.007605,0.957538,0.951911,0.994124,,1052,tous,1052,temoin,binaire,attitude
agents composite,polhitok/y,1052,0.064639,0.928492,0.854108,0.919887,-0.064639,1052,tous,1052,temoin,binaire,attitude
agents entretien (v3),polhitok/y,1052,0.184411,0.928492,0.631985,0.680657,-0.184411,1052,tous,1052,temoin,binaire,attitude
agents enquete,polhitok/y,1050,0.080299,0.928492,0.831714,0.895769,-0.080299,1052,tous,1052,temoin,binaire,attitude
agents demographiques (v6),polhitok/y,1051,0.304145,0.928492,0.238423,0.256785,-0.304145,1052,tous,1052,temoin,binaire,attitude
agents v7,polhitok/y,1050,0.233632,0.928492,0.499165,0.537608,-0.233632,1052,tous,1052,temoin,binaire,attitude
agents v8,polhitok/y,1049,0.177284,0.928492,0.648862,0.698834,-0.177284,1052,tous,1052,temoin,binaire,attitude
B0 mode,polhitok/y,1052,0.343156,0.928492,0.000000,0.000000,-0.343156,1052,tous,1052,temoin,binaire,attitude
B0 tirage,polhitok/y,1052,0.009506,0.928492,0.937108,1.009279,0.009506,1052,tous,1052,temoin,binaire,attitude
B1 argmax,polhitok/y,1052,0.148289,0.928492,0.712228,0.767080,-0.148289,1052,tous,1052,temoin,binaire,attitude
B2 argmax,polhitok/y,1052,0.262357,0.928492,0.405672,0.436915,-0.262357,1052,tous,1052,temoin,binaire,attitude
B3 foret,polhitok/y,1052,0.253802,0.928492,0.434994,0.468495,-0.253802,1052,tous,1052,temoin,binaire,attitude
humains vague 2,polhitok/y,1052,0.004753,0.928492,0.932872,1.004717,0.004753,1052,tous,1052,temoin,binaire,attitude
agents composite,polabuse/y,1052,0.165399,0.335184,0.773760,2.308462,-0.165399,1052,tous,1052,sensible,binaire,attitude
agents entretien (v3),polabuse/y,1052,0.059886,0.335184,0.020610,0.061489,0.059886,1052,tous,1052,sensible,binaire,attitude
agents enquete,polabuse/y,1050,0.019882,0.335184,0.251645,0.750767,0.019882,1052,tous,1052,sensible,binaire,attitude
agents demographiques (v6),polabuse/y,1051,0.057981,0.335184,0.036757,0.109661,0.057981,1052,tous,1052,sensible,binaire,attitude
agents v7,polabuse/y,1050,0.057978,0.335184,0.036786,0.109750,0.057978,1052,tous,1052,sensible,binaire,attitude
agents v8,polabuse/y,1049,0.057021,0.335184,0.044311,0.132198,0.057021,1052,tous,1052,sensible,binaire,attitude
B0 mode,polabuse/y,1052,0.061787,0.335184,0.000000,0.000000,0.061787,1052,tous,1052,sensible,binaire,attitude
B0 tirage,polabuse/y,1052,0.003802,0.335184,0.320078,0.954933,0.003802,1052,tous,1052,sensible,binaire,attitude
B1 argmax,polabuse/y,1052,0.060837,0.335184,0.011599,0.034605,0.060837,1052,tous,1052,sensible,binaire,attitude
B2 argmax,polabuse/y,1052,0.061787,0.335184,0.000000,0.000000,0.061787,1052,tous,1052,sensible,binaire,attitude
B3 foret,polabuse/y,1052,0.061787,0.335184,0.000000,0.000000,0.061787,1052,tous,1052,sensible,binaire,attitude
