jeu,predicteur,item,mi_bits,entropie_humaine_bits
Twin-2K-500,PMM k=10,0,0.17879712383141208,2.1518314761987885
Twin-2K-500,PMM k=10,1,0.13802723014934679,2.097367995708299
Twin-2K-500,PMM k=10,2,0.17781398493210385,2.1057217557884034
Twin-2K-500,PMM k=10,3,0.1521316316789307,1.937651438082106
Twin-2K-500,PMM k=10,4,0.022677537188934928,1.8450157745948101
Twin-2K-500,PMM k=10,5,0.1968781778691517,2.1045925291929604
Twin-2K-500,PMM k=10,6,0.08354396077060676,1.7751756886277978
Twin-2K-500,PMM k=10,7,0.09995362544366769,1.8534320012884278
Twin-2K-500,PMM k=10,8,0.17462174430801977,2.3067827312080036
Twin-2K-500,PMM k=10,9,0.04944090298859114,2.1736894773083106
Twin-2K-500,PMM k=10,10,0.012080801474401583,1.7612482095388404
Twin-2K-500,PMM k=10,11,0.01989049299109743,2.311043966301265
Twin-2K-500,PMM k=10,12,0.030226430070405777,2.687569676063709
Twin-2K-500,PMM k=10,13,0.023223783480951846,2.6280972149013593
Twin-2K-500,PMM k=10,14,0.015155195689636938,2.340997551695686
Twin-2K-500,PMM k=10,15,0.014289467528633335,2.1199317725722557
Twin-2K-500,PMM k=10,16,0.0045921339981127305,2.1407993382056354
Twin-2K-500,PMM k=10,17,0.021718904332323128,2.1048157193171066
Twin-2K-500,PMM k=10,18,0.026825729800415744,1.9142331273210715
Twin-2K-500,PMM k=10,19,0.002250436749241301,0.9573425734686967
Twin-2K-500,PMM k=10,20,0.002053727463038334,0.9911639398132197
Twin-2K-500,PMM k=10,21,0.00032274448432323286,0.9908437246328534
Twin-2K-500,PMM k=10,22,3.825208776575426e-05,0.994947489007991
Twin-2K-500,PMM k=10,23,0.0013474614357980017,0.9953060173280208
Twin-2K-500,PMM k=10,24,0.0003900978236157636,0.9944502310277452
Twin-2K-500,PMM k=10,25,0.0006336603395651328,0.9929693891278855
Twin-2K-500,PMM k=10,26,0.0004128893662622689,0.9939309930845985
Twin-2K-500,PMM k=10,27,0.0008152359928201834,0.9884474381266917
Twin-2K-500,PMM k=10,28,0.0009008033711903605,0.9855786450334957
Twin-2K-500,PMM k=10,29,0.004446971209807859,0.9935271307269335
Twin-2K-500,PMM k=10,30,0.002789731216215062,0.9906815461789256
Twin-2K-500,PMM k=10,31,0.00595789148792547,0.9891597569207325
Twin-2K-500,PMM k=10,32,3.669335543943095e-05,0.9884474381266917
Twin-2K-500,PMM k=10,33,1.4775623248918098e-05,0.9839207393294618
Twin-2K-500,PMM k=10,34,0.00012483929932116542,0.992389622117408
Twin-2K-500,PMM k=10,35,0.0001335183191175636,0.9928265129423262
Twin-2K-500,PMM k=10,36,0.001383368525724514,0.9916339128800118
Twin-2K-500,PMM k=10,37,-0.00027881071236346547,0.9951878802971897
Twin-2K-500,PMM k=10,38,-0.00020842029232604045,0.9931108887286502
Twin-2K-500,PMM k=10,39,0.002612623660821044,0.9845528988319523
Twin-2K-500,PMM k=10,40,0.0006000531371568294,0.9947016065454062
Twin-2K-500,PMM k=10,41,0.00018617378113194735,0.993389759260429
Twin-2K-500,PMM k=10,42,-0.00013554453816544534,0.9793851225722311
Twin-2K-500,PMM k=10,43,-1.4186512193871262e-05,0.9928265129423262
Twin-2K-500,PMM k=10,44,0.003303527105310121,0.9906815461789256
Twin-2K-500,PMM k=10,45,0.004157071546022183,0.9908437246328534
Twin-2K-500,PMM k=10,46,0.0007277751671828079,0.9873373931349485
Twin-2K-500,PMM k=10,47,9.015399985900938e-05,0.9851725220671761
Twin-2K-500,PMM k=10,48,0.0006650142331472418,0.9898499326590742
Twin-2K-500,PMM k=10,49,0.0002794325091575166,0.9922412368194928
Twin-2K-500,PMM k=10,50,0.001544348332406019,0.9867636445765502
Twin-2K-500,PMM k=10,51,-0.00024148801588253069,0.992536629715774
Twin-2K-500,PMM k=10,52,0.003689096330885987,0.984760832284804
Twin-2K-500,PMM k=10,53,0.001320392116061163,0.9855786450334957
Twin-2K-500,PMM k=10,54,0.0022776550820784434,0.9898499326590742
Twin-2K-500,PMM k=10,55,0.0009362365318363861,0.9845528988319523
Twin-2K-500,PMM k=10,56,0.001196727401385321,0.9906815461789256
Twin-2K-500,PMM k=10,57,0.0001623766283314053,0.9891597569207325
Twin-2K-500,PMM k=10,58,0.002537035036437095,0.9810362409029043
Twin-2K-500,PMM k=10,59,-7.18416895517672e-05,0.992389622117408
Twin-2K-500,Demographics Only - GPT4.1-mini,0,0.06217136905836717,2.1518314761987885
Twin-2K-500,Demographics Only - GPT4.1-mini,1,0.053752675257583864,2.097367995708299
Twin-2K-500,Demographics Only - GPT4.1-mini,2,0.06817125740823915,2.1057217557884034
Twin-2K-500,Demographics Only - GPT4.1-mini,3,0.20143654452269774,1.937651438082106
Twin-2K-500,Demographics Only - GPT4.1-mini,4,0.04809068553910743,1.8450157745948101
Twin-2K-500,Demographics Only - GPT4.1-mini,5,0.10780509102876977,2.1045925291929604
Twin-2K-500,Demographics Only - GPT4.1-mini,6,0.03607740175714679,1.7751756886277978
Twin-2K-500,Demographics Only - GPT4.1-mini,7,0.16190122971967866,1.8534320012884278
Twin-2K-500,Demographics Only - GPT4.1-mini,8,0.03822978990140812,2.3067827312080036
Twin-2K-500,Demographics Only - GPT4.1-mini,9,0.010460543299357628,2.1736894773083106
Twin-2K-500,Demographics Only - GPT4.1-mini,10,0.002022135392224948,1.7612482095388404
Twin-2K-500,Demographics Only - GPT4.1-mini,11,0.0007313858752042639,2.311043966301265
Twin-2K-500,Demographics Only - GPT4.1-mini,12,-0.0012428626931591125,2.687569676063709
Twin-2K-500,Demographics Only - GPT4.1-mini,13,0.0029237241809805126,2.6280972149013593
Twin-2K-500,Demographics Only - GPT4.1-mini,14,0.00199572799922175,2.340997551695686
Twin-2K-500,Demographics Only - GPT4.1-mini,15,-0.0009799655264539778,2.1199317725722557
Twin-2K-500,Demographics Only - GPT4.1-mini,16,0.0014185559499515343,2.1407993382056354
Twin-2K-500,Demographics Only - GPT4.1-mini,17,0.001385080918341313,2.1048157193171066
Twin-2K-500,Demographics Only - GPT4.1-mini,18,0.005329744868027838,1.9142331273210715
Twin-2K-500,Demographics Only - GPT4.1-mini,19,-0.0002195963301079308,0.9573425734686967
Twin-2K-500,Demographics Only - GPT4.1-mini,20,0.045058801172925156,0.9911639398132197
Twin-2K-500,Demographics Only - GPT4.1-mini,21,0.05638274670422261,0.9908437246328534
