condition,cellules,cellules_minoritaires,cellules_predites_minoritaires,minorites_justes,minorites_a_personne_majoritaire,minorites_mauvaise_modalite,taux_refus,rappel,precision,f1,taux_fausses_minorites,taux_mauvaise_minorite,masse_predite,masse_humaine,rappel_ic_bas,rappel_ic_haut,precision_ic_bas,precision_ic_haut,f1_ic_bas,f1_ic_haut,taux_fausses_minorites_ic_bas,taux_fausses_minorites_ic_haut,taux_mauvaise_minorite_ic_bas,taux_mauvaise_minorite_ic_haut,masse_predite_ic_bas,masse_predite_ic_haut,perimetre,seuil
humains vague 2,22350,2414,2386,1406,747,233,0.000000,0.582436,0.589271,0.585833,0.313076,0.097653,0.106756,0.108009,0.552318,0.612706,0.555506,0.622605,0.556400,0.615351,0.283550,0.343337,0.084925,0.110775,0.099461,0.114273,150,0.200000
agents composite,156748,5709,5420,1752,3337,331,0.000000,0.306884,0.323247,0.314853,0.615683,0.061070,0.034578,0.036422,0.290236,0.323321,0.307337,0.338485,0.299932,0.329241,0.599592,0.632030,0.054835,0.067880,0.032849,0.036212,1052,0.100000
agents entretien (v3),156748,5709,5808,1686,3785,337,0.000900,0.295323,0.290289,0.292785,0.651687,0.058023,0.037053,0.036422,0.279059,0.311250,0.274744,0.304280,0.278330,0.305708,0.635879,0.668207,0.051995,0.064482,0.035267,0.038871,1052,0.100000
agents enquete,156748,5709,5640,1316,3963,361,0.000810,0.230513,0.233333,0.231915,0.702660,0.064007,0.035981,0.036422,0.213746,0.246026,0.217968,0.247282,0.216041,0.245866,0.688442,0.717883,0.057358,0.070713,0.034277,0.037621,1052,0.100000
agents demographiques (v6),156748,5709,2581,927,1486,168,0.002003,0.162375,0.359163,0.223643,0.575746,0.065091,0.016466,0.036422,0.151641,0.173398,0.340857,0.378096,0.211040,0.236533,0.555599,0.596147,0.055963,0.074032,0.015719,0.017193,1052,0.100000
agents v7,156748,5709,2939,384,2392,163,0.000376,0.067262,0.130657,0.088807,0.813882,0.055461,0.018750,0.036422,0.058033,0.076927,0.115039,0.146853,0.077462,0.100610,0.796217,0.831616,0.047619,0.063706,0.017652,0.019968,1052,0.100000
agents v8,156748,5709,6609,980,5467,162,0.001008,0.171659,0.148283,0.159117,0.827205,0.024512,0.042163,0.036422,0.155295,0.187805,0.134784,0.161180,0.145114,0.172576,0.813696,0.841375,0.020805,0.028483,0.039662,0.044773,1052,0.100000
B0 mode,156748,5709,0,0,0,0,0.000000,0.000000,,0.000000,,,0.000000,0.036422,0.000000,0.000000,,,0.000000,0.000000,,,,,0.000000,0.000000,1052,0.100000
B0 tirage,156748,5709,5699,352,5043,304,0.000000,0.061657,0.061765,0.061711,0.884892,0.053343,0.036358,0.036422,0.055402,0.068056,0.055173,0.068477,0.055402,0.068122,0.876641,0.893463,0.047602,0.058939,0.035471,0.037225,1052,0.100000
B1 argmax,156748,5709,1496,331,1021,144,0.000000,0.057979,0.221257,0.091881,0.682487,0.096257,0.009544,0.036422,0.051308,0.065116,0.197628,0.244508,0.081852,0.102494,0.656488,0.709431,0.080930,0.111694,0.008925,0.010233,1052,0.100000
B2 argmax,156748,5709,417,204,152,61,0.000000,0.035733,0.489209,0.066601,0.364508,0.146283,0.002660,0.036422,0.029148,0.042913,0.434241,0.541672,0.054626,0.079382,0.317417,0.416868,0.110832,0.184275,0.002303,0.003030,1052,0.100000
B3 foret,156748,5709,207,82,95,30,0.000000,0.014363,0.396135,0.027721,0.458937,0.144928,0.001321,0.036422,0.011433,0.017744,0.330273,0.462771,0.022135,0.034098,0.389904,0.525600,0.097084,0.198825,0.001129,0.001525,1052,0.100000
humains vague 2,156748,5709,5899,3130,2442,327,0.000000,0.548257,0.530598,0.539283,0.413968,0.055433,0.037634,0.036422,0.531387,0.564721,0.512496,0.549968,0.523712,0.555185,0.395432,0.431278,0.049433,0.061733,0.036026,0.039160,1052,0.100000
agents composite,156748,18411,16048,6544,7136,2368,0.000000,0.355440,0.407777,0.379814,0.444666,0.147557,0.102381,0.117456,0.345012,0.365351,0.398071,0.416704,0.370351,0.388534,0.435365,0.454051,0.141918,0.153242,0.099299,0.105310,1052,0.200000
agents entretien (v3),156748,18411,17915,6503,8989,2423,0.000900,0.353213,0.362992,0.358036,0.501758,0.135250,0.114292,0.117456,0.342293,0.363661,0.353712,0.371889,0.348996,0.366724,0.492261,0.511858,0.129676,0.140895,0.110859,0.117724,1052,0.200000
agents enquete,156748,18411,17085,5164,9029,2892,0.000810,0.280484,0.302253,0.290962,0.528475,0.169271,0.108997,0.117456,0.270091,0.290002,0.293012,0.311078,0.281744,0.299606,0.520148,0.537426,0.163247,0.175183,0.106100,0.111785,1052,0.200000
agents demographiques (v6),156748,18411,11371,3434,5616,2321,0.002003,0.186519,0.301996,0.230609,0.493888,0.204116,0.072543,0.117456,0.179859,0.193198,0.293194,0.311380,0.223489,0.237771,0.484094,0.503428,0.196635,0.211292,0.070769,0.074323,1052,0.200000
agents v7,156748,18411,11817,2451,7321,2045,0.000376,0.133127,0.207413,0.162168,0.619531,0.173056,0.075389,0.117456,0.126525,0.140501,0.197786,0.217183,0.154525,0.170188,0.608435,0.630839,0.165459,0.180299,0.073366,0.077430,1052,0.200000
agents v8,156748,18411,20364,4107,13612,2645,0.001008,0.223073,0.201679,0.211838,0.668434,0.129886,0.129916,0.117456,0.211561,0.234591,0.193358,0.209796,0.203065,0.220526,0.659391,0.677699,0.124706,0.134945,0.124869,0.135058,1052,0.200000
B0 mode,156748,18411,0,0,0,0,0.000000,0.000000,,0.000000,,,0.000000,0.117456,0.000000,0.000000,,,0.000000,0.000000,,,,,0.000000,0.000000,1052,0.200000
B0 tirage,156748,18411,18498,2306,13442,2750,0.000000,0.125251,0.124662,0.124956,0.726673,0.148665,0.118011,0.117456,0.120156,0.130303,0.119212,0.129929,0.120017,0.129886,0.719220,0.734029,0.143156,0.153851,0.116639,0.119447,1052,0.200000
B1 argmax,156748,18411,7960,2391,4101,1468,0.000000,0.129868,0.300377,0.181336,0.515201,0.184422,0.050782,0.117456,0.123495,0.136608,0.288428,0.312258,0.173526,0.189535,0.502499,0.527925,0.175579,0.193294,0.049104,0.052518,1052,0.200000
B2 argmax,156748,18411,3627,1731,1026,870,0.000000,0.094020,0.477254,0.157092,0.282878,0.239868,0.023139,0.117456,0.087843,0.100190,0.457891,0.496884,0.147699,0.166697,0.267658,0.297733,0.224956,0.255647,0.021901,0.024332,1052,0.200000
B3 foret,156748,18411,2306,911,887,508,0.000000,0.049481,0.395056,0.087947,0.384649,0.220295,0.014712,0.117456,0.045611,0.053486,0.373236,0.416204,0.081463,0.094577,0.363321,0.406678,0.203388,0.237447,0.013876,0.015592,1052,0.200000
humains vague 2,156748,18411,18518,11153,5489,1876,0.000000,0.605779,0.602279,0.604024,0.296414,0.101307,0.118139,0.117456,0.595295,0.616607,0.590477,0.614384,0.593382,0.614380,0.285714,0.307113,0.096752,0.105914,0.115375,0.120761,1052,0.200000
