modele,cle_modele,camp,item,tv_entre_identites,tv_plancher_w1_w2
gpt-oss-20b,oss20,droite,natfare/y,0.2,0.009036144578313199
gpt-oss-20b,oss20,droite,natroad,0.25,0.03915662650602406
gpt-oss-20b,oss20,droite,natsoc,0.2,0.015060240963855366
gpt-oss-20b,oss20,droite,natmass,0.0,0.015060240963855456
gpt-oss-20b,oss20,droite,natpark,0.0,0.02108433734939756
gpt-oss-20b,oss20,droite,natchld,0.0,0.042168674698795205
gpt-oss-20b,oss20,droite,natsci,0.0,0.009036144578313227
gpt-oss-20b,oss20,droite,natenrgy,0.0,0.036144578313253045
gpt-oss-20b,oss20,droite,uswary,0.22999999999999998,0.01204819277108432
gpt-oss-20b,oss20,droite,prayer,0.39999999999999997,0.02710843373493979
gpt-oss-20b,oss20,droite,courts,0.0,0.030120481927710843
gpt-oss-20b,oss20,droite,discaffw,0.0,0.04216867469879528
gpt-oss-20b,oss20,droite,discaffm,0.0,0.07228915662650601
gpt-oss-20b,oss20,droite,fehire,0.1,0.0512048192771084
gpt-oss-20b,oss20,droite,fechld,0.2,0.045180722891566244
gpt-oss-20b,oss20,droite,fepresch,0.030000000000000013,0.04216867469879516
gpt-oss-20b,oss20,droite,fefam,0.0,0.01204819277108439
gpt-oss-20b,oss20,droite,fepol,0.20000000000000004,0.06927710843373494
gpt-oss-20b,oss20,droite,mobile16,0.0,0.006024096385542188
gpt-oss-20b,oss20,droite,incom16,0.0,0.048192771084337394
gpt-oss-20b,oss20,droite,dwelown16,0.15000000000000002,0.006024096385542223
gpt-oss-20b,oss20,droite,divorced,0.12,0.012048192771084376
gpt-oss-20b,oss20,droite,posslq/y,0.1,0.015060240963855397
gpt-oss-20b,oss20,droite,wrkstat,0.0974505,0.0301204819277109
gpt-oss-20b,oss20,droite,evwork,0.09999999999999998,0.006024096385542219
gpt-oss-20b,oss20,droite,wrkgovt1,0.0,0.0030120481927710524
gpt-oss-20b,oss20,droite,wrkgovt2,0.16999999999999996,0.006024096385542216
gpt-oss-20b,oss20,droite,partfull,0.09999999999999999,0.027108433734939777
gpt-oss-20b,oss20,droite,wksub1,0.24999999999999994,0.03614457831325299
gpt-oss-20b,oss20,droite,wksup1,0.10000000000000003,0.04819277108433735
gpt-oss-20b,oss20,droite,conarmy,0.0,0.02710843373493982
gpt-oss-20b,oss20,droite,conbus,0.0,0.033132530120481965
gpt-oss-20b,oss20,droite,conclerg,0.0,0.006024096385542091
gpt-oss-20b,oss20,droite,coneduc,0.0,0.054216867469879484
gpt-oss-20b,oss20,droite,confed,0.0,0.024096385542168683
gpt-oss-20b,oss20,droite,confinan,0.20000000000000007,0.021084337349397575
gpt-oss-20b,oss20,droite,conjudge,0.0,0.015060240963855373
gpt-oss-20b,oss20,droite,conlabor,0.0,0.04819277108433737
gpt-oss-20b,oss20,droite,conlegis,0.0,0.012048192771084324
gpt-oss-20b,oss20,droite,conmedic,0.20000000000000007,0.03313253012048191
gpt-oss-20b,oss20,droite,conpress,0.0,0.030120481927710874
gpt-oss-20b,oss20,droite,consci,0.20000000000000007,0.045180722891566286
gpt-oss-20b,oss20,droite,contv,0.0,0.027108433734939756
gpt-oss-20b,oss20,droite,joblose,0.0,0.03915662650602417
gpt-oss-20b,oss20,droite,jobfind,0.0,0.03012048192771094
gpt-oss-20b,oss20,droite,happy,0.05999999999999997,0.06325301204819275
gpt-oss-20b,oss20,droite,hapmar,0.15000000000000002,0.027108433734939794
gpt-oss-20b,oss20,droite,satjob,0.30000000000000004,0.04819277108433736
gpt-oss-20b,oss20,droite,spdeg*,0.030000000000000013,0.018072289156626505
gpt-oss-20b,oss20,droite,spjew,0.18,0.03313253012048185
gpt-oss-20b,oss20,droite,spfund,0.0,0.027108433734939753
gpt-oss-20b,oss20,droite,unemp,0.0,0.05421686746987947
gpt-oss-20b,oss20,droite,union1,0.15000000000000002,0.006024096385542111
gpt-oss-20b,oss20,droite,spkath/y,0.20000000000000004,0.00602409638554216
gpt-oss-20b,oss20,droite,colath,0.0,0.02409638554216867
gpt-oss-20b,oss20,droite,spkrac/y,0.030000000000000013,0.060240963855421686
gpt-oss-20b,oss20,droite,colrac,0.09999999999999998,0.01807228915662651
gpt-oss-20b,oss20,droite,librac/y,0.35,0.01204819277108432
gpt-oss-20b,oss20,droite,spkcom/y,0.0,0.054216867469879554
gpt-oss-20b,oss20,droite,colcom/y,0.85,0.009036144578313282
gpt-oss-20b,oss20,droite,libcom/y,0.39999999999999997,0.030120481927710885
gpt-oss-20b,oss20,droite,spkhomo/y,0.43000000000000005,0.01506024096385545
gpt-oss-20b,oss20,droite,colhomo,0.04999999999999996,0.009036144578313282
gpt-oss-20b,oss20,droite,libhomo/y,0.08000000000000003,0.02409638554216867
gpt-oss-20b,oss20,droite,cappun,0.0,0.01204819277108439
gpt-oss-20b,oss20,droite,polhitok/y,0.0,0.01807228915662651
gpt-oss-20b,oss20,droite,polabuse/y,0.0,0.009036144578313275
