source,camp,mode,quantite,taux_total,valeur_humaine,valeur,ecart,facteur,ic_bas,ic_haut,n_tirages
IM m=10 mode des m,droite,uniforme,marginale1,0.05,33.65019011406844,33.90684410646388,0.2566539923954423,1.007627118644068,33.55513307984791,34.36787072243346,10
IM m=10 mode des m,droite,uniforme,marginale1,0.1,33.65019011406844,33.84030418250951,0.19011406844107626,1.0056497175141246,33.122623574144484,34.31558935361217,10
IM m=10 mode des m,droite,uniforme,marginale1,0.2,33.65019011406844,34.553231939163496,0.9030418250950589,1.0268361581920904,33.18678707224334,35.846007604562736,10
IM m=10 mode des m,droite,uniforme,marginale1,0.3,33.65019011406844,34.30608365019011,0.655893536121674,1.019491525423729,33.35551330798479,35.14971482889734,10
IM m=10 mode des m,droite,uniforme,marginale2,0.02,52.75665399239544,52.74714828897339,-0.00950570342205026,0.9998198198198198,52.3027566539924,53.041825095057035,10
IM m=10 mode des m,droite,uniforme,marginale2,0.05,52.75665399239544,52.69961977186313,-0.05703422053231577,0.998918918918919,52.39781368821293,53.11549429657795,10
IM m=10 mode des m,droite,uniforme,marginale2,0.1,52.75665399239544,52.62357414448668,-0.13307984790876048,0.9974774774774772,51.99619771863118,53.40066539923954,10
IM m=10 mode des m,droite,uniforme,marginale2,0.2,52.75665399239544,52.48098859315589,-0.2756653992395499,0.9947747747747746,51.68013307984791,53.54800380228137,10
IM m=10 mode des m,droite,uniforme,marginale2,0.3,52.75665399239544,51.901140684410656,-0.8555133079847863,0.9837837837837838,51.22623574144487,52.692490494296585,10
IM m=10 mode des m,droite,uniforme,marginale3,0.02,38.68821292775665,38.74524714828897,0.05703422053231577,1.0014742014742013,38.29847908745247,39.120722433460074,10
IM m=10 mode des m,droite,uniforme,marginale3,0.05,38.68821292775665,38.678707224334595,-0.009505703422057366,0.9997542997542996,38.034695817490494,39.268060836501895,10
IM m=10 mode des m,droite,uniforme,marginale3,0.1,38.68821292775665,39.08745247148288,0.3992395437262246,1.01031941031941,38.25570342205323,39.80750950570342,10
IM m=10 mode des m,droite,uniforme,marginale3,0.2,38.68821292775665,39.23954372623574,0.5513307984790856,1.0142506142506142,38.139258555133075,40.40874524714829,10
