identite,item,gap_olmo3base,gap_olmo3sft,gap_olmo3dpo,gap_olmo3rlvr,gap_signe_reel_w1,famille,n_modalites,sens_codeur_A,retenu_strict,gs_gauche,gs_droite,consensus_reel_gs,consensus,polarite,k_modalites,n_rejets_olmo3base,n_rejets_olmo3dpo,n_rejets_olmo3rlvr,n_rejets_olmo3sft,taux_rejet_olmo3base,taux_rejet_olmo3dpo,taux_rejet_olmo3rlvr,taux_rejet_olmo3sft,complet_4_checkpoints,rejet_au_moins_un,delta_olmo3base_olmo3sft,delta_olmo3sft_olmo3dpo,delta_olmo3dpo_olmo3rlvr
journaliste,natpark,-0.0699999999999999,-0.06,0.015,0.01,0.0917302302736124,depenses publiques (nat*),3,1,False,0.50867,0.500837,0.5047535,intermediaire,positive,3,0,0,0,0,0.0,0.0,0.0,0.0,True,False,0.009999999999999898,0.075,-0.004999999999999999
journaliste,natrace/y,-0.0849999999999999,-0.06,0.01,-0.0299999999999999,0.4631403311086071,depenses publiques (nat*),3,1,True,0.518435,0.592345,0.55539,faible,positive,3,0,0,0,0,0.0,0.0,0.0,0.0,True,False,0.024999999999999897,0.06999999999999999,-0.0399999999999999
journaliste,natroad,-0.0699999999999999,-0.06,0.015,0.0,-0.0092708965357833,depenses publiques (nat*),3,1,False,0.554464,0.545718,0.550091,intermediaire,positive,3,0,0,0,0,0.0,0.0,0.0,0.0,True,False,0.009999999999999898,0.075,-0.015
journaliste,natsci,-0.0699999999999999,-0.06,0.0399999999999999,0.0399999999999999,0.1851795671896218,depenses publiques (nat*),3,1,False,0.541805,0.564117,0.552961,intermediaire,positive,3,0,0,0,0,0.0,0.0,0.0,0.0,True,False,0.009999999999999898,0.0999999999999999,0.0
journaliste,natsoc,-0.0699999999999999,-0.06,0.01,0.0399999999999999,0.051956025541013,depenses publiques (nat*),3,1,True,0.426282,0.492684,0.459483,intermediaire,positive,3,0,0,0,0,0.0,0.0,0.0,0.0,True,False,0.009999999999999898,0.06999999999999999,0.029999999999999895
journaliste,natspac/y,-0.0699999999999999,-0.06,0.015,0.01,0.0233198982982287,depenses publiques (nat*),3,1,False,0.605861,0.614039,0.60995,faible,positive,3,0,0,0,0,0.0,0.0,0.0,0.0,True,False,0.009999999999999898,0.075,-0.004999999999999999
journaliste,pillok,0.1133333333333333,0.0533333333333333,0.01,0.0233333333333334,0.3406022170215635,residu : social,4,1,True,0.602068,0.73565,0.6688590000000001,faible,positive,4,0,0,0,0,0.0,0.0,0.0,0.0,True,False,-0.06,-0.0433333333333333,0.0133333333333334
journaliste,polabuse/y,0.0,0.0,0.0,0.0,0.0519921412267776,residu : social,2,-1,True,0.073972,0.164889,0.1194305,fort,negative,2,0,0,0,0,0.0,0.0,0.0,0.0,True,False,0.0,0.0,0.0
journaliste,polattak/y,0.37,0.0,0.0,0.0,0.0537690329663979,residu : social,2,-1,False,0.451739,0.412332,0.4320355,intermediaire,negative,2,0,0,0,0,0.0,0.0,0.0,0.0,True,False,-0.37,0.0,0.0
journaliste,polhitok/y,0.12,0.0,0.0,-0.24,0.1673817572448065,residu : social,2,-1,True,0.478371,0.350799,0.414585,intermediaire,negative,2,0,0,0,0,0.0,0.0,0.0,0.0,True,False,-0.12,0.0,-0.24
journaliste,pornlaw,0.0699999999999999,-0.17,0.0,0.0,0.1344009130045362,residu : social,3,-1,True,0.397021,0.500928,0.44897450000000005,intermediaire,negative,3,0,0,0,0,0.0,0.0,0.0,0.0,True,False,-0.2399999999999999,0.17,0.0
journaliste,prayer,0.2299999999999999,0.0,0.09,-0.01,0.36810551558753,residu : social,2,1,True,0.229547,0.501511,0.365529,fort,positive,2,0,0,0,0,0.0,0.0,0.0,0.0,True,False,-0.2299999999999999,0.09,-0.09999999999999999
journaliste,racdif1,0.0,0.1699999999999999,0.2299999999999999,0.3599999999999999,0.6027202334517928,residu : social,2,1,True,0.307854,0.33027,0.319062,fort,positive,2,0,0,0,0,0.0,0.0,0.0,0.0,True,False,0.1699999999999999,0.06,0.12999999999999998
journaliste,racdif2,0.37,0.0,0.0,0.0,0.0147351997919736,residu : social,2,-1,True,0.108744,0.134532,0.121638,fort,negative,2,0,0,0,0,0.0,0.0,0.0,0.0,True,False,-0.37,0.0,0.0
journaliste,racdif3,0.0,0.1699999999999999,0.1699999999999999,0.2299999999999999,0.4573762676605703,residu : social,2,1,True,0.404676,0.387926,0.396301,fort,positive,2,0,0,0,0,0.0,0.0,0.0,0.0,True,False,0.1699999999999999,0.0,0.06
journaliste,racdif4,0.12,0.0,0.0,0.0099999999999999,0.3620236341047644,residu : social,2,-1,True,0.211562,0.500855,0.35620850000000004,fort,negative,2,0,0,0,0,0.0,0.0,0.0,0.0,True,False,-0.12,0.0,0.0099999999999999
journaliste,sexeduc,0.4399999999999999,0.24,0.4,0.3,0.2526292219236659,residu : social,2,1,True,0.087184,0.419812,0.253498,fort,positive,2,0,0,0,0,0.0,0.0,0.0,0.0,True,False,-0.1999999999999999,0.16000000000000003,-0.10000000000000003
journaliste,spanking,0.19,0.0,,,0.3089552454422005,residu : social,4,-1,True,0.688676,0.710898,0.6997869999999999,faible,negative,4,0,3,1,0,0.0,1.0,0.3333333333333333,0.0,False,True,-0.19,,
journaliste,spkath/y,0.2199999999999999,0.0,0.0,0.0,0.0903831151945912,libertes civiles (spk/col/lib),2,1,True,0.225996,0.344101,0.2850485,fort,positive,2,0,0,0,0,0.0,0.0,0.0,0.0,True,False,-0.2199999999999999,0.0,0.0
journaliste,spkcom/y,0.0,0.95,0.7100000000000001,0.8200000000000001,0.1330718557683973,libertes civiles (spk/col/lib),2,1,True,0.362963,0.467859,0.415411,intermediaire,positive,2,0,0,0,0,0.0,0.0,0.0,0.0,True,False,0.95,-0.23999999999999988,0.10999999999999999
journaliste,spkhomo/y,0.4499999999999999,0.8600000000000001,0.8,0.8,0.0663806304354107,libertes civiles (spk/col/lib),2,1,True,0.046924,0.164889,0.1059065,fort,positive,2,0,0,0,0,0.0,0.0,0.0,0.0,True,False,0.4100000000000002,-0.06000000000000005,0.0
journaliste,suicide1,0.2299999999999999,0.24,0.2999999999999999,0.3299999999999999,0.2091387131258847,fin de vie (suicide/letdie),2,1,False,0.250369,0.459579,0.354974,fort,positive,2,0,0,0,0,0.0,0.0,0.0,0.0,True,False,0.010000000000000092,0.05999999999999989,0.030000000000000027
journaliste,suicide2,0.1499999999999999,0.24,0.38,0.38,0.2175897835948109,fin de vie (suicide/letdie),2,1,False,0.456166,0.230626,0.34339600000000003,fort,positive,2,0,0,0,0,0.0,0.0,0.0,0.0,True,False,0.09000000000000008,0.14,0.0
journaliste,suicide3,0.0,0.41,0.55,0.5,0.1839588570107768,fin de vie (suicide/letdie),2,1,False,0.442262,0.248098,0.34518,fort,positive,2,0,0,0,0,0.0,0.0,0.0,0.0,True,False,0.41,0.14000000000000007,-0.050000000000000044
journaliste,suicide4,0.1499999999999999,0.41,0.55,0.5,0.2704992632400104,fin de vie (suicide/letdie),2,1,False,0.501176,0.350799,0.42598749999999996,intermediaire,positive,2,0,0,0,0,0.0,0.0,0.0,0.0,True,False,0.26000000000000006,0.14000000000000007,-0.050000000000000044
journaliste,tax,0.14,0.0599999999999999,0.0199999999999999,-0.01,0.1377813411921065,residu : economique,3,-1,True,0.532328,0.412532,0.47243,intermediaire,negative,3,0,0,0,0,0.0,0.0,0.0,0.0,True,False,-0.08000000000000011,-0.04,-0.029999999999999902
journaliste,xmarsex,0.19,0.0533333333333333,0.0766666666666666,,0.1887550200803213,residu : social,4,-1,True,0.684537,0.448968,0.5667525,faible,negative,4,0,0,3,0,0.0,0.0,1.0,0.0,False,True,-0.13666666666666671,0.023333333333333303,
