jeu,item,k,baseline,1-MAE,1-TV,spearman,KS
Twin-2K-500,14_Q295,2,BAD camp inverse,0.8347910592808552,0.8347910592808552,-0.9999999999999999,
Twin-2K-500,15_Q295,2,BAD item permute,0.9737609329446064,0.9737609329446064,0.9999999999999999,
Twin-2K-500,15_Q295,2,BAD camp inverse,0.8931000971817299,0.8931000971817299,-0.9999999999999999,
Twin-2K-500,16_Q295,2,BAD item permute,0.9805636540330418,0.9805636540330418,0.9999999999999999,
Twin-2K-500,16_Q295,2,BAD camp inverse,0.8736637512147717,0.8736637512147717,-0.9999999999999999,
Twin-2K-500,17_Q295,2,BAD item permute,0.5883671764445126,0.5883671764445126,-0.9999999999999999,
Twin-2K-500,17_Q295,2,BAD camp inverse,0.880466472303207,0.880466472303207,-0.9999999999999999,
Twin-2K-500,18_Q295,2,BAD item permute,0.9732750242954324,0.9732750242954324,0.9999999999999999,
Twin-2K-500,18_Q295,2,BAD camp inverse,0.8979591836734694,0.8979591836734694,-0.9999999999999999,
Twin-2K-500,19_Q295,2,BAD item permute,0.9951409135082605,0.9951409135082605,0.9999999999999999,
Twin-2K-500,19_Q295,2,BAD camp inverse,0.8892128279883381,0.8892128279883381,-0.9999999999999999,
Twin-2K-500,20_Q295,2,BAD item permute,0.9256916131878208,0.9256916131878208,0.9999999999999999,
Twin-2K-500,20_Q295,2,BAD camp inverse,0.8542274052478134,0.8542274052478134,-0.9999999999999999,
