source,famille,statistique,taille,taux,taux_realise_moyen,valeur_moyenne,ecart_a_la_reference,s0,z,p_bilateral,puissance_empirique,n_tirages,tau_etoile_holm3,tau_etoile_holm27,tau_etoile_nominal,courbe_a,courbe_b,courbe_r2
C2,modele a etiquette,B,750,0.05,0.05055555555555553,0.041848882473701665,0.0017377700368269994,0.0016875881041886862,1.0297358890559603,0.30313400338783236,0.0,12,0.09495,0.10585,0.08775000000000001,0.009396293261266338,0.5071821495054722,1.0
C2,modele a etiquette,B,750,0.1,0.09966666666666664,0.046122563258056026,0.0060114508211813605,0.0016875881041886862,3.562155247634544,0.00036782275618898287,0.9166666666666666,12,0.09495,0.10585,0.08775000000000001,0.009396293261266338,0.5071821495054722,1.0
C2,modele a etiquette,C,750,0.05,0.05055555555555553,0.03497777777777773,0.0044855555555555066,0.0010935900468854569,4.101679206326323,4.1016266068122404e-05,1.0,12,0.04365,0.049,0.040150000000000005,0.022122222222220517,1.3517777777777904,1.0
C2,modele a etiquette,C,750,0.1,0.09966666666666664,0.04622222222222219,0.015729999999999966,0.0010935900468854569,14.383817816190799,6.538582449504503e-47,1.0,12,0.04365,0.049,0.040150000000000005,0.022122222222220517,1.3517777777777904,1.0
C2,modele a etiquette,A,1052,0.05,0.05038022813688211,-0.08282856763488128,-0.014386181003917253,0.004277478437351692,-3.3632386964933825,0.0007703372506451841,1.0,12,0.048400000000000006,0.057300000000000004,0.042800000000000005,-0.23626936074245797,-1.0290851867177373,1.0
C2,modele a etiquette,A,1052,0.1,0.09980988593155889,-0.10236017457238722,-0.033917787941423194,0.004277478437351692,-7.929388409126069,2.20227748616281e-15,1.0,12,0.048400000000000006,0.057300000000000004,0.042800000000000005,-0.23626936074245797,-1.0290851867177373,1.0
C2,modele a etiquette,B,1052,0.05,0.05038022813688211,0.044436127635978144,0.0022463467391144257,0.001524859107359017,1.4731503574812173,0.14071049740317088,0.0,12,0.08415,0.0954,0.07675,0.024787495061567216,0.40278879441442544,1.0
C2,modele a etiquette,B,1052,0.1,0.09980988593155889,0.0486964183471647,0.00650663745030098,0.001524859107359017,4.267041734478777,1.9808211413874723e-05,1.0,12,0.08415,0.0954,0.07675,0.024787495061567216,0.40278879441442544,1.0
C2,modele a etiquette,C,1052,0.05,0.05038022813688211,0.03193520278833963,0.004701362484157121,0.0009241516858999943,5.0872195072377675,3.6335120079386346e-07,1.0,12,0.038450000000000005,0.043250000000000004,0.035300000000000005,0.02416032953105087,1.3973384030418299,1.0
C2,modele a etiquette,C,1052,0.1,0.09980988593155889,0.043623257287705906,0.016389416983523395,0.0009241516858999943,17.734552924136473,2.2689381544636392e-70,1.0,12,0.038450000000000005,0.043250000000000004,0.035300000000000005,0.02416032953105087,1.3973384030418299,1.0
C3,modele riche,A,300,0.05,0.05583333333333331,-0.04259343977460515,-0.005545823757338017,0.0050623540495576625,-1.095502942513987,0.273296357105255,0.08333333333333333,12,0.12165000000000001,0.14165,0.10875,-0.09431751262116464,-0.3319792505119128,1.0
C3,modele riche,A,300,0.1,0.0972222222222222,-0.04979915978450273,-0.012751543767235599,0.0050623540495576625,-2.518896079255816,0.011772339604391288,0.5,12,0.12165000000000001,0.14165,0.10875,-0.09431751262116464,-0.3319792505119128,1.0
C3,modele riche,B,300,0.05,0.05583333333333331,0.03503813311012208,0.0012891326630604313,0.0020730142359473513,0.6218638737284444,0.5340313817301119,0.08333333333333333,12,0.1071,0.11785000000000001,0.10005,-0.006486707280300251,0.6453872108301769,1.0
C3,modele riche,B,300,0.1,0.0972222222222222,0.03955420182733339,0.0058052013802717475,0.0020730142359473513,2.8003673489578405,0.005104448185009117,0.5833333333333334,12,0.1071,0.11785000000000001,0.10005,-0.006486707280300251,0.6453872108301769,1.0
C3,modele riche,C,300,0.05,0.05583333333333331,0.04537499999999997,0.00015833333333330896,0.00169280352145932,0.09353320177217854,0.9254799740989915,0.0,12,0.21165,0.23245000000000002,0.19795000000000001,-0.003861111111111702,0.1405555555555576,1.0
C3,modele riche,C,300,0.1,0.0972222222222222,0.04623611111111107,0.0010194444444444062,0.00169280352145932,0.602222544743746,0.5470260107190095,0.08333333333333333,12,0.21165,0.23245000000000002,0.19795000000000001,-0.003861111111111702,0.1405555555555576,1.0
C3,modele riche,A,500,0.05,0.05016666666666667,-0.055204079408822215,-0.005492027884310059,0.004675325411364339,-1.1746835569906124,0.24012134019584455,0.08333333333333333,12,0.09885000000000001,0.11215,0.09015000000000001,-0.06555808055505849,-0.8856495426228527,1.0
C3,modele riche,A,500,0.1,0.09666666666666668,-0.06512435500624654,-0.015412303481734384,0.004675325411364339,-3.296519947953059,0.000978906627133231,0.75,12,0.09885000000000001,0.11215,0.09015000000000001,-0.06555808055505849,-0.8856495426228527,1.0
C3,modele riche,B,500,0.05,0.05016666666666667,0.03900662943654427,0.0017658976141323793,0.001734040458621174,1.0183716333450124,0.3085013776353166,0.0,12,0.0937,0.1042,0.08675000000000001,0.007160542861779685,0.5631481884173574,1.0
C3,modele riche,B,500,0.1,0.09666666666666668,0.043588267992763434,0.006347536170351546,0.001734040458621174,3.6605467529856845,0.00025167762364543375,0.9166666666666666,12,0.0937,0.1042,0.08675000000000001,0.007160542861779685,0.5631481884173574,1.0
C3,modele riche,C,500,0.05,0.05016666666666667,0.03538333333333333,-0.00044100000000001083,0.0013037422640499435,-0.3382570406439759,0.7351694941990199,0.0,12,0.1854,0.19895000000000002,0.17655,-0.02048000000000036,0.23320000000000285,1.0
C3,modele riche,C,500,0.1,0.09666666666666668,0.03610833333333333,0.0002839999999999926,0.0013037422640499435,0.21783446608363782,0.8275580892897035,0.0,12,0.1854,0.19895000000000002,0.17655,-0.02048000000000036,0.23320000000000285,1.0
C3,modele riche,A,750,0.05,0.04988888888888887,-0.06643295203403629,-0.006050875125256448,0.004493340965043854,-1.3466316427641483,0.1780988978056052,0.0,12,0.08825000000000001,0.09985000000000001,0.08065,-0.06379544622664407,-1.144441125569696,1.0
C3,modele riche,A,750,0.1,0.09699999999999996,-0.07820603278714122,-0.01782395587836138,0.004493340965043854,-3.9667490219468404,7.285964505258634e-05,0.9166666666666666,12,0.08825000000000001,0.09985000000000001,0.08065,-0.06379544622664407,-1.144441125569696,1.0
C3,modele riche,B,750,0.05,0.04988888888888887,0.04199258196928184,0.0018814695324071776,0.0016875881041886862,1.114886699981629,0.2648989767972546,0.0,12,0.09155,0.1022,0.08455,0.011116428176202375,0.5302592494388231,1.0
C3,modele riche,B,750,0.1,0.09699999999999996,0.04652534774888314,0.006414235312008472,0.0016875881041886862,3.800829892133032,0.00014421228225509178,1.0,12,0.09155,0.1022,0.08455,0.011116428176202375,0.5302592494388231,1.0
C3,modele riche,C,750,0.05,0.04988888888888887,0.03052777777777774,3.55555555555144e-05,0.0010935900468854569,0.03251269125645079,0.9740631952218636,0.0,12,0.22455,0.24585,0.21055000000000001,-0.0036000000000013447,0.08622222222223264,1.0
C3,modele riche,C,750,0.1,0.09699999999999996,0.030994444444444418,0.0005022222222221921,0.0010935900468854569,0.4592417639978714,0.6460605624520976,0.0,12,0.22455,0.24585,0.21055000000000001,-0.0036000000000013447,0.08622222222223264,1.0
C3,modele riche,A,1052,0.05,0.05038022813688211,-0.07543882386611911,-0.006996437235155084,0.004277478437351692,-1.6356452376383637,0.1019138567942018,0.0,12,0.07915,0.09000000000000001,0.07205,-0.07981834858333794,-1.202207922395273,1.0
C3,modele riche,A,1052,0.1,0.09980988593155889,-0.08844630071325056,-0.020003914082286536,0.004277478437351692,-4.676566901567253,2.9171745764214907e-06,1.0,12,0.07915,0.09000000000000001,0.07205,-0.07981834858333794,-1.202207922395273,1.0
C3,modele riche,B,1052,0.05,0.05038022813688211,0.04430012849907369,0.002110347602209975,0.001524859107359017,1.383962355620511,0.1663699817186871,0.0,12,0.08095000000000001,0.09040000000000001,0.0747,0.011852285516395908,0.6070933305560712,1.0
C3,modele riche,B,1052,0.1,0.09980988593155889,0.049445942754064026,0.007256161857200308,0.001524859107359017,4.75857856124664,1.949610118109508e-06,1.0,12,0.08095000000000001,0.09040000000000001,0.0747,0.011852285516395908,0.6070933305560712,1.0
C3,modele riche,C,1052,0.05,0.05038022813688211,0.026833808618504387,-0.000400031685678124,0.0009241516858999943,-0.4328636648956055,0.6651138183145782,0.0,12,0.13870000000000002,0.14805000000000001,0.1326,-0.024675221799747946,0.33349176172370937,1.0
C3,modele riche,C,1052,0.1,0.09980988593155889,0.02810123574144481,0.0008673954372622993,0.0009241516858999943,0.9385855704170226,0.34794356413430644,0.0,12,0.13870000000000002,0.14805000000000001,0.1326,-0.024675221799747946,0.33349176172370937,1.0
E2 regression contexte tirage,imputation par tirage,A,300,0.05,0.053611111111111075,-0.03776291967954914,-0.0007153036622820075,0.0050623540495576625,-0.1412986241735718,0.887634036461473,0.0,12,0.70445,0.81335,0.634,0.014440505335703568,0.012510439058566037,0.9588417649099421
E2 regression contexte tirage,imputation par tirage,A,300,0.1,0.09222222222222216,-0.03672801766507166,0.0003195983521954715,0.0050623540495576625,0.06313235879331619,0.9496611070940725,0.0,12,0.70445,0.81335,0.634,0.014440505335703568,0.012510439058566037,0.9588417649099421
E2 regression contexte tirage,imputation par tirage,A,300,0.25,0.24027777777777778,-0.031327173226509214,0.005720442790757917,0.0050623540495576625,1.1299965855327239,0.25847766324065513,0.08333333333333333,12,0.70445,0.81335,0.634,0.014440505335703568,0.012510439058566037,0.9588417649099421
E2 regression contexte tirage,imputation par tirage,A,300,0.5,0.4852777777777777,-0.02696718877554619,0.010080427241720941,0.0050623540495576625,1.9912529117954023,0.046453089440411245,0.3333333333333333,12,0.70445,0.81335,0.634,0.014440505335703568,0.012510439058566037,0.9588417649099421
E2 regression contexte tirage,imputation par tirage,B,300,0.05,0.053611111111111075,0.03338847323405639,-0.00036052721300525864,0.0020730142359473513,-0.17391448970947396,0.8619326650237242,0.0,12,0.60205,0.90075,0.48695000000000005,-0.015252788034118179,0.006829240954150813,0.9933306338671518
