configuration,statistique,taille,taux,valeur_moyenne,reference_humaine,ecart_a_la_reference,s0,z,p_bilateral,puissance_empirique,n_tirages,tau_etoile_holm39,tau_etoile_holm3,tau_etoile_nominal,courbe_a,courbe_b,courbe_r2,p_holm
JSON Persona (Predicted Output) - GPT4.1-mini,C,1052,0.5,0.03086196851904652,0.011455798479087452,0.01940617003995907,0.0005300355271454298,36.61296091692822,1.7789804904074642e-293,1.0,12,0.12350000000000001,0.1048,0.09425,0.010359071989192345,0.05733924043016942,0.9979104508124111,
JSON Persona (Predicted Output) - GPT4.1-mini,A,2058,0.05,-0.04633145023045892,-0.04095937129436311,-0.005372078936095807,0.0024770209992217196,-2.1687660047224933,0.030100453395609527,0.0,12,0.05675,0.04565,0.03975,-0.1686845044198161,-0.1518597420956664,0.9978942258809275,0.8428126950770668
JSON Persona (Predicted Output) - GPT4.1-mini,A,2058,0.1,-0.055728238431323296,-0.04095937129436311,-0.014768867136960184,0.0024770209992217196,-5.96235039654511,2.4863525878068493e-09,1.0,12,0.05675,0.04565,0.03975,-0.1686845044198161,-0.1518597420956664,0.9978942258809275,
JSON Persona (Predicted Output) - GPT4.1-mini,A,2058,0.25,-0.09617641337537057,-0.04095937129436311,-0.05521704208100746,0.0024770209992217196,-22.29171335178695,4.4464650850122587e-110,1.0,12,0.05675,0.04565,0.03975,-0.1686845044198161,-0.1518597420956664,0.9978942258809275,
JSON Persona (Predicted Output) - GPT4.1-mini,A,2058,0.5,-0.16255703368985966,-0.04095937129436311,-0.12159766239549655,0.0024770209992217196,-49.09028322073271,0.0,1.0,12,0.05675,0.04565,0.03975,-0.1686845044198161,-0.1518597420956664,0.9978942258809275,
JSON Persona (Predicted Output) - GPT4.1-mini,B,2058,0.05,0.02914460180520002,0.02599133484088814,0.0031532669643118787,0.0011037801961247676,2.856788856497516,0.004279504123130304,0.16666666666666666,12,0.04215,0.0337,0.02925,0.10465342261754783,0.04229751757630301,0.9969821490049623,0.12838512369390911
JSON Persona (Predicted Output) - GPT4.1-mini,B,2058,0.1,0.03463767798403518,0.02599133484088814,0.008646343143147037,0.0011037801961247676,7.833392167664587,4.748801436542571e-15,1.0,12,0.04215,0.0337,0.02925,0.10465342261754783,0.04229751757630301,0.9969821490049623,
JSON Persona (Predicted Output) - GPT4.1-mini,B,2058,0.25,0.05701980215797358,0.02599133484088814,0.03102846731708544,0.0011037801961247676,28.111092612480686,7.169422956940528e-174,1.0,12,0.04215,0.0337,0.02925,0.10465342261754783,0.04229751757630301,0.9969821490049623,
JSON Persona (Predicted Output) - GPT4.1-mini,B,2058,0.5,0.0884485767915728,0.02599133484088814,0.06245724195068465,0.0011037801961247676,56.584854638599346,0.0,1.0,12,0.04215,0.0337,0.02925,0.10465342261754783,0.04229751757630301,0.9969821490049623,
JSON Persona (Predicted Output) - GPT4.1-mini,C,2058,0.05,0.008661956971211518,0.008527696793002915,0.00013426017820860302,0.00037086482275518526,0.3620191777995365,0.7173376992765038,0.0,12,0.0955,0.08055000000000001,0.07215,0.010174218723823006,0.05872882295177047,0.9979409936473168,1.0
