item,cible,predicteur,n_personnes,n_changeurs,taux_de_base,auc,rappel,auc_permutee,auc_permutee_p2_5,auc_permutee_p97_5,auc_permutee_ecart_type,z_permutation,chute,p_permutation,p_permutation_normale,p_holm,p_bh,p_holm_normale,p_bh_normale
suicide4,mono,P position initiale seule,2968,257,0.08659029649595687,0.5694081038914812,0.08171206225680934,0.4899841939525811,0.45778052235667627,0.5187707308601504,0.017320633880546867,4.5855082721945095,0.07942390993890014,0.004975124378109453,2.2644167125200866e-06,0.5870646766169154,0.005644852659778033,4.9817167675441905e-05,2.7546512585295896e-06
suicide4,mono,L1 logistique resumee,2968,257,0.08659029649595687,0.6917558814284505,0.17509727626459143,0.5086682588732746,0.4736089601809604,0.5415158663292796,0.018585451849615495,9.851125710401474,0.18308762255517586,0.004975124378109453,3.3890252123867557e-23,0.5870646766169154,0.005241648898365316,9.82817311592159e-22,4.443388611795968e-23
suicide4,mono,L2 logistique complete,2968,257,0.08659029649595687,0.7029324254693732,0.16342412451361868,0.5094955771772876,0.4772881989645873,0.5408976184359153,0.016682913518309195,11.594908052468904,0.19343684829208563,0.004975124378109453,2.18667531984789e-31,0.5870646766169154,0.0054865857627749105,1.267443021252882e-29,4.16173689906534e-31
suicide4,mono,V voisins k=25,2968,257,0.08659029649595687,0.6198475155979315,0.11284046692607004,0.5139751724850623,0.48158970443229554,0.5466937372887802,0.017473837663350693,6.0589061860706135,0.1058723431128692,0.004975124378109453,6.852514537951806e-10,0.5870646766169154,0.012762275578628596,7.126615119469878e-08,5.390644769855421e-09
suicide4,mono,F foret,2968,257,0.08659029649595687,0.7309276086616422,0.20622568093385213,0.5116721327004695,0.47381851141121273,0.5462267502192394,0.019077800360181803,11.492702084187407,0.21925547596117267,0.004975124378109453,7.177518402135572e-31,0.5870646766169154,0.005149690145762416,2.942782544875584e-29,1.0858297069897404e-30
suicide4,mono,T0 nul avec derive,2968,257,0.08659029649595687,0.46309171311001296,0.07782101167315175,0.5012421436229686,0.47085669853472023,0.5340909172459227,0.016681180696322594,-2.287034185857479,-0.038150430512955635,0.9850746268656716,0.9889030861054168,1.0,1.0,1.0,0.9998362572761497
suicide4,mono,T0b nul a taux commun,2968,257,0.08659029649595687,0.5,0.08171206225680934,0.5,0.5,0.5,0.0,,0.0,1.0,,1.0,1.0,1.0,1.0
suicide4,mono,T1 temoin de segment,2968,257,0.08659029649595687,0.4997911664109472,0.10505836575875487,0.5809466979175488,0.561031419049355,0.5970164425951628,0.009315021889524672,-8.712328588069788,-0.08115553150660165,1.0,1.0,1.0,1.0,1.0,1.0
pornlaw,mono,P position initiale seule,3136,327,0.10427295918367346,0.664282456020023,0.16819571865443425,0.5166759286173864,0.4824959882117658,0.5462666554532559,0.016964388201855304,8.700963786391876,0.14760652740263658,0.004975124378109453,1.6453863802550493e-18,0.5870646766169154,0.005644852659778033,6.910622797071207e-17,2.5215012061051405e-18
pornlaw,mono,L1 logistique resumee,3136,327,0.10427295918367346,0.700843618643874,0.2599388379204893,0.5212438448717154,0.49209528024273225,0.5509921419029921,0.015913202367752968,11.286211890078484,0.17959977377215863,0.004975124378109453,7.675556975095355e-30,0.5870646766169154,0.005241648898365316,3.1469783597890956e-28,1.1611740039246819e-29
