perimetre,seuil,partition,tercile,condition,cellules_minoritaires,raretes_osees,rappel,rappel_ic_bas,rappel_ic_haut,precision,precision_ic_bas,precision_ic_haut,f1,plancher_segment,plancher_item,rappel_sur_cellules_a_plancher,exces_sur_plancher
1052,0.100000,D_logit regression,ensemble,B0 tirage,5709,5699,0.061657,0.055565,0.067826,0.061765,0.055408,0.068434,0.061711,0.092714,0.062262,0.061205,-0.031509
1052,0.100000,D_seg segment,T1 non deductible,B1 argmax,1866,205,0.014469,0.009169,0.020471,0.131707,0.085427,0.184211,0.026074,0.000000,0.051687,0.014469,0.014469
1052,0.100000,D_seg segment,T2 intermediaire,B1 argmax,1562,253,0.022407,0.015188,0.030144,0.138340,0.097775,0.183335,0.038567,0.065695,0.062409,0.022407,-0.043288
1052,0.100000,D_seg segment,T3 deductible,B1 argmax,1686,816,0.123369,0.106272,0.139967,0.254902,0.224136,0.286380,0.166267,0.220358,0.073437,0.123369,-0.096989
1052,0.100000,D_seg segment,ensemble,B1 argmax,5709,1496,0.057979,0.050901,0.065240,0.221257,0.198397,0.245149,0.091881,0.092714,0.062262,0.052796,-0.039918
1052,0.100000,D_logit regression,T1 non deductible,B1 argmax,1903,0,0.000000,0.000000,0.000000,,,,0.000000,0.038846,0.049497,0.000000,-0.038846
1052,0.100000,D_logit regression,T2 intermediaire,B1 argmax,1903,0,0.000000,0.000000,0.000000,,,,0.000000,0.075884,0.064260,0.000000,-0.075884
1052,0.100000,D_logit regression,T3 deductible,B1 argmax,1903,1496,0.173936,0.155146,0.192608,0.221257,0.198397,0.245149,0.194763,0.166992,0.073029,0.163636,-0.003356
1052,0.100000,D_logit regression,ensemble,B1 argmax,5709,1496,0.057979,0.050901,0.065240,0.221257,0.198397,0.245149,0.091881,0.092714,0.062262,0.052796,-0.039918
1052,0.100000,D_seg segment,T1 non deductible,B2 argmax,1866,53,0.011790,0.006874,0.016950,0.415094,0.288889,0.537037,0.022929,0.000000,0.051687,0.011790,0.011790
1052,0.100000,D_seg segment,T2 intermediaire,B2 argmax,1562,79,0.024968,0.016624,0.033997,0.493671,0.371429,0.613653,0.047532,0.065695,0.062409,0.024968,-0.040727
1052,0.100000,D_seg segment,T3 deductible,B2 argmax,1686,230,0.068802,0.052174,0.087209,0.504348,0.425737,0.578729,0.121086,0.220358,0.073437,0.068802,-0.151556
1052,0.100000,D_seg segment,ensemble,B2 argmax,5709,417,0.035733,0.029118,0.042978,0.489209,0.433671,0.543767,0.066601,0.092714,0.062262,0.034611,-0.058103
1052,0.100000,D_logit regression,T1 non deductible,B2 argmax,1903,37,0.008408,0.004620,0.012854,0.432432,0.272727,0.594611,0.016495,0.038846,0.049497,0.008646,-0.030200
1052,0.100000,D_logit regression,T2 intermediaire,B2 argmax,1903,95,0.021019,0.014322,0.027936,0.421053,0.317647,0.522944,0.040040,0.075884,0.064260,0.020243,-0.055641
1052,0.100000,D_logit regression,T3 deductible,B2 argmax,1903,285,0.077772,0.061111,0.095756,0.519298,0.447760,0.584462,0.135283,0.166992,0.073029,0.076970,-0.090023
1052,0.100000,D_logit regression,ensemble,B2 argmax,5709,417,0.035733,0.029118,0.042978,0.489209,0.433671,0.543767,0.066601,0.092714,0.062262,0.034611,-0.058103
1052,0.100000,D_seg segment,T1 non deductible,B3 foret,1866,14,0.002144,0.000514,0.004447,0.285714,0.066667,0.555556,0.004255,0.000000,0.051687,0.002144,0.002144
1052,0.100000,D_seg segment,T2 intermediaire,B3 foret,1562,29,0.002561,0.000608,0.005305,0.137931,0.031250,0.264755,0.005028,0.065695,0.062409,0.002561,-0.063134
