item,panel,n_personnes,part_stable,part_aller_retour,part_persistant,part_erratique,part_monotone_persistant
fefam,2008-2012,823,0.38031591737545567,0.17375455650060753,0.38517618469015796,0.060753341433778855,0.1336573511543135
fepol,2008-2012,756,0.7261904761904762,0.07407407407407407,0.19973544973544974,0.0,0.12169312169312169
wrkstat,2008-2012,1292,0.5239938080495357,0.10371517027863777,0.2786377708978328,0.0936532507739938,0.09210526315789473
evwork,2008-2012,311,0.9614147909967846,0.006430868167202572,0.03215434083601286,0.0,0.01929260450160772
partfull,2008-2012,765,0.7764705882352941,0.05359477124183006,0.16993464052287582,0.0,0.09803921568627451
conarmy,2008-2012,839,0.48152562574493446,0.13706793802145412,0.33134684147794996,0.050059594755661505,0.15256257449344457
conbus,2008-2012,836,0.4916267942583732,0.15550239234449761,0.32177033492822965,0.03110047846889952,0.1722488038277512
conclerg,2008-2012,835,0.4467065868263473,0.1724550898203593,0.3437125748502994,0.037125748502994015,0.17005988023952096
coneduc,2008-2012,857,0.41656942823803966,0.17152858809801633,0.37222870478413067,0.039673278879813305,0.1353558926487748
confed,2008-2012,838,0.3317422434367542,0.13961813842482101,0.45823389021479716,0.07040572792362769,0.045346062052505964
confinan,2008-2012,853,0.3305978898007034,0.18053927315357562,0.4372801875732708,0.05158264947245018,0.26260257913247365
conjudge,2008-2012,821,0.4238733252131547,0.1668696711327649,0.37393422655298414,0.03532277710109622,0.12545676004872108
conlabor,2008-2012,786,0.4580152671755725,0.14631043256997456,0.3511450381679389,0.044529262086514,0.14376590330788805
conlegis,2008-2012,842,0.43942992874109266,0.166270783847981,0.3669833729216152,0.027315914489311165,0.19239904988123516
conmedic,2008-2012,856,0.4100467289719626,0.18574766355140188,0.3679906542056075,0.036214953271028034,0.08060747663551401
conpress,2008-2012,845,0.46982248520710057,0.13372781065088757,0.3763313609467456,0.020118343195266272,0.1881656804733728
consci,2008-2012,796,0.4836683417085427,0.14195979899497488,0.3454773869346734,0.028894472361809045,0.0414572864321608
contv,2008-2012,845,0.40473372781065087,0.178698224852071,0.39171597633136096,0.02485207100591716,0.20355029585798817
joblose,2008-2012,384,0.3958333333333333,0.16666666666666666,0.359375,0.078125,0.15885416666666666
jobfind,2008-2012,384,0.4244791666666667,0.109375,0.3802083333333333,0.0859375,0.13541666666666666
happy,2008-2012,1282,0.4235569422776911,0.1606864274570983,0.3876755070202808,0.028081123244929798,0.19578783151326054
hapmar,2008-2012,562,0.6227758007117438,0.1103202846975089,0.2580071174377224,0.008896797153024912,0.12099644128113879
satjob,2008-2012,814,0.3968058968058968,0.15233415233415235,0.36240786240786244,0.08845208845208845,0.06265356265356266
spdeg*,2008-2012,565,0.7734513274336283,0.05309734513274336,0.1504424778761062,0.023008849557522124,0.06725663716814159
unemp,2008-2012,869,0.7261219792865362,0.05638665132336018,0.21749136939010358,0.0,0.0
