perimetre,condition,item,classe_norc,type,n_cellules,exactitude,distance,desirabilite_simulee,desirabilite_humaine,ecart_desirabilite,masse_sans_score_simulee
1052,agents composite,finalter,temoin,ordinal,1052,0.608365,0.084601,0.395437,0.475285,-0.079848,-0.000000
1052,agents composite,finrela,temoin,ordinal,1052,0.559886,0.029230,0.438688,0.409458,0.029230,0.000000
1052,agents composite,racdif1,temoin,nominal,1052,0.797529,0.090304,0.437262,0.527567,-0.090304,0.000000
1052,agents composite,racdif2,temoin,nominal,1052,0.919201,0.038973,0.972433,0.933460,0.038973,0.000000
1052,agents composite,racdif3,temoin,nominal,1052,0.709125,0.074144,0.414449,0.488593,-0.074144,0.000000
1052,agents composite,racdif4,temoin,nominal,1052,0.769011,0.094106,0.805133,0.711027,0.094106,-0.000000
1052,agents composite,wlthwhts,non teste,ordinal,1052,0.515209,0.052054,,,,1.000000
1052,agents composite,wlthblks,non teste,ordinal,1052,0.310836,0.117063,,,,1.000000
1052,agents composite,wlthhsps,non teste,ordinal,1052,0.379278,0.091274,,,,1.000000
1052,agents composite,racwork,temoin,nominal,1052,0.630228,0.194867,,,,1.000000
1052,agents composite,letin1a,temoin,ordinal,1052,0.473384,0.096958,0.391397,0.375238,0.016160,-0.000000
1052,agents composite,getahead,non teste,ordinal,1052,0.607414,0.043726,,,,1.000000
1052,agents composite,aged,non teste,ordinal,1052,0.469582,0.080323,,,,1.000000
1052,agents composite,parsol,temoin,ordinal,1052,0.350760,0.075333,0.451996,0.527329,-0.075333,-0.000000
1052,agents composite,kidssol,non teste,nominal,1052,0.446768,0.284221,,,,1.000000
1052,agents composite,spanking,temoin,ordinal,1052,0.421103,0.089037,0.574144,0.527567,0.046578,0.000000
1052,agents composite,divlaw,non teste,ordinal,1052,0.553232,0.071768,,,,1.000000
1052,agents composite,sexeduc,temoin,nominal,1052,0.850760,0.008555,0.841255,0.849810,-0.008555,-0.000000
1052,agents composite,pillok,investiguer,ordinal,1052,0.469582,0.076046,,,,1.000000
1052,agents composite,xmarsex,sensible,ordinal,1052,0.537072,0.168251,0.932510,0.764259,0.168251,0.000000
1052,agents composite,homosex,temoin,ordinal,1052,0.753802,0.069475,0.754837,0.685361,0.069475,-0.000000
1052,agents composite,marhomo,temoin,ordinal,1052,0.545627,0.101473,0.618108,0.719582,-0.101473,-0.000000
1052,agents composite,discaff,temoin,ordinal,1052,0.609316,0.046103,,,,1.000000
1052,agents composite,abdefect,temoin,nominal,1052,0.875475,0.004753,,,,1.000000
1052,agents composite,abnomore,temoin,nominal,1052,0.899240,0.007605,,,,1.000000
1052,agents composite,abhlth,temoin,nominal,1052,0.930608,0.029468,,,,1.000000
1052,agents composite,abpoor,investiguer,nominal,1052,0.884981,0.002852,,,,1.000000
1052,agents composite,abrape,investiguer,nominal,1052,0.903992,0.035171,,,,1.000000
1052,agents composite,absingle,temoin,nominal,1052,0.885932,0.036122,,,,1.000000
1052,agents composite,abany,investiguer,nominal,1052,0.859316,0.049430,,,,1.000000
1052,agents composite,letdie1,temoin,nominal,1052,0.851711,0.011407,,,,1.000000
1052,agents composite,suicide1,investiguer,nominal,1052,0.892586,0.008555,,,,1.000000
1052,agents composite,suicide2,non teste,nominal,1052,0.807985,0.146388,,,,1.000000
1052,agents composite,suicide3,non teste,nominal,1052,0.823194,0.024715,,,,1.000000
1052,agents composite,suicide4,temoin,nominal,1052,0.646388,0.268061,,,,1.000000
1052,agents composite,pornlaw,temoin,ordinal,1052,0.718631,0.104848,0.536737,0.585551,-0.048815,-0.000000
1052,agents composite,fair,non teste,ordinal,1052,0.557985,0.101236,,,,1.000000
1052,agents composite,helpful,non teste,ordinal,1052,0.583650,0.059886,,,,1.000000
1052,agents composite,trust,non teste,ordinal,1052,0.575095,0.047053,,,,1.000000
1052,agents composite,tax,non teste,ordinal,1052,0.595057,0.052757,,,,1.000000
1052,agents composite,vote16,sensible,nominal,1052,0.869772,0.035171,0.680608,0.689164,-0.008555,-0.000000
