type,construction,configuration,replicats,n_couverts,fidelite_chute,fidelite_boot_bas,fidelite_boot_haut,top1,top1_boot_bas,top1_boot_haut,bits,bits_bas,bits_haut,bits_replicats,exactitude_contre_verite,a_vraie_personne,c_candidat_hasard,delta_identification,ecart_exactitude_moyen,ecart_exactitude_max,z_exactitude_max,masque_identique,rho_moyen,rho_median,rho_p5,rho_p95,rho_min,rho_max,rho_boot_personnes_bas,rho_boot_personnes_haut,replicats_axe_degenere,replicats_rho_non_defini,rho_reel_depasse_p95,replicat,rho,distinct_fidelite,distinct_fuite
configuration,N0 nul casse,Text Persona - Gemini-Flash2.5,100.0,2058.0,0.14917249149659867,0.14431193310657597,0.15399688714771625,0.30318432134758666,0.2900834143181082,0.32912617427923546,4.061470452129929,3.8855265146701634,4.254596218323059,3.0,0.5597157434402332,0.5598963394881762,0.40646892057762524,0.15342741891055092,0.04996922578555232,0.26666666666666666,4.248453095130934,True,,,,,,,,,,,,,,,
configuration,N0 nul casse,B0 tirage,100.0,2058.0,0.031166012714609677,0.02752711471493361,0.03528929280045353,0.022304826692581794,0.01830255911888565,0.030774214447683832,0.4023076178443012,0.3464311920981404,0.4664151534034049,3.0,0.4325077745383867,0.4324910916747652,0.40004467148514267,0.03244642018962243,0.050484450923226426,0.3,4.7795097320223,True,,,,,,,,,,,,,,,
configuration,N0 nul casse,B1 argmax,100.0,2058.0,0.09552380142533204,0.09023130770165212,0.09988925838192422,0.1617265954000648,0.14658244250080982,0.17735665694849367,2.1464895432288826,1.997727356361958,2.298959283792977,3.0,0.5041771946873986,0.5035390346614838,0.4052187171319081,0.09832031752957555,0.05017622287010043,0.30000000000000004,4.6501641579980015,True,,,,,,,,,,,,,,,
configuration,N0 nul casse,B2 argmax,100.0,2058.0,0.10145991051182379,0.09594153911564626,0.10571590540978298,0.16979753806284417,0.14706430191124067,0.17800453514739228,2.282272346677185,2.131341481830807,2.4425567743500873,3.0,0.510564706835115,0.5100745059928733,0.40609375014756693,0.10398075584530633,0.050297295108519595,0.29999999999999993,4.743416490252568,True,,,,,,,,,,,,,,,
configuration,N0 nul casse,PMM k=10,100.0,2058.0,0.06988629535147392,0.06644896440719147,0.0749098234531908,0.07454000647878198,0.06883300939423388,0.09022108843537413,1.2447721367649187,1.1438773034725458,1.3575333840543387,3.0,0.47463265306122443,0.4750404923874312,0.4021726625306979,0.07286782985673329,0.05058357628765792,0.2833333333333333,4.428925898610702,True,,,,,,,,,,,,,,,
configuration,N1 mode de segment,Demographics Only - GPT4.1-mini,100.0,2058.0,-0.008767464366699017,-0.009947496558147043,-0.004595359572400366,0.0005264010366051182,0.0,0.0,-0.00023263774761398773,-0.001266624264413944,0.008109770100024173,3.0,0.40972044055717527,0.41113540654356984,0.4132523320309659,-0.002116925487396128,0.0,0.0,0.0,True,,,,,,,,,,,,,,,
configuration,N1 mode de segment,JSON Persona - GPT4.1,100.0,2058.0,-0.0034147938937479274,-0.002736146541950079,0.002847561345966987,0.0006770327178490445,0.0,0.0024295432458697765,0.008665143133770906,0.004391495489235053,0.02087488888190724,3.0,0.4342781827016522,0.43739876903142216,0.42617047790933676,0.011228291122085371,0.0,0.0,0.0,True,,,,,,,,,,,,,,,
configuration,N1 mode de segment,JSON Persona - GPT4.1-mini,100.0,1000.0,-0.007889479166666618,-0.01097121874999997,-0.0024840312499999693,0.0005833333333333334,0.0,0.003,-0.0020347372353306525,-0.0028487446652937006,0.01332291809139854,3.0,0.4198820000000001,0.4216437290495401,0.42049348168519374,0.0011502473643462843,0.0,0.0,0.0,True,,,,,,,,,,,,,,,
configuration,N1 mode de segment,Text Persona (Default Temperature) - GPT4.1-mini,100.0,2058.0,0.002292472465176604,0.001673287172011689,0.0071476504292193365,0.0006559766763848397,0.0,0.0012957563977972141,0.015941385396265773,0.009415226742251119,0.02990241073143371,3.0,0.43257644962746994,0.4347667638483966,0.42089472120932225,0.013872042639074229,0.0,0.0,0.0,True,,,,,,,,,,,,,,,
configuration,N1 mode de segment,Text Persona (Reasoning) - GPT4.1-mini,100.0,2058.0,-0.007904863135730434,-0.01041167597991575,-0.005143591067379309,0.0004891480401684483,0.0,0.0,-0.00012822027265535496,-0.0010699621959090837,0.008075414485971832,3.0,0.4206988176222871,0.42052964042759966,0.41967741536894265,0.0008522250586569006,0.0,0.0,0.0,True,,,,,,,,,,,,,,,
configuration,N1 mode de segment,Text Persona (Repeating Questions) - GPT4.1-mini,100.0,2058.0,0.0008755000809848296,-0.0011755800534499255,0.004400798712342107,0.0006899902818270166,0.0,0.0014577259475218659,0.014630980796590384,0.00863604129384153,0.02863946956904773,3.0,0.43206916099773246,0.4325072886297376,0.4215171273748057,0.010990161254931883,0.0,0.0,0.0,True,,,,,,,,,,,,,,,
configuration,N1 mode de segment,Text Persona - GPT4.1-mini,100.0,2058.0,0.0024618500971817824,-0.0013421606737932953,0.004327649214447716,0.0007434402332361517,0.0,0.0021056041464204726,0.013987857449001476,0.007831648556699097,0.02750615283780398,3.0,0.43395594428247486,0.4326692581794623,0.4219059802179931,0.010763277961469194,0.0,0.0,0.0,True,,,,,,,,,,,,,,,
configuration,N1 mode de segment,Text Persona - Gemini-Flash2.5,100.0,2058.0,-0.008145904195011277,-0.009871355685131165,-0.004564089326206639,0.0004697116942014901,0.0,0.0,0.0008757473391387549,-0.000492327546104887,0.009445133744239413,3.0,0.4231890184645287,0.4244412050534499,0.42225843713393546,0.002182767919514516,0.0,0.0,0.0,True,,,,,,,,,,,,,,,
configuration,N1 mode de segment,B0 tirage,100.0,2058.0,0.0018986556527373273,-0.0015117276077097328,0.0038893494897959354,0.0006235827664399094,0.0,0.0012957563977972141,-0.0010750883105223135,-0.0017969528968390326,0.007007692682458531,3.0,0.4083076611597021,0.40740200842241664,0.4051374962498303,0.002264512172586189,0.0,0.0,0.0,True,,,,,,,,,,,,,,,
configuration,N1 mode de segment,B1 argmax,100.0,2058.0,0.0065082037576936,0.0030010781098153776,0.008631326935536143,0.0007369614512471658,0.0,0.0014577259475218659,0.013757477488564263,0.007763743720406484,0.02778100275166785,3.0,0.4272792355037254,0.42649011985746677,0.4152994720957474,0.011190647761719331,0.0,0.0,0.0,True,,,,,,,,,,,,,,,
configuration,N1 mode de segment,B2 argmax,100.0,2058.0,0.005899797538062896,0.00539926000161972,0.010976463799805661,0.0008276643990929707,0.0,0.0014577259475218659,0.02709391114221778,0.017728279984857546,0.0447453726051652,3.0,0.42803231292517013,0.43015873015873024,0.4155562898489953,0.014602440309734895,0.0,0.0,0.0,True,,,,,,,,,,,,,,,
configuration,N1 mode de segment,PMM k=10,100.0,2058.0,0.0004062135568513592,-0.002836739755425952,0.002212028263686455,0.0005118237771298996,0.0,0.0027534823453190796,0.0020327270513262143,0.00017039287397918972,0.011479986036399359,3.0,0.41514544865565284,0.41402656300615476,0.4105241800547328,0.0035023829514220423,0.0,0.0,0.0,True,,,,,,,,,,,,,,,
configuration,N1b mode de segment (Bernoulli),Demographics Only - GPT4.1-mini,100.0,2058.0,-0.008771171444768338,-0.009697967282150933,-0.004097029883381902,0.0004437965662455458,0.0,0.0012957563977972141,-9.496911340415674e-05,-0.0009894126579377716,0.007598957627446397,3.0,0.4096649659863945,0.4110787172011662,0.41316262702961704,-0.0020839098284507964,0.05015565273728538,0.31666666666666665,5.006939628599934,True,,,,,,,,,,,,,,,
configuration,N1b mode de segment (Bernoulli),JSON Persona - GPT4.1,100.0,2058.0,-0.003571303045027487,-0.005004904640427575,0.0002553449951409429,0.0006673145448655654,0.0,0.0,0.004778462971597601,0.001964983232974612,0.015047512619370701,3.0,0.4341926627793975,0.4350745059928734,0.42599615601712937,0.009078349975743917,0.049473760932944616,0.2833333333333334,4.883741565338878,True,,,,,,,,,,,,,,,
configuration,N1b mode de segment (Bernoulli),JSON Persona - GPT4.1-mini,100.0,1000.0,-0.008206974999999945,-0.010796906249999972,-0.0029492708333333116,0.0005,0.0,0.0,-0.001325038656462496,-0.002693084607212433,0.015117299575706705,3.0,0.4195771666666667,0.42154290838447206,0.42112152352411264,0.0004213848603593302,0.05006145762711864,0.30000000000000004,4.743416490252569,True,,,,,,,,,,,,,,,
configuration,N1b mode de segment (Bernoulli),Text Persona (Default Temperature) - GPT4.1-mini,100.0,2058.0,0.002325032393909998,-0.0027140073291220994,0.0029583181486880746,0.0006916099773242631,0.0,0.001943634596695821,0.014887848563448122,0.00890874949375693,0.02817158300933296,3.0,0.43259629089731133,0.4297295108519599,0.4209728687624802,0.008756642089479589,0.05027340459993521,0.31666666666666665,4.9167171103142735,True,,,,,,,,,,,,,,,
configuration,N1b mode de segment (Bernoulli),Text Persona (Reasoning) - GPT4.1-mini,100.0,2058.0,-0.0076976109491415125,-0.011349560657596347,-0.006015528830579821,0.000513443472627146,0.0,0.0024295432458697765,-0.0013638752874000442,-0.0019083805373590519,0.00630183271030862,3.0,0.42092533203757704,0.4201328150307742,0.4199042553760826,0.00022855965469163232,0.050109977324263054,0.2666666666666667,4.440448924326312,True,,,,,,,,,,,,,,,
configuration,N1b mode de segment (Bernoulli),Text Persona (Repeating Questions) - GPT4.1-mini,100.0,2058.0,0.0007670898121153696,0.000713551789763555,0.006146572319403982,0.0005344995140913509,0.0,0.0021056041464204726,0.012179063612187827,0.006147145053620899,0.024942793787255457,3.0,0.4319705215419502,0.4337139617751863,0.4212109986296338,0.01250296314555255,0.050001457725947517,0.28333333333333327,4.655641738793911,True,,,,,,,,,,,,,,,
