item,position_initiale,n_porteurs,n_autres,taux_changement_porteurs,taux_changement_autres,taux_monotone_porteurs,taux_monotone_autres
tax,"modalite rare, moins de 10 pour cent",63,2908,0.7301587301587301,0.28885832187070154,0.19047619047619047,0.1626547455295736
tax,modalite majoritaire,1616,1355,0.27042079207920794,0.33136531365313654,0.17636138613861385,0.14760147601476015
news,modalite majoritaire,993,2103,0.3393756294058409,0.5915359010936757,0.1379657603222558,0.16119828815977175
attend,"modalite rare, moins de 10 pour cent",1550,3065,0.7129032258064516,0.5569331158238173,0.19870967741935483,0.22055464926590537
attend,modalite majoritaire,1049,3566,0.4642516682554814,0.6519910263600673,0.19351763584366063,0.21901289960740325
pray,"modalite rare, moins de 10 pour cent",259,4361,0.833976833976834,0.45769318963540473,0.2625482625482625,0.17473056638385692
pray,modalite majoritaire,1386,3234,0.33910533910533913,0.53865182436611,0.10028860028860029,0.21366728509585653
postlife,modalite majoritaire,3231,675,0.06809037449705974,0.2814814814814815,0.052615289384091615,0.0
bible,"modalite rare, moins de 10 pour cent",76,4501,0.9342105263157895,0.27838258164852253,0.4605263157894737,0.06287491668518107
bible,modalite majoritaire,2116,2461,0.2726843100189036,0.3035351483136936,0.029773156899810964,0.10361641609101992
reborn,modalite majoritaire,2823,1753,0.13637973786751684,0.16714204221334855,0.11866808359900814,0.030233884768967486
savesoul,modalite majoritaire,2612,2043,0.14892802450229708,0.19334312285854136,0.08843797856049004,0.09055310817425355
income,"modalite rare, moins de 10 pour cent",1037,2883,0.8119575699132112,0.10267082899757198,0.29026036644165865,0.019771071800208116
income,modalite majoritaire,2883,1037,0.10267082899757198,0.8119575699132112,0.019771071800208116,0.29026036644165865
health,"modalite rare, moins de 10 pour cent",121,2971,0.5537190082644629,0.41602154156849547,0.0,0.10366879838438237
health,modalite majoritaire,1519,1573,0.36010533245556287,0.480610298792117,0.061224489795918366,0.13668150031786394
xmovie,modalite majoritaire,2366,781,0.1014370245139476,0.3969270166453265,0.03085376162299239,0.33674775928297057
life,"modalite rare, moins de 10 pour cent",145,2900,0.6344827586206897,0.29586206896551726,0.0896551724137931,0.16620689655172413
life,modalite majoritaire,1539,1506,0.31643924626380765,0.30743691899070386,0.31319038336582194,0.008632138114209827
richwork,modalite majoritaire,1218,502,0.2413793103448276,0.300796812749004,0.2413793103448276,0.0
