modele,cle_modele,camp,identite,n_items,gs_decrit_moyen,gs_reel_moyen,ratio,ic_bas,ic_haut,ratio_plancher_w2_w1,part_items_sous_1,p,p_holm,perimetre_analyse,famille,perimetre,ecart_decrit_moyen,ecart_reel_moyen,facteur,facteur_plancher_w2_w1,hypothese,tv_entre_identites_moyenne,plancher_humain_moyen,rapport_au_plancher,part_items_identiques,part_items_au_dessus_du_plancher
gpt-oss-20b,oss20,centre,adversaire,149,0.5407624161073824,0.5022784024697905,1.0766188899390443,1.0298573323847262,1.1221190354375108,1.0082579700180676,0.28187919463087246,0.0017499125043747813,0.01224938753062347,"sensibilite, cellules recopiees gardees",H1,,,,,,,,,,,
gpt-oss-20b,oss20,droite,journaliste,149,0.529124832214765,0.5077887761931531,1.0420175809744485,0.9990836104391828,1.0853215906948799,0.9955441540043978,0.37583892617449666,0.004649767511624419,0.027898605069746514,"sensibilite, cellules recopiees gardees",H1,,,,,,,,,,,
gpt-oss-20b,oss20,droite,adversaire,149,0.5125643766336644,0.5077887761931531,1.0094046986944327,0.965649751017794,1.0544300315360815,0.9955441540043978,0.4429530201342282,0.44452777361131945,0.44452777361131945,"sensibilite, cellules recopiees gardees",H1,,,,,,,,,,,
Qwen3-30B-A3B-Instruct-2507,q30,gauche,journaliste,148,0.4902387824463582,0.45122455409190054,1.0864629994105146,1.0383305487576235,1.1400254636726057,1.0044741357648235,0.36486486486486486,0.0005499725013749313,0.004949752512374382,"sensibilite, cellules recopiees gardees",H1,,,,,,,,,,,
Qwen3-30B-A3B-Instruct-2507,q30,gauche,adversaire,149,0.483710067114094,0.45266808136224834,1.0685756010417802,1.0215119863353486,1.1205900794215857,1.0046638983403173,0.4228187919463087,0.007299635018249088,0.02919854007299635,"sensibilite, cellules recopiees gardees",H1,,,,,,,,,,,
Qwen3-30B-A3B-Instruct-2507,q30,centre,journaliste,149,0.5541409395973155,0.5022784024697905,1.1032545633507391,1.0610237275517018,1.1490473257963691,1.0082579700180676,0.2751677852348993,9.99950002499875e-05,0.001399930003499825,"sensibilite, cellules recopiees gardees",H1,,,,,,,,,,,
Qwen3-30B-A3B-Instruct-2507,q30,centre,adversaire,149,0.5389087248322147,0.5022784024697905,1.0729283245751888,1.030382412106286,1.1189903652217588,1.0082579700180676,0.3422818791946309,0.0263986800659967,0.07919604019799009,"sensibilite, cellules recopiees gardees",H1,,,,,,,,,,,
Qwen3-30B-A3B-Instruct-2507,q30,droite,journaliste,149,0.5497838926174496,0.5077887761931531,1.0827019390604302,1.0423153323262468,1.1296740114669137,0.9955441540043978,0.3691275167785235,4.999750012499375e-05,0.0008999550022498875,"sensibilite, cellules recopiees gardees",H1,,,,,,,,,,,
Qwen3-30B-A3B-Instruct-2507,q30,droite,adversaire,149,0.5342899328859061,0.5077887761931531,1.0521893313425117,1.0093055045225128,1.098505034749071,0.9955441540043978,0.4161073825503356,0.004949752512374382,0.027898605069746514,"sensibilite, cellules recopiees gardees",H1,,,,,,,,,,,
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,149,0.5327223878606206,0.45266808136224834,1.1768499034821691,1.1143651847167928,1.251207865689577,1.0046638983403173,0.22818791946308725,4.999750012499375e-05,0.0008999550022498875,"sensibilite, cellules recopiees gardees",H1,,,,,,,,,,,
Qwen3-4B-Instruct-2507,q4,gauche,adversaire,149,0.5350755126343085,0.45266808136224834,1.1820482482972188,1.1218967958178772,1.2507683068442534,1.0046638983403173,0.2550335570469799,4.999750012499375e-05,0.0008999550022498875,"sensibilite, cellules recopiees gardees",H1,,,,,,,,,,,
Qwen3-4B-Instruct-2507,q4,centre,journaliste,149,0.5636628128638599,0.5022784024697905,1.1222119248851465,1.0691707441604579,1.1823082263322033,1.0082579700180676,0.2751677852348993,0.00014999250037498125,0.001799910004499775,"sensibilite, cellules recopiees gardees",H1,,,,,,,,,,,
Qwen3-4B-Instruct-2507,q4,centre,adversaire,149,0.5756150049336265,0.5022784024697905,1.146007875519288,1.1005975833708423,1.1991122647350188,1.0082579700180676,0.30201342281879195,4.999750012499375e-05,0.0008999550022498875,"sensibilite, cellules recopiees gardees",H1,,,,,,,,,,,
Qwen3-4B-Instruct-2507,q4,droite,journaliste,149,0.5393261744966443,0.5077887761931531,1.062107316628627,1.0161060953708645,1.1186200145496077,0.9955441540043978,0.5033557046979866,0.0006999650017499125,0.0055997200139993,"sensibilite, cellules recopiees gardees",H1,,,,,,,,,,,
Qwen3-4B-Instruct-2507,q4,droite,adversaire,149,0.5396192496948773,0.5077887761931531,1.0626844762902292,1.0200541070090505,1.1073775152578698,0.9955441540043978,0.4429530201342282,0.000199990000499975,0.002199890005499725,"sensibilite, cellules recopiees gardees",H1,,,,,,,,,,,
gpt-oss-20b,oss20,,journaliste,149,,,,0.7294326518499961,1.0363016613789195,,,0.02974851257437128,0.08924553772311385,"sensibilite, cellules recopiees gardees",H2,tous les items,0.1844295302013423,0.21077395381341893,0.875011009968541,1.0103287166751227,"H2a, ecart non signe (TV entre camps)",,,,,
gpt-oss-20b,oss20,,adversaire,149,,,,0.9334084226738069,1.2498568723775494,,,0.0006999650017499125,0.00279986000699965,"sensibilite, cellules recopiees gardees",H2,tous les items,0.22678246644295302,0.21077395381341893,1.0759510951894233,1.0103287166751227,"H2a, ecart non signe (TV entre camps)",,,,,
Qwen3-30B-A3B-Instruct-2507,q30,,journaliste,148,,,,1.0473212106592593,1.3221299220391363,,,9.99950002499875e-05,0.0004999750012499375,"sensibilite, cellules recopiees gardees",H2,tous les items,0.24735462837837838,0.21059378482235377,1.1745580648879748,1.0098841114010038,"H2a, ecart non signe (TV entre camps)",,,,,
Qwen3-30B-A3B-Instruct-2507,q30,,adversaire,149,,,,1.1772379779620574,1.4816330507800264,,,4.999750012499375e-05,0.0002999850007499625,"sensibilite, cellules recopiees gardees",H2,tous les items,0.27899328859060396,0.21077395381341893,1.3236611238861804,1.0103287166751227,"H2a, ecart non signe (TV entre camps)",,,,,
Qwen3-4B-Instruct-2507,q4,,journaliste,149,,,,0.7654437032586318,1.0194142764869116,,,0.05384730763461827,0.10769461526923654,"sensibilite, cellules recopiees gardees",H2,tous les items,0.18632351677852352,0.21077395381341893,0.8839968763097769,1.0103287166751227,"H2a, ecart non signe (TV entre camps)",,,,,
Qwen3-4B-Instruct-2507,q4,,adversaire,149,,,,0.6450077207237445,0.9103440460780782,,,0.09639518024098795,0.10769461526923654,"sensibilite, cellules recopiees gardees",H2,tous les items,0.16184390268456378,0.21077395381341893,0.7678553244194064,1.0103287166751227,"H2a, ecart non signe (TV entre camps)",,,,,
gpt-oss-20b,oss20,,journaliste,65,,,,0.45170922852543754,0.9406409463219989,,,0.01809909504524774,0.03619819009049548,"sensibilite, cellules recopiees gardees",H2,items retenus stricts,0.17943589743589744,0.2585492958737736,0.6940103891193726,1.0112422061099535,"H2b, ecart signe (position orientee)",,,,,
gpt-oss-20b,oss20,,adversaire,65,,,,0.43139347156901675,1.0169740499035176,,,0.05729713514324284,0.05729713514324284,"sensibilite, cellules recopiees gardees",H2,items retenus stricts,0.1842820512820513,0.2585492958737736,0.7127540249501189,1.0112422061099535,"H2b, ecart signe (position orientee)",,,,,
Qwen3-30B-A3B-Instruct-2507,q30,,journaliste,65,,,,1.1120602893449083,1.5044625663106181,,,0.0023498825058747065,0.00704964751762412,"sensibilite, cellules recopiees gardees",H2,items retenus stricts,0.33428774871794875,0.2585492958737736,1.2929362177847563,1.0112422061099535,"H2b, ecart signe (position orientee)",,,,,
Qwen3-30B-A3B-Instruct-2507,q30,,adversaire,65,,,,1.1781026137954962,1.6198512201820796,,,0.0004999750012499375,0.00199990000499975,"sensibilite, cellules recopiees gardees",H2,items retenus stricts,0.3583846153846154,0.2585492958737736,1.3861364973880355,1.0112422061099535,"H2b, ecart signe (position orientee)",,,,,
