jeu,predicteur,fpr,tpr
Stanford,Retest humain (plafond),0.0,0.3916349809885932
Stanford,Retest humain (plafond),0.0,0.40779467680608367
Stanford,Retest humain (plafond),0.0,0.41254752851711024
Stanford,Retest humain (plafond),0.0,0.44961977186311786
Stanford,Retest humain (plafond),0.0,0.47433460076045625
Stanford,Retest humain (plafond),0.0,0.4923954372623574
Stanford,Retest humain (plafond),0.0,0.32604562737642584
Stanford,Retest humain (plafond),0.0,0.10456273764258556
Stanford,Retest humain (plafond),0.0,0.15304182509505704
Stanford,Retest humain (plafond),0.0,0.09695817490494296
Stanford,Retest humain (plafond),0.0,0.0038022813688212928
Stanford,Retest humain (plafond),0.0,0.005703422053231939
Stanford,Retest humain (plafond),0.0,0.0076045627376425855
Stanford,Retest humain (plafond),0.0,0.009505703422053232
Stanford,Retest humain (plafond),0.0,0.011406844106463879
Stanford,Retest humain (plafond),0.0,0.013307984790874524
Stanford,Retest humain (plafond),0.0,0.016159695817490494
Stanford,Retest humain (plafond),0.0,0.10171102661596958
Stanford,Retest humain (plafond),0.0,0.021863117870722433
Stanford,Retest humain (plafond),0.0,0.019961977186311788
Stanford,Retest humain (plafond),0.0,0.03326996197718631
Stanford,Retest humain (plafond),0.0,0.03612167300380228
Stanford,Retest humain (plafond),0.0,0.0370722433460076
Stanford,Retest humain (plafond),0.0,0.04277566539923954
Stanford,Retest humain (plafond),0.0,0.05418250950570342
Stanford,Retest humain (plafond),0.0,0.058935361216730035
Stanford,Retest humain (plafond),0.0,0.06368821292775666
Stanford,Retest humain (plafond),0.0,0.0817490494296578
Stanford,Retest humain (plafond),0.0,0.028517110266159697
Stanford,Retest humain (plafond),0.0,0.0019011406844106464
Stanford,Retest humain (plafond),0.0009505703422053232,0.5817490494296578
Stanford,Retest humain (plafond),0.0009505703422053232,0.5038022813688213
Stanford,Retest humain (plafond),0.0009505703422053232,0.5389733840304183
Stanford,Retest humain (plafond),0.0009505703422053232,0.5722433460076045
Stanford,Retest humain (plafond),0.0009505703422053232,0.594106463878327
Stanford,Retest humain (plafond),0.0009505703422053232,0.6568441064638784
Stanford,Retest humain (plafond),0.0009505703422053232,0.844106463878327
Stanford,Retest humain (plafond),0.0009505703422053232,0.8374524714828897
Stanford,Retest humain (plafond),0.0009505703422053232,0.7956273764258555
Stanford,Retest humain (plafond),0.0009505703422053232,0.776615969581749
Stanford,Retest humain (plafond),0.0009505703422053232,0.7756653992395437
Stanford,Retest humain (plafond),0.0009505703422053232,0.7547528517110266
Stanford,Retest humain (plafond),0.0009505703422053232,0.8155893536121673
Stanford,Retest humain (plafond),0.0009505703422053232,0.7319391634980988
Stanford,Retest humain (plafond),0.0009505703422053232,0.7271863117870723
Stanford,Retest humain (plafond),0.0009505703422053232,0.6977186311787072
Stanford,Retest humain (plafond),0.0009505703422053232,0.6787072243346007
Stanford,Retest humain (plafond),0.0009505703422053232,0.6673003802281369
Stanford,Retest humain (plafond),0.0009505703422053232,0.7423954372623575
Stanford,Retest humain (plafond),0.0009505703422053232,0.623574144486692
Stanford,Retest humain (plafond),0.0019011406844106464,0.8498098859315589
Stanford,Retest humain (plafond),0.0028517110266159697,0.8621673003802282
