item,n,C2,C3,C3F,humains vague 2,agents composite,agents entretien (v3),agents enquete,agents demographiques (v6),agents v7,agents v8,B0 mode,B0 tirage,B1 argmax,B2 argmax,famille
racdif1,150,0.740000,0.546667,,0.813333,0.793333,0.820000,0.833333,0.580000,0.606667,0.793333,0.560000,0.500000,0.813333,0.806667,hors famille
racdif2,150,0.940000,0.940000,,0.940000,0.913333,0.926667,0.933333,0.940000,0.940000,0.940000,0.940000,0.873333,0.940000,0.940000,hors famille
racdif3,150,0.360000,0.493333,,0.806667,0.746667,0.733333,0.766667,0.500000,0.526667,0.706667,0.493333,0.546667,0.706667,0.733333,hors famille
racdif4,150,0.733333,0.746667,,0.840000,0.813333,0.733333,0.746667,0.726667,0.746667,0.713333,0.733333,0.706667,0.726667,0.773333,hors famille
wlthwhts,150,0.533333,0.380000,,0.533333,0.526667,0.360000,0.313333,0.306667,0.220000,0.273333,0.566667,0.446667,0.546667,0.560000,hors famille
wlthblks,150,0.306667,0.313333,,0.620000,0.306667,0.146667,0.180000,0.120000,0.126667,0.100000,0.520000,0.386667,0.506667,0.493333,hors famille
wlthhsps,150,0.340000,0.400000,,0.600000,0.360000,0.366667,0.533333,0.313333,0.380000,0.340000,0.433333,0.333333,0.420000,0.460000,hors famille
racwork,150,0.273333,0.466667,,0.726667,0.586667,0.566667,0.506667,0.293333,0.346667,0.393333,0.346667,0.246667,0.413333,0.586667,hors famille
letin1a,150,0.320000,0.346667,,0.713333,0.500000,0.493333,0.386667,0.360000,0.313333,0.333333,0.380000,0.220000,0.493333,0.540000,hors famille
getahead,150,0.566667,0.420000,,0.713333,0.600000,0.553333,0.540000,0.506667,0.493333,0.580000,0.466667,0.426667,0.646667,0.560000,hors famille
aged,150,0.286667,0.326667,,0.726667,0.440000,0.546667,0.440000,0.573333,0.546667,0.580000,0.640000,0.546667,0.620000,0.633333,hors famille
parsol,150,0.213333,0.360000,,0.506667,0.346667,0.393333,0.413333,0.246667,0.253333,0.240000,0.260000,0.333333,0.260000,0.333333,hors famille
kidssol,150,0.200000,0.346667,,0.560000,0.460000,0.446667,0.386667,0.366667,0.300000,0.213333,0.313333,0.173333,0.353333,0.366667,hors famille
spanking,150,0.380000,0.380000,,0.753333,0.446667,0.400000,0.406667,0.333333,0.320000,0.433333,0.306667,0.246667,0.460000,0.446667,hors famille
divlaw,150,0.353333,0.193333,,0.733333,0.553333,0.466667,0.400000,0.500000,0.520000,0.393333,0.526667,0.493333,0.486667,0.473333,hors famille
sexeduc,150,0.786667,0.486667,,0.920000,0.826667,0.753333,0.800000,0.846667,0.793333,0.753333,0.853333,0.753333,0.846667,0.840000,hors famille
pillok,150,0.413333,0.213333,,0.620000,0.466667,0.453333,0.460000,0.353333,0.440000,0.420000,0.366667,0.273333,0.380000,0.513333,hors famille
xmarsex,150,0.333333,0.353333,,0.746667,0.540000,0.546667,0.533333,0.473333,0.526667,0.460000,0.533333,0.360000,0.546667,0.573333,hors famille
homosex,150,0.580000,0.700000,,0.786667,0.740000,0.680000,0.666667,0.566667,0.593333,0.566667,0.566667,0.413333,0.566667,0.693333,hors famille
marhomo,150,0.500000,0.480000,,0.766667,0.586667,0.566667,0.500000,0.286667,0.380000,0.426667,0.493333,0.346667,0.513333,0.606667,hors famille
discaff,150,0.526667,0.520000,,0.713333,0.666667,0.566667,0.593333,0.513333,0.480000,0.606667,0.526667,0.453333,0.540000,0.606667,hors famille
abdefect,150,0.726667,0.720000,1.000000,0.940000,0.886667,0.833333,0.833333,0.760000,0.846667,0.760000,0.820000,0.680000,0.846667,0.873333,avortement (ab*)
abnomore,150,0.753333,0.806667,0.500000,0.866667,0.893333,0.800000,0.846667,0.720000,0.700000,0.740000,0.660000,0.580000,0.786667,0.826667,avortement (ab*)
abhlth,150,0.806667,0.926667,0.800000,0.960000,0.933333,0.913333,0.866667,0.906667,0.913333,0.880000,0.906667,0.886667,0.913333,0.906667,avortement (ab*)
abpoor,150,0.780000,0.846667,0.900000,0.886667,0.860000,0.860000,0.880000,0.700000,0.713333,0.766667,0.680000,0.580000,0.766667,0.866667,avortement (ab*)
abrape,150,0.853333,0.920000,1.000000,0.960000,0.926667,0.926667,0.860000,0.893333,0.913333,0.860000,0.893333,0.793333,0.900000,0.946667,avortement (ab*)
absingle,150,0.760000,0.846667,0.500000,0.880000,0.840000,0.773333,0.886667,0.706667,0.660000,0.733333,0.640000,0.513333,0.746667,0.833333,avortement (ab*)
abany,150,0.760000,0.586667,0.400000,0.920000,0.853333,0.813333,0.880000,0.693333,0.660000,0.760000,0.640000,0.486667,0.773333,0.840000,avortement (ab*)
letdie1,150,0.766667,0.880000,0.777778,0.886667,0.873333,0.760000,0.880000,0.773333,0.766667,0.726667,0.793333,0.640000,0.793333,0.846667,fin de vie (suicide/letdie)
suicide1,150,0.766667,0.880000,0.777778,0.840000,0.826667,0.813333,0.886667,0.720000,0.780000,0.693333,0.753333,0.620000,0.753333,0.853333,fin de vie (suicide/letdie)
suicide2,150,0.733333,0.786667,0.777778,0.893333,0.786667,0.733333,0.740000,0.733333,0.733333,0.733333,0.733333,0.626667,0.760000,0.886667,fin de vie (suicide/letdie)
suicide3,150,0.746667,0.746667,0.666667,0.906667,0.806667,0.746667,0.700000,0.700000,0.733333,0.673333,0.746667,0.640000,0.753333,0.853333,fin de vie (suicide/letdie)
suicide4,150,0.433333,0.593333,0.666667,0.893333,0.640000,0.666667,0.773333,0.626667,0.700000,0.653333,0.653333,0.506667,0.680000,0.813333,fin de vie (suicide/letdie)
pornlaw,150,0.673333,0.606667,,0.793333,0.700000,0.693333,0.693333,0.613333,0.666667,0.633333,0.660000,0.493333,0.640000,0.700000,hors famille
fair,150,0.260000,0.480000,,0.666667,0.560000,0.413333,0.580000,0.360000,0.386667,0.386667,0.400000,0.386667,0.406667,0.540000,hors famille
helpful,150,0.353333,0.526667,,0.673333,0.546667,0.320000,0.573333,0.366667,0.306667,0.380000,0.380000,0.353333,0.360000,0.540000,hors famille
trust,150,0.466667,0.533333,,0.686667,0.626667,0.420000,0.540000,0.380000,0.326667,0.333333,0.486667,0.333333,0.453333,0.560000,hors famille
tax,150,0.520000,0.553333,,0.773333,0.506667,0.513333,0.533333,0.486667,0.386667,0.453333,0.633333,0.486667,0.600000,0.600000,hors famille
vote16,150,0.393333,0.340000,,0.913333,0.846667,0.820000,0.833333,0.606667,0.640000,0.700000,0.633333,0.513333,0.760000,0.646667,hors famille
pres16,150,0.600000,0.826667,,0.940000,0.826667,0.740000,0.840000,0.446667,0.393333,0.553333,0.313333,0.286667,0.753333,0.653333,hors famille
if16who,150,0.706667,0.760000,,0.913333,0.880000,0.813333,0.800000,0.560000,0.513333,0.773333,0.460000,0.373333,0.753333,0.693333,hors famille
news,150,0.220000,0.320000,,0.700000,0.320000,0.306667,0.213333,0.220000,0.213333,0.260000,0.400000,0.260000,0.413333,0.440000,hors famille
jew,150,0.706667,0.880000,,0.720000,0.700000,0.700000,0.713333,0.840000,0.686667,0.686667,0.706667,0.560000,0.726667,0.706667,hors famille
relig16*,150,0.320000,0.206667,,0.873333,0.633333,0.620000,0.406667,0.640000,0.386667,0.326667,0.293333,0.206667,0.406667,0.400000,hors famille
