condition_llm,definition_raretes,personnes,items,methode,regime_severe,conditionnement,exactitude,exactitude_ic_bas,exactitude_ic_haut,diversite_conservee,accord_par_paires,ratio_intra,ratio_inter,cellules_rares_stables,raretes_stables_osees,rappel_stables,rappel_stables_ic_bas,rappel_stables_ic_haut,precision_stables,precision_stables_ic_bas,precision_stables_ic_haut,f1_stables,plancher_segment,exces_segment_stables,exces_segment_ic_bas,exces_segment_ic_haut,exces_segment_p,rappel_instables,rappel_ensemble,cellules_rares_ensemble
C3F Qwen3-4B,perimetre,60,58,E2 famille retiree (tirage),oui,"149 moins la famille, et 11 demographies",0.621552,0.594828,0.646552,0.994562,0.526378,1.051509,0.523058,31,52,0.225806,0.095238,0.368421,0.134615,0.051282,0.220000,0.168675,0.125451,0.041216,-0.092727,0.188661,0.591000,0.226415,0.226190,84
C3F Qwen3-4B,perimetre,60,58,PMM k=10 famille retiree,oui,"149 moins la famille, et 11 demographies",0.655460,0.625862,0.682184,0.980275,0.533528,0.971641,1.338112,31,44,0.129032,0.000000,0.230769,0.090909,0.000000,0.190476,0.106667,0.125451,-0.000451,-0.141494,0.107838,0.940000,0.226415,0.190476,84
C3F Qwen3-4B,perimetre,60,58,"IM m=10 mode, famille retiree",oui,"149 moins la famille, et 11 demographies",0.668103,0.640517,0.693678,0.854373,0.594078,0.845732,1.161692,31,26,0.096774,0.000000,0.218750,0.115385,0.000000,0.250000,0.105263,0.125451,-0.083784,-0.172331,0.045896,0.174000,0.094340,0.095238,84
C3F Qwen3-4B,perimetre,60,58,B2 famille retiree (argmax),oui,149 moins la famille,0.682184,0.654878,0.709195,0.617042,0.707471,0.531299,1.842541,31,5,0.032258,0.000000,0.107143,0.200000,0.000000,0.500000,0.055556,0.125451,-0.125451,-0.178143,-0.063662,0.000250,0.037736,0.035714,84
C3F Qwen3-4B,perimetre,60,58,B2 famille retiree (tirage),oui,149 moins la famille,0.600862,0.575287,0.624713,0.936985,0.559780,0.965859,0.633976,31,51,0.129032,0.034483,0.240000,0.078431,0.018519,0.157895,0.097561,0.125451,-0.000451,-0.118989,0.139820,0.963500,0.113208,0.119048,84
C3F Qwen3-4B,perimetre,60,58,humains vague 2,sans objet,la personne elle meme,0.777299,0.747126,0.804885,0.977101,0.537103,0.991983,0.970508,31,31,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.125451,0.874549,0.821857,0.936338,0.000250,0.000000,0.369048,84
C3F Qwen3-4B,perimetre,60,58,B3 foret,"sans objet, aucun item vu",11 demographies,0.662356,0.634476,0.689368,0.480807,0.766180,0.326746,2.732049,31,7,0.064516,0.000000,0.147059,0.285714,0.000000,0.750000,0.105263,0.125451,-0.083784,-0.158314,-0.035959,0.000250,0.000000,0.023810,84
C3F Qwen3-4B,perimetre,60,58,B0 mode,"sans objet, aucun item vu",rien,0.637644,0.610632,0.662644,0.015859,0.991233,0.020470,-0.003263,31,0,0.000000,0.000000,0.000000,,,,0.000000,0.125451,-0.125451,-0.178143,-0.063662,0.000250,0.000000,0.000000,84
C3F Qwen3-4B,perimetre,60,58,B0 tirage,"sans objet, aucun item vu",rien,0.521552,0.501149,0.540805,1.001765,0.527411,1.098599,-0.113121,31,70,0.064516,0.000000,0.166667,0.028571,0.000000,0.070423,0.039604,0.125451,-0.083784,-0.144211,-0.000782,0.048500,0.056604,0.059524,84
C3F Qwen3-4B,perimetre,60,58,B1 argmax,"sans objet, aucun item vu",11 demographies,0.648563,0.619828,0.676149,0.711499,0.666959,0.556088,2.725143,31,22,0.096774,0.000000,0.243243,0.136364,0.000000,0.409091,0.113208,0.125451,-0.000451,-0.158221,0.143614,0.923000,0.037736,0.059524,84
C3F Qwen3-4B,population,60,58,C3F Qwen3-4B,voir a41,,0.557184,0.531609,0.582191,0.589760,0.711913,0.640714,0.303760,30,96,0.166667,0.045455,0.333333,0.052083,0.011236,0.100000,0.079365,0.079779,0.094135,-0.032781,0.295174,0.165000,0.222222,0.204301,93
