variable,libelle,delai_mois,n_couples,n_menages,rho,ic_bas,ic_haut
chomage,probabilite que le chomage augmente,1,67826,9105,0.5985894856551972,0.5908088497314365,0.6069203843404336
chomage,probabilite que le chomage augmente,2,59926,8437,0.549381164421444,0.5395503628812065,0.5585290180798651
chomage,probabilite que le chomage augmente,3,52778,7954,0.5122497263713823,0.5023357158556047,0.5206632245405698
chomage,probabilite que le chomage augmente,4,45662,7407,0.4875418339320772,0.4794396711789863,0.49809620568393836
chomage,probabilite que le chomage augmente,5,39013,6959,0.461809731893575,0.4489808593675263,0.4727917111148448
chomage,probabilite que le chomage augmente,6,32725,6560,0.4290215209749895,0.41376069713282976,0.44098292445349885
chomage,probabilite que le chomage augmente,7,26777,6191,0.3967635708233684,0.38376341251563006,0.4106424676432264
chomage,probabilite que le chomage augmente,8,21139,5880,0.35642374032287044,0.3418349320469582,0.3722803952046192
chomage,probabilite que le chomage augmente,9,15791,5618,0.3257175904296247,0.30772119584142654,0.3437312862224141
chomage,probabilite que le chomage augmente,10,10724,5355,0.27655507204438745,0.25277770383234066,0.3008190039833432
chomage,probabilite que le chomage augmente,11,5925,4994,0.24084059650273018,0.21426279656848138,0.26716715844894
infl1_var,"incertitude d'inflation, variance de la densite",1,66292,9003,0.691341560281408,0.6825962492896341,0.699883156458294
infl1_var,"incertitude d'inflation, variance de la densite",2,58577,8380,0.653837730614926,0.6441895192899127,0.662979794223565
infl1_var,"incertitude d'inflation, variance de la densite",3,51568,7892,0.6237749968253372,0.6141353156441436,0.6356123173748607
infl1_var,"incertitude d'inflation, variance de la densite",4,44597,7356,0.6003403051005357,0.5888341433814219,0.6113298216793736
infl1_var,"incertitude d'inflation, variance de la densite",5,38061,6912,0.5704909552334513,0.5588893444521347,0.5824235441271355
infl1_var,"incertitude d'inflation, variance de la densite",6,31904,6505,0.5411084527073825,0.5260661595054763,0.5563923727818475
infl1_var,"incertitude d'inflation, variance de la densite",7,26072,6139,0.5125525044958165,0.4978935411026737,0.5266747283261365
infl1_var,"incertitude d'inflation, variance de la densite",8,20561,5830,0.4797340375865314,0.4638662516196144,0.49347866958045844
infl1_var,"incertitude d'inflation, variance de la densite",9,15337,5556,0.4483126070428987,0.43068653198164264,0.46486368055893207
infl1_var,"incertitude d'inflation, variance de la densite",10,10390,5275,0.4171541309854364,0.3997149438834053,0.43866344919744765
