jeu,item,k,baseline,1-MAE,1-TV,spearman,KS
GSS,spkrac,2,BAD camp inverse,0.8157812767680543,0.8157812767680543,-0.9999999999999999,
GSS,spwrkslf,2,BAD item permute,0.6206999237659615,0.6206999237659615,0.9999999999999999,
GSS,spwrkslf,2,BAD camp inverse,0.2404551685212063,0.2404551685212063,-0.9999999999999999,
GSS,suicide1,2,BAD item permute,0.6940297015850173,0.6940297015850173,-0.9999999999999999,
GSS,suicide1,2,BAD camp inverse,0.7916813355579025,0.7916813355579025,-0.9999999999999999,
GSS,suicide2,2,BAD item permute,0.5164432543999108,0.5164432543999108,-0.9999999999999999,
GSS,suicide2,2,BAD camp inverse,0.1957506137072701,0.1957506137072701,-0.9999999999999999,
GSS,suicide3,2,BAD item permute,0.4070993078259112,0.4070993078259112,-0.9999999999999999,
GSS,suicide3,2,BAD camp inverse,0.20607265779375972,0.20607265779375972,-0.9999999999999999,
GSS,suicide4,2,BAD item permute,0.2831645616584605,0.2831645616584605,-0.9999999999999999,
GSS,suicide4,2,BAD camp inverse,0.35879893132506124,0.35879893132506124,-0.9999999999999999,
GSS,unemp,2,BAD item permute,0.4849350939314425,0.4849350939314425,-0.9999999999999999,
GSS,unemp,2,BAD camp inverse,0.7091022209700897,0.7091022209700897,-0.9999999999999999,
GSS,uswary,2,BAD item permute,0.9021246952281434,0.9021246952281434,0.9999999999999999,
GSS,uswary,2,BAD camp inverse,0.948394489623875,0.948394489623875,-0.9999999999999999,
GSS,viruses,2,BAD item permute,0.6700829261680095,0.6700829261680095,-0.9999999999999999,
GSS,viruses,2,BAD camp inverse,0.9132410812363609,0.9132410812363609,-0.9999999999999999,
GSS,whoelse1,2,BAD item permute,0.41796226481884635,0.41796226481884635,-0.9999999999999999,
GSS,whoelse1,2,BAD camp inverse,0.22434884942325273,0.22434884942325273,-0.9999999999999999,
GSS,whoelse2,2,BAD item permute,0.4024993483001761,0.4024993483001761,-0.9999999999999999,
GSS,whoelse2,2,BAD camp inverse,0.1469256355890991,0.1469256355890991,-0.9999999999999999,
GSS,whoelse3,2,BAD item permute,0.9569542598040025,0.9569542598040025,0.9999999999999999,
GSS,whoelse3,2,BAD camp inverse,0.301702036608376,0.301702036608376,-0.9999999999999999,
GSS,whoelse4,2,BAD item permute,0.7123292958037751,0.7123292958037751,0.9999999999999999,
GSS,whoelse4,2,BAD camp inverse,0.09367814974031785,0.09367814974031785,-0.9999999999999999,
