generateur,n,n_pool,n_rep,exactitude,exactitude_bas,exactitude_haut,top1,top1_bas,top1_haut,top10,top10_bas,top10_haut,rang_median,top1_hasard,auc_ouvert,tpr_fpr_0_1pct,tpr_fpr_1pct,jeu,table,eps,candidat,passe,baseline_top1,llm,llm_top1,llm_top1_bas,llm_top1_haut,llm_tpr_1pct,llm_exactitude,meilleur_classique,meilleur_classique_top1,meilleur_classique_top1_bas,meilleur_classique_top1_haut,meilleur_classique_ouvert,meilleur_classique_tpr_1pct,seuil_non_specifique_top1,verdict_monde_ferme,verdict_monde_ouvert,eps_etoile_fuite,eps_etoile_exactitude,lecture_memorisation
G4 copie perturbee eps=0.20,1052.0,1052.0,2.0,0.8990811153358682,0.8980954356512213,0.9001419813752658,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0009505703422053232,0.9999177738582312,0.9995494296577947,1.0,Stanford,echelle_memorisation,0.2,,,,,,,,,,,,,,,,,,,,,
G4 copie perturbee eps=0.25,1052.0,1052.0,2.0,0.8735472922171381,0.8724328558999807,0.8746378300143929,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0009505703422053232,0.9999430742095448,1.0,1.0,Stanford,echelle_memorisation,0.25,,,,,,,,,,,,,,,,,,,,,
G4 copie perturbee eps=0.30,1052.0,1052.0,2.0,0.8479409679706128,0.8466894508173831,0.8491816099546734,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0009505703422053232,0.9999385562896673,0.9995494296577947,1.0,Stanford,echelle_memorisation,0.3,,,,,,,,,,,,,,,,,,,,,
G4 copie perturbee eps=0.35,1052.0,1052.0,2.0,0.8238705935425662,0.8225733604004211,0.8251650071964083,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0009505703422053232,0.9996751615608148,0.9562946768060836,1.0,Stanford,echelle_memorisation,0.35,,,,,,,,,,,,,,,,,,,,,
G4 copie perturbee eps=0.40,1052.0,1052.0,2.0,0.7976708341389014,0.7962583376296964,0.799094071555928,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0009505703422053232,0.9995181638450751,0.9958707224334601,1.0,Stanford,echelle_memorisation,0.4,,,,,,,,,,,,,,,,,,,,,
G4 copie perturbee eps=0.45,1052.0,1052.0,2.0,0.773047302958046,0.7715274645012997,0.7744624846942063,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0009505703422053232,0.999822671644812,0.9846863117870722,0.9978734383487236,Stanford,echelle_memorisation,0.45,,,,,,,,,,,,,,,,,,,,,
G4 copie perturbee eps=0.50,1052.0,1052.0,2.0,0.7476933900453265,0.7460929276492447,0.749264382075573,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0009505703422053232,0.9990693085052552,0.9727794676806083,0.9904182509505703,Stanford,echelle_memorisation,0.5,,,,,,,,,,,,,,,,,,,,,
G4 copie perturbee eps=0.55,1052.0,1052.0,2.0,0.7228469850271745,0.7212035589998067,0.7243910576571932,0.9988593155893538,0.9974334600760458,1.0,1.0,1.0,1.0,1.0,0.0009505703422053232,0.9957283067559166,0.8235304182509505,0.9611299112801014,Stanford,echelle_memorisation,0.55,,,,,,,,,,,,,,,,,,,,,
G4 copie perturbee eps=0.60,1052.0,1052.0,2.0,0.6960081416081287,0.6942224656827995,0.6978099960258641,0.9889733840304183,0.9846958174904944,0.9930608365019011,0.9990494296577946,0.9976235741444867,1.0,1.0,0.0009505703422053232,0.9711844811259378,0.5051701520912547,0.8496720532319392,Stanford,echelle_memorisation,0.6,,,,,,,,,,,,,,,,,,,,,
G4 copie perturbee eps=0.65,1052.0,1052.0,2.0,0.6717551717471162,0.669999033318296,0.6735115115679577,0.9441064638783271,0.9343108365019012,0.9534220532319392,0.9953422053231938,0.992202946768061,0.9978136882129278,1.0,0.0009505703422053232,0.8913410903005681,0.38174619771863116,0.6662459261271048,Stanford,echelle_memorisation,0.65,,,,,,,,,,,,,,,,,,,,,
G4 copie perturbee eps=0.70,1052.0,1052.0,2.0,0.6470698803462869,0.6451814273592402,0.6489523587033577,0.8131178707224336,0.7954348859315589,0.8291825095057034,0.9639733840304182,0.955893536121673,0.9716730038022813,1.0,0.0009505703422053232,0.7348349242435195,0.23598700887198987,0.43412452471482893,Stanford,echelle_memorisation,0.7,,,,,,,,,,,,,,,,,,,,,
G4 copie perturbee eps=0.75,1052.0,1052.0,2.0,0.6199893665012568,0.618114943825052,0.6218475435543811,0.5892585551330799,0.567773288973384,0.610175855513308,0.851615969581749,0.8353588403041824,0.8664448669201521,2.0,0.0009505703422053232,0.4903754752851711,0.07581178707224334,0.18216730038022813,Stanford,echelle_memorisation,0.75,,,,,,,,,,,,,,,,,,,,,
G4 copie perturbee eps=0.80,1052.0,1052.0,2.0,0.5953819466821336,0.593453349552104,0.5973610260789243,0.3297528517110266,0.30836501901140684,0.351337927756654,0.6463878326996197,0.6251901140684412,0.6675855513307984,8.649999999999999,0.0009505703422053232,0.24593658286226489,0.019949936628643854,0.05449619771863118,Stanford,echelle_memorisation,0.8,,,,,,,,,,,,,,,,,,,,,
G4 copie perturbee eps=0.85,1052.0,1052.0,2.0,0.5702831303301755,0.5682101351206204,0.5722381098150416,0.1317490494296578,0.11796340304182511,0.14639258555133078,0.3760456273764259,0.354467680608365,0.3971506653992395,42.849999999999994,0.0009505703422053232,0.09089919255735951,0.0029134980988593153,0.013890684410646387,Stanford,echelle_memorisation,0.85,,,,,,,,,,,,,,,,,,,,,
G4 copie perturbee eps=0.90,1052.0,1052.0,2.0,0.5462208115829951,0.5441933309703335,0.5482006965478722,0.042585551330798485,0.03374524714828897,0.05104562737642586,0.16577946768060836,0.14837927756653993,0.18241444866920153,124.1,0.0009505703422053232,0.0228518646358918,0.0009752851711026616,0.001570342205323194,Stanford,echelle_memorisation,0.9,,,,,,,,,,,,,,,,,,,,,
G4 copie perturbee eps=0.95,1052.0,1052.0,2.0,0.5197229919872828,0.5177059837597473,0.5217559773152027,0.00779467680608365,0.004467680608365019,0.011311787072243347,0.04800380228136882,0.039636406844106464,0.05713165399239542,307.9,0.0009505703422053232,0.004732521071578308,0.0,0.00018060836501901143,Stanford,echelle_memorisation,0.95,,,,,,,,,,,,,,,,,,,,,
G4 copie perturbee eps=1.00,1052.0,1052.0,2.0,0.49495982900474744,0.49284890496444755,0.4970813596915211,0.0019011406844106464,0.0004752851711026616,0.0038022813688212928,0.00979087452471483,0.005988593155893537,0.01387832699619772,510.2,0.0009505703422053232,0.0009611874539172172,0.0,0.0001996197718631179,Stanford,echelle_memorisation,1.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Stanford,verdict,,,,,LLM : agent composite (Park et al.),0.6555133079847909,0.6266159695817491,0.6830798479087452,0.20391001267427122,0.712159781744753,G1 marginales par segment,0.022661596958174903,0.018440114068441066,0.027110266159695817,G1 marginales par segment,0.0005475285171102662,0.32775665399239545,SPECIFIQUE AUX LLM,SPECIFIQUE AUX LLM,0.7352016985138005,0.5699099549774889,GENERALISE : fuit MOINS qu'un copieur de meme exactitude
