perimetre,hypothese,condition,score,metrique,rho_spearman,ic_items_bas,ic_items_haut,n_items,p_permutation
150,K2 dispersion,agents entretien (v3),M1 mode,ratio_entropie,0.352712,-0.105893,0.692672,21,0.118494
150,K1 distance,agents entretien (v3),M2 mode plus conception,distance,0.008817,-0.320321,0.380925,38,0.957652
150,K2 dispersion,agents entretien (v3),M2 mode plus conception,ratio_entropie,-0.215900,-0.502658,0.098104,38,0.189641
150,K1 distance,agents entretien (v3),M3 toutes sources,distance,0.070253,-0.290087,0.423170,39,0.674216
150,K2 dispersion,agents entretien (v3),M3 toutes sources,ratio_entropie,-0.260135,-0.539067,0.066077,39,0.108895
150,K1 distance,agents v7,M1 mode,distance,0.138772,-0.339531,0.559142,21,0.540673
150,K2 dispersion,agents v7,M1 mode,ratio_entropie,-0.143553,-0.592195,0.345272,21,0.536573
150,K1 distance,agents v7,M2 mode plus conception,distance,0.155256,-0.168559,0.461742,38,0.348683
150,K2 dispersion,agents v7,M2 mode plus conception,ratio_entropie,0.005362,-0.305102,0.303157,38,0.972651
150,K1 distance,agents v7,M3 toutes sources,distance,0.171248,-0.153139,0.466639,39,0.293535
150,K2 dispersion,agents v7,M3 toutes sources,ratio_entropie,-0.008705,-0.300092,0.271952,39,0.959352
150,K1 distance,agents v8,M1 mode,distance,0.173927,-0.331416,0.592047,21,0.443278
150,K2 dispersion,agents v8,M1 mode,ratio_entropie,0.242286,-0.202507,0.655153,21,0.291885
150,K1 distance,agents v8,M2 mode plus conception,distance,-0.119492,-0.422897,0.189784,38,0.473576
150,K2 dispersion,agents v8,M2 mode plus conception,ratio_entropie,-0.182306,-0.458638,0.137152,38,0.272786
150,K1 distance,agents v8,M3 toutes sources,distance,-0.065566,-0.367626,0.250287,39,0.694765
150,K2 dispersion,agents v8,M3 toutes sources,ratio_entropie,-0.228048,-0.521537,0.074549,39,0.160542
150,K1 distance,humains vague 2,M1 mode,distance,-0.233281,-0.662102,0.326149,21,0.303685
150,K2 dispersion,humains vague 2,M1 mode,ratio_entropie,-0.280611,-0.695039,0.229855,21,0.217639
150,K1 distance,humains vague 2,M2 mode plus conception,distance,-0.045395,-0.370790,0.292129,38,0.789511
150,K2 dispersion,humains vague 2,M2 mode plus conception,ratio_entropie,-0.127708,-0.444563,0.222304,38,0.437678
150,K1 distance,humains vague 2,M3 toutes sources,distance,-0.101504,-0.424843,0.250790,39,0.530223
150,K2 dispersion,humains vague 2,M3 toutes sources,ratio_entropie,-0.117522,-0.444139,0.227058,39,0.475276
