perimetre,axe,condition,mesure_x,rho_spearman,ic_items_bas,ic_items_haut,n_items,p_permutation,ratio_intra_median,ratio_intra_moyen,p_holm,p_bh
1052,race,agents v8,part expliquee Gini Simpson,-0.117351,-0.277240,0.045182,143,0.161184,0.903556,0.830470,,
1052,race,agents v8,information mutuelle normalisee,-0.158419,-0.325855,0.010553,143,0.056294,0.903556,0.830470,,
1052,race,humains vague 2,part expliquee Gini Simpson,-0.040559,-0.207985,0.127695,143,0.633337,1.001925,1.006326,,
1052,race,humains vague 2,information mutuelle normalisee,-0.050453,-0.221288,0.123857,143,0.541846,1.001925,1.006326,,
150,age,B0 mode,part expliquee Gini Simpson,0.030842,-0.104637,0.193993,146,0.715228,0.000000,0.032452,,
150,age,B0 mode,information mutuelle normalisee,0.083351,-0.067068,0.216825,146,0.321268,0.000000,0.032452,,
150,age,B0 tirage,part expliquee Gini Simpson,0.450952,0.303892,0.580903,146,0.000100,1.021142,1.010874,,
150,age,B0 tirage,information mutuelle normalisee,0.378929,0.224436,0.524824,146,0.000100,1.021142,1.010874,,
150,age,B1 argmax,part expliquee Gini Simpson,0.089576,-0.056625,0.232334,146,0.277472,0.682841,0.620614,,
150,age,B1 argmax,information mutuelle normalisee,-0.089140,-0.243277,0.074177,146,0.283772,0.682841,0.620614,,
150,age,B2 argmax,part expliquee Gini Simpson,0.028240,-0.123503,0.195918,146,0.740726,0.615762,0.532685,,
150,age,B2 argmax,information mutuelle normalisee,-0.186867,-0.340988,-0.018209,146,0.024798,0.615762,0.532685,,
150,age,B3 foret,part expliquee Gini Simpson,0.080578,-0.072318,0.232629,146,0.338466,0.433204,0.419850,,
150,age,B3 foret,information mutuelle normalisee,-0.102003,-0.256314,0.061697,146,0.222378,0.433204,0.419850,,
150,age,C2,part expliquee Gini Simpson,0.044685,-0.111958,0.193836,146,0.596840,0.724060,0.704201,,
150,age,C2,information mutuelle normalisee,0.141748,-0.026811,0.301953,146,0.089291,0.724060,0.704201,,
150,age,C3,part expliquee Gini Simpson,0.034937,-0.135380,0.205197,146,0.671633,0.765256,0.712780,,
150,age,C3,information mutuelle normalisee,0.030749,-0.138163,0.194298,146,0.716428,0.765256,0.712780,,
150,age,agents composite,part expliquee Gini Simpson,0.174191,0.019223,0.315744,146,0.037696,0.937872,0.911604,,
150,age,agents composite,information mutuelle normalisee,0.085147,-0.085362,0.261100,146,0.305869,0.937872,0.911604,,
150,age,agents demographiques (v6),part expliquee Gini Simpson,0.156345,-0.021255,0.317027,146,0.063094,0.656187,0.589970,,
150,age,agents demographiques (v6),information mutuelle normalisee,0.128573,-0.051023,0.296254,146,0.124988,0.656187,0.589970,,
150,age,agents enquete,part expliquee Gini Simpson,0.078056,-0.082884,0.238747,146,0.347065,0.894598,0.921868,,
