condition,perimetre,item,n_observes,taux_accord
agents entretien (v3),1052,nataid/y,1052,0.6986692015209125
agents entretien (v3),1052,natfare/y,1052,0.6701520912547528
agents entretien (v3),1052,natroad,1052,0.4439163498098859
agents entretien (v3),1052,natsoc,1052,0.5598859315589354
agents entretien (v3),1052,natmass,1052,0.5152091254752852
agents entretien (v3),1052,natpark,1052,0.5427756653992395
agents entretien (v3),1052,natchld,1052,0.5760456273764258
agents entretien (v3),1052,natsci,1052,0.4752851711026616
agents entretien (v3),1052,natenrgy,1052,0.5437262357414449
agents entretien (v3),1052,uswary,1052,0.5123574144486692
agents entretien (v3),1052,prayer,1052,0.7452471482889734
agents entretien (v3),1052,courts,1052,0.5579847908745247
agents entretien (v3),1052,discaffw,1052,0.43250950570342206
agents entretien (v3),1052,discaffm,1052,0.3916349809885932
agents entretien (v3),1052,fehire,1052,0.3288973384030418
agents entretien (v3),1052,fechld,1052,0.4781368821292776
agents entretien (v3),1052,fepresch,1052,0.4344106463878327
agents entretien (v3),1052,fefam,1052,0.4306083650190114
agents entretien (v3),1052,fepol,1052,0.7832699619771863
agents entretien (v3),1052,mobile16,1052,0.7452471482889734
agents entretien (v3),1052,incom16,1052,0.5313688212927756
agents entretien (v3),1052,dwelown16,1052,0.7547528517110266
agents entretien (v3),1052,divorced,1052,0.9439163498098859
agents entretien (v3),1052,posslq/y,1052,0.9458174904942965
agents entretien (v3),1052,wrkstat,1052,0.7604562737642585
agents entretien (v3),1052,evwork,1052,0.9553231939163498
agents entretien (v3),1052,wrkgovt1,1052,0.8830798479087453
agents entretien (v3),1052,wrkgovt2,1052,0.7395437262357415
agents entretien (v3),1052,partfull,1052,0.8060836501901141
agents entretien (v3),1052,wksub1,1052,0.8241444866920152
agents entretien (v3),1052,wksup1,1052,0.8307984790874525
agents entretien (v3),1052,conarmy,1052,0.49334600760456276
agents entretien (v3),1052,conbus,1052,0.5798479087452472
agents entretien (v3),1052,conclerg,1052,0.6302281368821293
agents entretien (v3),1052,coneduc,1052,0.5551330798479087
agents entretien (v3),1052,confed,1052,0.49714828897338403
agents entretien (v3),1052,confinan,1052,0.5171102661596958
agents entretien (v3),1052,conjudge,1052,0.5389733840304183
agents entretien (v3),1052,conlabor,1052,0.535171102661597
agents entretien (v3),1052,conlegis,1052,0.5446768060836502
agents entretien (v3),1052,conmedic,1052,0.5988593155893536
agents entretien (v3),1052,conpress,1052,0.6169201520912547
agents entretien (v3),1052,consci,1052,0.626425855513308
agents entretien (v3),1052,contv,1052,0.5741444866920152
agents entretien (v3),1052,joblose,1052,0.7585551330798479
agents entretien (v3),1052,jobfind,1052,0.5922053231939164
agents entretien (v3),1052,happy,1052,0.6682509505703422
agents entretien (v3),1052,hapmar,1052,0.7699619771863118
agents entretien (v3),1052,satjob,1052,0.6644486692015209
agents entretien (v3),1052,spdeg*,1052,0.6520912547528517
agents entretien (v3),1052,spjew,1052,0.7110266159695817
agents entretien (v3),1052,spfund,1052,0.7614068441064639
agents entretien (v3),1052,unemp,1052,0.7414448669201521
agents entretien (v3),1052,union1,1052,0.938212927756654
agents entretien (v3),1052,spkath/y,1052,0.7395437262357415
agents entretien (v3),1052,colath,1052,0.6349809885931559
agents entretien (v3),1052,spkrac/y,1052,0.5579847908745247
agents entretien (v3),1052,colrac,1052,0.7091254752851711
agents entretien (v3),1052,librac/y,1052,0.5418250950570342
agents entretien (v3),1052,spkcom/y,1052,0.6825095057034221
agents entretien (v3),1052,colcom/y,1052,0.6663498098859315
agents entretien (v3),1052,libcom/y,1052,0.7490494296577946
agents entretien (v3),1052,spkhomo/y,1052,0.8992395437262357
agents entretien (v3),1052,colhomo,1052,0.8260456273764258
agents entretien (v3),1052,libhomo/y,1052,0.8460076045627376
agents entretien (v3),1052,cappun,1052,0.6749049429657795
agents entretien (v3),1052,polhitok/y,1052,0.6539923954372624
agents entretien (v3),1052,polabuse/y,1052,0.9363117870722434
agents entretien (v3),1052,polattak/y,1052,0.6730038022813688
agents entretien (v3),1052,grass,1052,0.7338403041825095
agents entretien (v3),1052,gunlaw,1052,0.6996197718631179
agents entretien (v3),1052,owngun,1052,0.7595057034220533
agents entretien (v3),1052,hunt1,1052,0.8925855513307985
agents entretien (v3),1052,class,1052,0.6226235741444867
