analyse,rotation,configuration,role,exa_A,chute_A,res_A,perte_B,c_diag,c_exa,delta_r,delta,statut,R1,R2,R3,R4_ferme,affaibli_sans,ic_bas,ic_haut,perte_B_PMM,perte_B_c_diag
S1,2,B0 mode,hors selection,0.5528874399185263,-7.434708108988719e-05,,0.35669887566137565,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.02463644179894181,0.020779064144457866,,,,,,,,,,
S1,2,B0 tirage,hors selection,0.4746193031757268,0.0009095079160054698,,0.41651915784832455,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.02463644179894181,0.020779064144457866,,,,,,,,,,
S1,2,B1 argmax,hors selection,0.5572161238731953,0.032637851008450625,,0.36664069664903004,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.02463644179894181,0.020779064144457866,,,,,,,,,,
S1,2,B2 argmax,hors selection,0.5653332226597495,0.031506946022001325,,0.3492520943562611,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.02463644179894181,0.020779064144457866,,,,,,,,,,
S1,2,PMM k=10,hors selection,0.5266784028952618,0.03562854641257607,,0.3826841049382716,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.02463644179894181,0.020779064144457866,,,,,,,,,,
S1,3,Demographics Only - GPT4.1-mini,candidate,0.4489109979249198,0.0974180189732845,0.00011242452922705093,0.38521075182974496,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.02180442665225274,0.020779064144457866,,,,,,,,,,
S1,3,JSON Persona - GPT4.1,candidate,0.5129550455439674,0.14982752959684154,0.000530914255430559,0.30692159285751963,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.02180442665225274,0.020779064144457866,,,,,,,,,,
S1,3,JSON Persona - GPT4.1-mini,candidate,0.4941208457972889,0.13919195273690493,0.005184959288836999,0.340324588074016,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.02180442665225274,0.020779064144457866,,,,,,,,,,
S1,3,Text Persona (Default Temperature) - GPT4.1-mini,candidate,0.4879836834469687,0.12196047783324798,-0.007064361177862577,0.3301820724406537,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.02180442665225274,0.020779064144457866,,,,,,,,,,
S1,3,Text Persona (Reasoning) - GPT4.1-mini,candidate,0.48285539431014807,0.12682822938506655,0.001966540543134443,0.3408425885920165,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.02180442665225274,0.020779064144457866,,,,,,,,,,
S1,3,Text Persona (Repeating Questions) - GPT4.1-mini,candidate,0.4927888421771274,0.1277376636180505,-0.005188007980044762,0.3405033112916408,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.02180442665225274,0.020779064144457866,,,,,,,,,,
S1,3,Text Persona - GPT4.1-mini,candidate,0.4942114333773502,0.1266997073115136,-0.0073808252232158145,0.32408541644811667,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.02180442665225274,0.020779064144457866,,,,,,,,,,
S1,3,Text Persona - Gemini-Flash2.5,candidate,0.49138738782439967,0.14362632533955855,0.011838355764495379,0.32872601950977237,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.02180442665225274,0.020779064144457866,,,,,,,,,,
S1,3,B0 mode,hors selection,0.4712815165153026,-0.00027087711438100737,,0.37765305107639197,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.02180442665225274,0.020779064144457866,,,,,,,,,,
S1,3,B0 tirage,hors selection,0.3935843778352692,-6.415072852383741e-05,,0.4506002938497218,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.02180442665225274,0.020779064144457866,,,,,,,,,,
S1,3,B1 argmax,hors selection,0.47207930826169364,0.030079290179975016,,0.38295106821308195,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.02180442665225274,0.020779064144457866,,,,,,,,,,
S1,3,B2 argmax,hors selection,0.48583615063644775,0.03473857406396813,,0.371002782030242,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.02180442665225274,0.020779064144457866,,,,,,,,,,
S1,3,PMM k=10,hors selection,0.4500411196000755,0.03808455812470257,,0.41789691108112165,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.02180442665225274,0.020779064144457866,,,,,,,,,,
S1,,,decision,,,,,,,,0.020779064144457866,ferme,faux,faux,faux,faux,Product Preferences - Pricing,0.00018375197261969283,0.04113562481775596,0.3703249545421617;0.3826841049382716;0.41789691108112165,0.31821834184535885;0.3278160493827161;0.32872601950977237
lecture,,,decision,,,,,,,,,ferme,,,,,,,,,
