A,B,C,C5,patrons,q5,polarisation,se_nul_A,se_nul_B,se_nul_C,se_nul_polarisation,source,taux,tirage,taille,taux_realise
-0.0929245625624725,0.07126857860454086,0.02899239543726236,0.07913498098859315,874.2,0.10741323654435724,0.17932305848333563,0.0005002353691851239,0.00012676988914432866,0.0,0.0,Demographics Only - GPT4.1-mini,0.25,1,1052,0.24334600760456274
-0.11676465584059592,0.0791796574445984,0.027551020408163263,0.07660349854227405,1557.35,0.104950918267624,0.17549390126336964,0.0006847784132965504,7.155841127870213e-05,0.0,0.0,Demographics Only - GPT4.1-mini,0.25,1,2058,0.24975704567541301
-0.08970962583283548,0.06901766947671956,0.02946768060836503,0.0723384030418251,878.5,0.10524984917297588,0.16535664638951764,0.0006268078989157859,0.0001250823999778222,0.0,0.0,Demographics Only - GPT4.1-mini,0.25,2,1052,0.2376425855513308
-0.11632575213952856,0.07855730361350201,0.027915451895043734,0.0771865889212828,1559.85,0.10428940096642866,0.18123331547050497,0.0005820107007604322,6.389930482819751e-05,0.0,0.0,Demographics Only - GPT4.1-mini,0.25,2,2058,0.24975704567541301
-0.09586842468590362,0.06685667174099733,0.02519011406844106,0.07538022813688214,873.15,0.1029778495868652,0.1763523145066539,0.0005899193094654801,7.591397641170467e-05,0.0,0.0,Demographics Only - GPT4.1-mini,0.25,3,1052,0.24524714828897337
-0.1141162680518617,0.07686067345224115,0.025024295432458692,0.07402818270165208,1564.45,0.10263360372944959,0.1749967929147996,0.0006489597232466812,4.533242138296623e-05,0.0,0.0,Demographics Only - GPT4.1-mini,0.25,3,2058,0.24975704567541301
-0.09885322770136074,0.0735581362614795,0.030228136882129275,0.08545627376425856,866.75,0.10967482754045191,0.17198563992421023,0.0004948797562744613,0.00011040262469042106,0.0,0.0,Demographics Only - GPT4.1-mini,0.25,4,1052,0.25380228136882127
-0.11485541902729746,0.0792154228859739,0.028012633624878526,0.07854713313896988,1563.9,0.10501252206382039,0.17360397960051616,0.0006559189390587306,8.497809874023346e-05,0.0,0.0,Demographics Only - GPT4.1-mini,0.25,4,2058,0.24975704567541301
-0.10102374889570243,0.0699363020753091,0.0317490494296578,0.08003802281368823,864.95,0.10615382862472586,0.1814754268990429,0.0007979286078198043,8.118253206167099e-05,0.0,0.0,Demographics Only - GPT4.1-mini,0.25,5,1052,0.24334600760456274
-0.1172118880431744,0.08032342151305262,0.02815840621963071,0.07699222546161322,1557.25,0.10603761513110861,0.17751716105676002,0.0005795992893576399,9.756947816988109e-05,0.0,0.0,Demographics Only - GPT4.1-mini,0.25,5,2058,0.24975704567541301
