perimetre,condition,item,sd_pred,sd_humain,ratio,n
1052,B0 tirage,finalter,0.390398,0.387553,1.007340,1052
1052,B0 tirage,finrela,0.249221,0.244713,1.018422,1052
1052,B0 tirage,wlthwhts,0.138934,0.141084,0.984758,1052
1052,B0 tirage,wlthblks,0.141543,0.143050,0.989465,1052
1052,B0 tirage,wlthhsps,0.153494,0.150701,1.018532,1052
1052,B0 tirage,letin1a,0.309608,0.315041,0.982756,1052
1052,B0 tirage,getahead,0.312354,0.306424,1.019351,1052
1052,B0 tirage,aged,0.287078,0.292390,0.981834,1052
1052,B0 tirage,parsol,0.301714,0.302467,0.997511,1052
1052,B0 tirage,spanking,0.348788,0.349558,0.997797,1052
1052,B0 tirage,divlaw,0.337907,0.346243,0.975926,1052
1052,B0 tirage,pillok,0.342990,0.344219,0.996431,1052
1052,B0 tirage,xmarsex,0.296829,0.295117,1.005800,1052
1052,B0 tirage,homosex,0.417860,0.417111,1.001795,1052
1052,B0 tirage,marhomo,0.351464,0.358765,0.979650,1052
1052,B0 tirage,discaff,0.353717,0.350148,1.010194,1052
1052,B0 tirage,pornlaw,0.266742,0.264989,1.006616,1052
1052,B0 tirage,fair,0.395656,0.389860,1.014867,1052
1052,B0 tirage,helpful,0.393096,0.395581,0.993718,1052
1052,B0 tirage,trust,0.377597,0.378430,0.997797,1052
1052,B0 tirage,tax,0.273440,0.270704,1.010105,1052
1052,B0 tirage,news,0.359499,0.369203,0.973716,1052
1052,B0 tirage,attend,0.321156,0.324211,0.990576,1052
1052,B0 tirage,pray,0.395475,0.401413,0.985209,1052
1052,B0 tirage,bible,0.375452,0.374709,1.001982,1052
1052,B0 tirage,granborn,0.420321,0.413156,1.017344,1052
1052,B0 tirage,income,0.317908,0.303977,1.045830,1052
1052,B0 tirage,health,0.251029,0.247506,1.014236,1052
1052,B0 tirage,life,0.297870,0.291455,1.022011,1052
1052,B1 argmax,natspac/y,0.227055,0.339938,0.667931,1052
1052,B1 argmax,natenvir/y,0.292657,0.345116,0.847995,1052
1052,B1 argmax,natheal/y,0.159105,0.293896,0.541363,1052
1052,B1 argmax,natcity/y,0.308359,0.359880,0.856838,1052
1052,B1 argmax,natdrug/y,0.228756,0.325348,0.703111,1052
1052,B1 argmax,nateduc/y,0.198623,0.315379,0.629789,1052
1052,B1 argmax,natrace/y,0.377750,0.385579,0.979694,1052
1052,B1 argmax,natarms/y,0.358785,0.377870,0.949494,1052
1052,B1 argmax,nataid/y,0.207343,0.288357,0.719048,1052
1052,B1 argmax,natfare/y,0.249013,0.318558,0.781688,1052
1052,B1 argmax,natroad,0.245224,0.317993,0.771161,1052
1052,B1 argmax,natsoc,0.174270,0.272502,0.639518,1052
1052,B1 argmax,natmass,0.260123,0.318037,0.817901,1052
1052,B1 argmax,natpark,0.164227,0.275028,0.597128,1052
1052,B1 argmax,natchld,0.269387,0.322694,0.834808,1052
1052,B1 argmax,natsci,0.229594,0.307142,0.747518,1052
1052,B1 argmax,natenrgy,0.326430,0.353109,0.924448,1052
1052,B1 argmax,courts,0.363831,0.385332,0.944202,1052
1052,B1 argmax,discaffw,0.247776,0.308573,0.802972,1052
1052,B1 argmax,discaffm,0.250800,0.300905,0.833486,1052
1052,B1 argmax,fehire,0.250690,0.289927,0.864665,1052
1052,B1 argmax,fechld,0.191492,0.258830,0.739839,1052
1052,B1 argmax,fepresch,0.187884,0.266904,0.703938,1052
1052,B1 argmax,fefam,0.265626,0.303904,0.874048,1052
1052,B1 argmax,mobile16,0.414002,0.410631,1.008208,1052
1052,B1 argmax,incom16,0.140496,0.212392,0.661497,1052
1052,B1 argmax,conarmy,0.289753,0.333390,0.869110,1052
1052,B1 argmax,conbus,0.221249,0.314966,0.702452,1052
1052,B1 argmax,conclerg,0.277712,0.347467,0.799247,1052
1052,B1 argmax,coneduc,0.209114,0.319801,0.653888,1052
1052,B1 argmax,confed,0.284247,0.335384,0.847526,1052
1052,B1 argmax,confinan,0.208758,0.328174,0.636118,1052
1052,B1 argmax,conjudge,0.322259,0.359087,0.897439,1052
1052,B1 argmax,conlabor,0.233748,0.332552,0.702892,1052
1052,B1 argmax,conlegis,0.259667,0.305105,0.851075,1052
1052,B1 argmax,conmedic,0.271104,0.330626,0.819972,1052
1052,B1 argmax,conpress,0.270582,0.318801,0.848749,1052
1052,B1 argmax,consci,0.292193,0.342139,0.854017,1052
1052,B1 argmax,contv,0.254271,0.312837,0.812791,1052
1052,B1 argmax,happy,0.197970,0.325906,0.607444,1052
1052,B1 argmax,class,0.238645,0.261780,0.911622,1052
1052,B1 argmax,satfin,0.360382,0.384606,0.937017,1052
1052,B1 argmax,finalter,0.361084,0.387553,0.931702,1052
1052,B1 argmax,finrela,0.214517,0.244713,0.876606,1052
1052,B1 argmax,wlthwhts,0.077149,0.141084,0.546834,1052
1052,B1 argmax,wlthblks,0.089280,0.143050,0.624117,1052
1052,B1 argmax,wlthhsps,0.097911,0.150701,0.649703,1052
1052,B1 argmax,letin1a,0.280031,0.315041,0.888872,1052
1052,B1 argmax,getahead,0.261154,0.306424,0.852263,1052
1052,B1 argmax,aged,0.179088,0.292390,0.612498,1052
1052,B1 argmax,parsol,0.254791,0.302467,0.842376,1052
1052,B1 argmax,spanking,0.338884,0.349558,0.969463,1052
1052,B1 argmax,divlaw,0.283411,0.346243,0.818533,1052
1052,B1 argmax,pillok,0.324163,0.344219,0.941735,1052
1052,B1 argmax,xmarsex,0.225149,0.295117,0.762915,1052
1052,B1 argmax,homosex,0.421661,0.417111,1.010908,1052
1052,B1 argmax,marhomo,0.362065,0.358765,1.009198,1052
1052,B1 argmax,discaff,0.314046,0.350148,0.896896,1052
1052,B1 argmax,pornlaw,0.170429,0.264989,0.643157,1052
1052,B1 argmax,fair,0.367238,0.389860,0.941975,1052
1052,B1 argmax,helpful,0.377607,0.395581,0.954565,1052
1052,B1 argmax,trust,0.286813,0.378430,0.757901,1052
1052,B1 argmax,tax,0.223221,0.270704,0.824594,1052
1052,B1 argmax,news,0.374617,0.369203,1.014663,1052
1052,B1 argmax,attend,0.251775,0.324211,0.776576,1052
1052,B1 argmax,pray,0.453382,0.401413,1.129467,1052
1052,B1 argmax,bible,0.348924,0.374709,0.931186,1052
1052,B1 argmax,granborn,0.359574,0.413156,0.870312,1052
1052,B1 argmax,income,0.252284,0.303977,0.829944,1052
1052,B1 argmax,health,0.130835,0.247506,0.528613,1052
1052,B1 argmax,life,0.190316,0.291455,0.652987,1052
1052,B2 argmax,natspac/y,0.140533,0.339938,0.413407,1052
1052,B2 argmax,natenvir/y,0.272718,0.345116,0.790221,1052
1052,B2 argmax,natheal/y,0.130349,0.293896,0.443521,1052
1052,B2 argmax,natcity/y,0.222894,0.359880,0.619357,1052
1052,B2 argmax,natdrug/y,0.181246,0.325348,0.557083,1052
1052,B2 argmax,nateduc/y,0.157625,0.315379,0.499796,1052
1052,B2 argmax,natrace/y,0.376608,0.385579,0.976734,1052
1052,B2 argmax,natarms/y,0.362795,0.377870,0.960106,1052
1052,B2 argmax,nataid/y,0.206107,0.288357,0.714762,1052
1052,B2 argmax,natfare/y,0.163161,0.318558,0.512185,1052
1052,B2 argmax,natroad,0.197407,0.317993,0.620791,1052
1052,B2 argmax,natsoc,0.076193,0.272502,0.279606,1052
1052,B2 argmax,natmass,0.253780,0.318037,0.797959,1052
1052,B2 argmax,natpark,0.167306,0.275028,0.608325,1052
1052,B2 argmax,natchld,0.240396,0.322694,0.744967,1052
1052,B2 argmax,natsci,0.237871,0.307142,0.774466,1052
1052,B2 argmax,natenrgy,0.322380,0.353109,0.912976,1052
1052,B2 argmax,courts,0.327454,0.385332,0.849797,1052
1052,B2 argmax,discaffw,0.160112,0.308573,0.518879,1052
1052,B2 argmax,discaffm,0.179414,0.300905,0.596249,1052
1052,B2 argmax,fehire,0.206747,0.289927,0.713099,1052
1052,B2 argmax,fechld,0.161878,0.258830,0.625421,1052
1052,B2 argmax,fepresch,0.163516,0.266904,0.612639,1052
1052,B2 argmax,fefam,0.236375,0.303904,0.777797,1052
1052,B2 argmax,mobile16,0.401143,0.410631,0.976893,1052
1052,B2 argmax,incom16,0.079068,0.212392,0.372273,1052
1052,B2 argmax,conarmy,0.268744,0.333390,0.806096,1052
1052,B2 argmax,conbus,0.220684,0.314966,0.700660,1052
1052,B2 argmax,conclerg,0.254914,0.347467,0.733637,1052
1052,B2 argmax,coneduc,0.167824,0.319801,0.524778,1052
1052,B2 argmax,confed,0.235278,0.335384,0.701516,1052
1052,B2 argmax,confinan,0.183502,0.328174,0.559162,1052
1052,B2 argmax,conjudge,0.299051,0.359087,0.832808,1052
1052,B2 argmax,conlabor,0.198052,0.332552,0.595553,1052
1052,B2 argmax,conlegis,0.243218,0.305105,0.797162,1052
1052,B2 argmax,conmedic,0.253031,0.330626,0.765308,1052
1052,B2 argmax,conpress,0.232486,0.318801,0.729250,1052
1052,B2 argmax,consci,0.252071,0.342139,0.736749,1052
1052,B2 argmax,contv,0.228694,0.312837,0.731033,1052
1052,B2 argmax,happy,0.136305,0.325906,0.418234,1052
1052,B2 argmax,class,0.204777,0.261780,0.782247,1052
1052,B2 argmax,satfin,0.330237,0.384606,0.858638,1052
1052,B2 argmax,finalter,0.277273,0.387553,0.715445,1052
1052,B2 argmax,finrela,0.145533,0.244713,0.594711,1052
1052,B2 argmax,wlthwhts,0.044200,0.141084,0.313285,1052
1052,B2 argmax,wlthblks,0.072107,0.143050,0.504071,1052
1052,B2 argmax,wlthhsps,0.082660,0.150701,0.548501,1052
1052,B2 argmax,letin1a,0.266564,0.315041,0.846126,1052
1052,B2 argmax,getahead,0.244046,0.306424,0.796433,1052
1052,B2 argmax,aged,0.084597,0.292390,0.289329,1052
1052,B2 argmax,parsol,0.213061,0.302467,0.704413,1052
1052,B2 argmax,spanking,0.335963,0.349558,0.961106,1052
