perimetre,segmentation,condition,quantite,reel,nul_moyenne,nul_bas,nul_haut,nul_ecart_type,replicats,d,z,part_reproduite,d_ic_bas,d_ic_haut,p
1052,S_fin,agents demographiques (v6),"Q1 ratio inter, axe du nul",0.45458722662750645,0.7768536974757981,0.7472421397174037,0.799673085505831,0.01378568516976247,200,-0.3222664708482917,-23.3768918178366,1.7089210870246476,-0.2685821535770981,-0.12775247639996637,0.001
1052,S_fin,agents demographiques (v6),"Q2 ratio intra, axe du nul",0.6482036186901174,0.6241039384709398,0.6207921164738907,0.6278639125940764,0.0018439136923090653,200,0.024099680219177633,13.069852629055804,0.9628208181437216,0.012151051065946411,0.03500060845363428,0.001
1052,S_fin,agents demographiques (v6),"Q1b ratio inter, axe ideologie",0.3121170205761881,0.2923660834417659,0.2702275151640305,0.31080930084868086,0.011042907234068184,200,0.01975093713442222,1.788563166906729,0.9367194486927989,-0.07083271326635918,0.10806473751238645,0.676
1052,S_fin,agents demographiques (v6),"Q2b ratio intra, axe ideologie",0.6519452839842549,0.6524592717528208,0.6491657728316556,0.6559310965868743,0.001829923373890025,200,-0.0005139877685659267,-0.2808793941318421,1.0007883909603958,,,
1052,S_fin,agents demographiques (v6),Q3 patrons distincts,217.6,280.73325,275.69,286.06,2.747302365766231,200,-63.133250000000004,-22.980087953439355,1.2901344209558825,,,
1052,S_fin,agents demographiques (v6),Q4 correlation inter items,0.12430141602009954,0.037400100827406906,0.03638368566093161,0.038434425645593205,0.00054787005036981,200,0.08690131519269265,158.6166557818494,0.3008823392756789,0.07691794841919967,0.09050998770940742,0.001
1052,S_fin,agents demographiques (v6),Q5 correlation residualisee,0.1116822700403968,0.023564807728487153,0.02309848425557443,0.02395636146643911,0.00023703247833298135,200,0.08811746231190964,371.75269368834313,0.21099864571129762,0.07643712679208829,0.08858105215614301,0.001
1052,S_fin,agents demographiques (v6),Q6 rapport groupe sur personne,1.0911281458477897,20.560102408147042,7.354176557557164,47.15627082937635,15.95271414653517,6,-19.468974262299252,-1.2204176720942368,18.842976864254712,,,
1052,S_fin,agents demographiques (v6),Q7 rappel des cellules rares,0.162375197057278,0.04013662637940094,0.035540374846733225,0.04388684533193203,0.002252363974742947,50,0.12223857067787705,54.271233268072336,0.24718446601941746,,,
1052,S_ideo,agents demographiques (v6),"Q1 ratio inter, axe du nul",0.3121170205761881,0.38436795450958827,0.3626480929826615,0.4088080138824807,0.012058464593752661,200,-0.07225093393340015,-5.991719208665459,1.2314866834241218,-0.15405209824969351,0.0325593204505693,0.17
