genre,m,rho,beta,A,B,C,ecart_A,ecart_B,ecart_C,critere_deux_cibles,critere_trois_cibles
A*,3.0,0.4,1.1,-0.012775989893045903,0.009408829563237058,0.04272813688212927,8.547013424032505,15.983514659805898,6.059811593133932,15.983514659805898,15.983514659805898
A*,20.0,0.6,0.8,-0.025259389107221475,0.009303164765588724,0.030370722433460073,5.77399169283731,16.043370903616633,3.5793372824767773,16.043370903616633,16.043370903616633
A**,,0.8,1.1,-0.12348997297290082,0.02892769911661572,0.0459125475285171,16.046630964026953,4.9266041191230645,8.543746111079768,16.046630964026953,16.046630964026953
A*,2.0,0.4,1.2,-0.005958311088394008,0.009236272466476837,0.05423003802281369,10.061470436681775,16.08126357793971,15.031634777356214,16.08126357793971,16.08126357793971
A*,3.0,0.4,0.9,-0.011251144333762897,0.008940595882626984,0.0345532319391635,8.88573766092198,16.248756348341292,0.31685612457776285,16.248756348341292,16.248756348341292
A*,3.0,0.4,0.8,-0.010598683857579838,0.008922815155913023,0.03170152091254753,9.030673110646845,16.258828648076015,2.541275095872545,16.258828648076015,16.258828648076015
A*,2.0,0.4,0.9,-0.005635742694735935,0.008843471503624103,0.03845057034220532,10.13312473132252,16.303774676478454,2.723183136191767,16.303774676478454,16.303774676478454
A*,3.0,0.4,1.2,-0.006981746852013138,0.008694692561834281,0.048051330798479085,9.834127742251601,16.38805391433128,10.212060339550856,16.38805391433128,16.38805391433128
A*,3.0,0.4,1.0,-0.013146457478591778,0.00858125114621705,0.039306083650190116,8.464718958575087,16.452315401435232,3.3905088275802022,16.452315401435232,16.452315401435232
A*,12.0,0.5,1.1,-0.014797877252268998,0.008099478958587814,0.0384980988593156,8.097877937058112,16.725226287234122,2.7602567857133544,16.725226287234122,16.725226287234122
A*,12.0,0.5,0.8,-0.01019110374996346,0.007921865584754884,0.02856463878326996,9.121211631143703,16.82583944927862,4.988135964296804,16.82583944927862,16.82583944927862
A*,5.0,0.4,0.9,-0.007307588076969296,0.007903318352278345,0.03136882129277567,9.761746431502791,16.836345953751614,2.8007906425235984,16.836345953751614,16.836345953751614
A*,12.0,0.5,1.2,-0.015008137828088575,0.007825589712637103,0.04363117870722433,8.051171336078852,16.880377121264257,6.764210934043944,16.880377121264257,16.880377121264257
A*,12.0,0.5,1.0,-0.013756016852379371,0.0077338817906943864,0.03450570342205323,8.329313420310536,16.932327173290552,0.35392977409934495,16.932327173290552,16.932327173290552
A**,,0.5,1.2,-0.012883236854969837,0.007558461455380982,0.035551330798479094,8.523189932456427,17.031698038456316,0.46169051537541334,17.031698038456316,17.031698038456316
A*,12.0,0.5,0.9,-0.015844811375227807,0.007384084351702028,0.0320342205323194,7.865315393452372,17.130477941178082,2.281759549221481,17.130477941178082,17.130477941178082
A*,5.0,0.4,1.2,-0.007861777254394298,0.0070561408369199385,0.04334600760456274,9.63864064870866,17.316249053353733,6.541769036914473,17.316249053353733,17.316249053353733
A**,,0.5,1.0,-0.007824050822492712,0.006923781801096884,0.031844106463878336,9.64702107568281,17.391226859539916,2.4300541473077986,17.391226859539916,17.391226859539916
A*,5.0,0.4,1.1,-0.01148706948941658,0.006848164180730462,0.039733840304182505,8.833330013586599,17.4340621918528,3.724171673274414,17.4340621918528,17.4340621918528
A**,,0.5,1.1,-0.008351085613967801,0.006744315514603916,0.03369771863117871,9.529947279933591,17.492889646382906,0.984181815966198,17.492889646382906,17.492889646382906
A**,,0.8,1.2,-0.1301367171809163,0.031687158004131855,0.048098859315589354,17.523117120905816,3.3634454548101163,10.249133989072437,17.523117120905816,17.523117120905816
A*,5.0,0.4,0.8,-0.006894466176879055,0.006457237221690219,0.0279467680608365,9.853515987769326,17.65551171802687,5.470093408077339,17.65551171802687,17.65551171802687
A*,5.0,0.4,1.0,-0.005813842314214279,0.006262637583900214,0.03512357414448669,10.09356226066387,17.765747138188324,0.12802766968119034,17.765747138188324,17.765747138188324
A**,,0.5,0.9,-0.01188334633773025,0.005660752706473895,0.029752851711026616,8.745302362376382,18.10669860708836,4.06129472625731,18.10669860708836,18.10669860708836
A**,,0.5,0.8,-0.008619515390104304,0.005417993538832835,0.0282319391634981,9.470319161842077,18.244215095540593,5.247651510947857,18.244215095540593,18.244215095540593
A*,8.0,0.4,1.1,-0.0007432617832086041,0.005109366467114521,0.03887832699619771,11.219924540762,18.419043966295135,3.056845981885979,18.419043966295135,18.419043966295135
A*,20.0,0.5,0.9,-0.00534397761454114,0.004953380064129476,0.030180608365019016,10.197936478019312,18.507406035555952,3.7276318805630897,18.507406035555952,18.507406035555952
A*,8.0,0.4,1.0,-0.00591214018329056,0.004914244997042006,0.034173003802281374,10.071726691488994,18.529574990300304,0.6134453207503983,18.529574990300304,18.529574990300304
A*,20.0,0.5,1.1,-0.009959597655779917,0.004850699416142832,0.03621673003802281,9.172637642525771,18.565571839469076,0.98072160867752,18.565571839469076,18.565571839469076
A*,20.0,0.5,0.8,-0.0044424920801309775,0.0048289636217802474,0.02671102661596958,10.39818954486338,18.57788457782416,6.43400829563841,18.57788457782416,18.57788457782416
A*,20.0,0.5,1.0,-0.0071686476538987964,0.004774205161413775,0.031226235741444865,9.792610205536265,18.608903761387115,2.912011591088342,18.608903761387115,18.608903761387115
A*,8.0,0.4,0.9,-0.0035743766396528764,0.004737539867960484,0.029752851711026616,10.591029887492033,18.62967365631122,4.06129472625731,18.62967365631122,18.62967365631122
A*,8.0,0.4,1.2,-0.003319627263542624,0.004679133421874104,0.04092205323193916,10.647619085982132,18.662759324905405,4.6510129113139085,18.662759324905405,18.662759324905405
A*,8.0,0.4,0.8,-0.004422087183870604,0.004518367234116843,0.02656844106463878,10.402722222204064,18.753829012683042,6.545229244203151,18.753829012683042,18.753829012683042
A*,20.0,0.5,1.2,-0.010903524552211441,0.004493126827589091,0.04025665399239543,8.962956789453964,18.76812701883676,4.13198181801179,18.76812701883676,18.76812701883676
A*,2.0,0.3,1.2,-4.067156787218584e-05,0.003816985154625068,0.044961977186311786,11.375995647823977,19.151142949669534,7.802273120648179,19.151142949669534,19.151142949669534
A*,12.0,0.4,0.8,-0.0013675658819614078,0.0037478521805477845,0.025285171102661597,11.081243657213081,19.190304905626746,7.546217781285798,19.190304905626746,19.190304905626746
