condition,item,n_cellules,distance,entropie_humaine,entropie_simulee,ratio_entropie,ecart_desirabilite,perimetre,camp,n_personnes,classe_norc,type,classe_comportement,pole_endogroupe
agents composite,natmass,63,0.055556,1.092435,0.918587,0.840863,0.055556,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
agents entretien (v3),natmass,63,0.071429,1.092435,0.918164,0.840475,0.055556,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
agents enquete,natmass,63,0.142857,1.092435,0.411388,0.376579,0.142857,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
agents demographiques (v6),natmass,63,0.119048,1.092435,0.560559,0.513128,0.119048,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
agents v7,natmass,63,0.134921,1.092435,0.427546,0.391370,0.134921,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
agents v8,natmass,63,0.158730,1.092435,0.257720,0.235913,0.158730,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
C2,natmass,63,0.023810,1.092435,0.913048,0.835792,0.023810,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
C3,natmass,63,0.142857,1.092435,0.415564,0.380401,0.142857,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
B0 mode,natmass,63,0.349206,1.092435,0.000000,0.000000,-0.317460,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
B0 tirage,natmass,63,0.150794,1.092435,1.284781,1.176071,-0.150794,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
B1 argmax,natmass,63,0.023810,1.092435,0.913048,0.835792,0.023810,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
B2 argmax,natmass,63,0.071429,1.092435,0.775654,0.710024,0.071429,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
B3 foret,natmass,63,0.047619,1.092435,0.852687,0.780538,0.047619,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
humains vague 2,natmass,63,0.015873,1.092435,1.125326,1.030108,-0.015873,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
agents composite,natpark,63,0.095238,1.151558,1.178968,1.023803,0.095238,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
agents entretien (v3),natpark,63,0.047619,1.151558,1.248421,1.084114,0.031746,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
agents enquete,natpark,63,0.166667,1.151558,0.929746,0.807381,0.166667,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
agents demographiques (v6),natpark,63,0.047619,1.151558,1.192538,1.035586,0.047619,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
agents v7,natpark,63,0.261905,1.151558,0.641033,0.556666,0.261905,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
agents v8,natpark,63,0.277778,1.151558,0.514708,0.446967,0.277778,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
C2,natpark,63,0.079365,1.151558,0.803308,0.697584,-0.047619,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
C3,natpark,63,0.301587,1.151558,0.352604,0.306197,0.301587,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
B0 mode,natpark,63,0.198413,1.151558,0.000000,0.000000,-0.166667,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
