modele,cle_modele,identite,camp,item,famille,n_modalites,tv_decrit_reel,tv_plancher_w1_w2,part_modale_reelle,modalite_modale_reelle,part_decrite_de_cette_modalite,part_modale_decrite,gs_decrit,gs_reel_w1,pos_decrit,pos_reel_w1,derive_agregee,exces_de_variete,deficit_sur_la_modale
gpt-oss-20b,oss20,journaliste,gauche,natenvir/y,depenses publiques (nat*),3,0.7061151079136692,0.014388489208633098,0.8561151079136691,Too little,0.15,0.5,0.605,0.25063114975645384,0.675,0.080335731414868,-0.273289,0.35436885024354614,-0.706115107913669
gpt-oss-20b,oss20,adversaire,gauche,natenvir/y,depenses publiques (nat*),3,0.7061151079136692,0.014388489208633098,0.8561151079136691,Too little,0.15,0.6,0.555,0.25063114975645384,0.725,0.080335731414868,-0.273289,0.3043688502435462,-0.706115107913669
Qwen3-4B-Instruct-2507,q4,journaliste,droite,spjew,hors famille,5,0.7042168674698795,0.03313253012048185,0.6174698795180723,Inapplicable (I currently do not have a spouse OR my spouse is not Jewish),0.05,0.45,0.6799999999999999,0.5500072579474524,,,,0.12999274205254752,-0.5674698795180723
gpt-oss-20b,oss20,adversaire,gauche,fechld,roles de genre (fe*),4,0.7040767386091128,0.06474820143884899,0.4700239808153477,Strongly agree,0.05,0.55,0.6099999999999999,0.5827510653347825,0.6666666666666667,0.21103117505995198,-0.226869,0.027248934665217384,-0.4200239808153477
Qwen3-30B-A3B-Instruct-2507,q30,journaliste,gauche,jew16*,hors famille,5,0.7033573141486811,0.023980815347721826,0.8033573141486811,Inapplicable (not raised as a Jew),0.1,0.35,0.7582,0.33779019949508016,,,,0.42040980050491983,-0.7033573141486811
Qwen3-4B-Instruct-2507,q4,journaliste,gauche,spjew,hors famille,5,0.7020383693045564,0.011990407673860878,0.7817745803357314,Inapplicable (I currently do not have a spouse OR my spouse is not Jewish),0.1,0.3,0.775,0.3590451379903271,,,,0.4159548620096729,-0.6817745803357315
Qwen3-4B-Instruct-2507,q4,journaliste,gauche,union1,hors famille,4,0.6992805755395683,0.014388489208633056,0.8992805755395683,"Neither belongs (You don't belong, if you don't have a spouse/partner)",0.2,0.45,0.695,0.1864292738471095,,,,0.5085707261528905,-0.6992805755395683
Qwen3-4B-Instruct-2507,q4,adversaire,gauche,spfund,hors famille,4,0.6982014388489209,0.009592326139088697,0.7482014388489209,Inapplicable (I currently do not have a spouse OR my spouse is not religious),0.05,0.55,0.595,0.40653520349188277,,,,0.1884647965081172,-0.6982014388489208
Qwen3-4B-Instruct-2507,q4,journaliste,droite,jew,hors famille,5,0.686144578313253,0.006024096385542202,0.641566265060241,Inapplicable (not Jewish),0.05,0.45,0.6599999999999999,0.5322434315575556,,,,0.12775656844244432,-0.5915662650602409
Qwen3-4B-Instruct-2507,q4,adversaire,droite,jew,hors famille,5,0.6861445783132529,0.006024096385542202,0.641566265060241,Inapplicable (not Jewish),0.05,0.7,0.4850000000000002,0.5322434315575556,,,,-0.04724343155755539,-0.5915662650602409
gpt-oss-20b,oss20,journaliste,gauche,natfare/y,depenses publiques (nat*),3,0.6821342925659473,0.014388489208633146,0.8321342925659473,Too little,0.15,0.5,0.605,0.28507841209047136,0.675,0.09352517985611505,-0.30846,0.3199215879095286,-0.6821342925659473
