retrait,condition,metrique,moyenne_groupe,moyenne_temoin,n_groupe,n_temoin,difference,ic_items_bas,ic_items_haut,p_permutation
vote16,humains vague 2,ratio_entropie,0.979716,1.003578,11,65,-0.023863,-0.053892,0.006220,0.276472
les quatre nominaux,B0 mode,distance,0.237778,0.284026,8,65,-0.046248,-0.091701,-0.003680,0.356464
les quatre nominaux,B0 mode,ratio_entropie,0.127502,0.018466,8,65,0.109035,-0.025804,0.281802,0.038696
les quatre nominaux,B0 tirage,distance,0.031701,0.045479,8,65,-0.013777,-0.026068,-0.001485,0.247375
les quatre nominaux,B0 tirage,ratio_entropie,0.987774,0.982040,8,65,0.005733,-0.050024,0.063442,0.864514
les quatre nominaux,B1 argmax,distance,0.107049,0.104308,8,65,0.002741,-0.032985,0.039817,0.886011
les quatre nominaux,B1 argmax,ratio_entropie,0.721402,0.689480,8,65,0.031922,-0.106022,0.167087,0.725127
les quatre nominaux,B2 argmax,distance,0.116632,0.135744,8,65,-0.019112,-0.050885,0.013583,0.478752
les quatre nominaux,B2 argmax,ratio_entropie,0.660532,0.564591,8,65,0.095941,-0.055761,0.240645,0.363864
les quatre nominaux,B3 foret,distance,0.140694,0.158846,8,65,-0.018152,-0.068879,0.036537,0.514349
les quatre nominaux,B3 foret,ratio_entropie,0.548506,0.455807,8,65,0.092699,-0.134322,0.300799,0.436256
les quatre nominaux,C2,distance,0.158507,0.210103,8,65,-0.051596,-0.106168,0.002478,0.357564
les quatre nominaux,C2,ratio_entropie,0.666659,0.653068,8,65,0.013591,-0.182209,0.184572,0.914309
les quatre nominaux,C3,distance,0.191424,0.210308,8,65,-0.018884,-0.093990,0.062480,0.755924
les quatre nominaux,C3,ratio_entropie,0.657453,0.693007,8,65,-0.035553,-0.200310,0.109438,0.810319
les quatre nominaux,agents composite,distance,0.118156,0.074561,8,65,0.043596,0.004638,0.080587,0.038996
les quatre nominaux,agents composite,ratio_entropie,0.775096,0.918357,8,65,-0.143261,-0.311628,0.018095,0.028697
les quatre nominaux,agents demographiques (v6),distance,0.176192,0.151278,8,65,0.024914,-0.027459,0.074341,0.492651
les quatre nominaux,agents demographiques (v6),ratio_entropie,0.515177,0.594463,8,65,-0.079286,-0.293479,0.116256,0.516448
les quatre nominaux,agents enquete,distance,0.118819,0.094807,8,65,0.024012,-0.004804,0.055758,0.252275
les quatre nominaux,agents enquete,ratio_entropie,0.721031,0.886792,8,65,-0.165762,-0.316923,-0.041396,0.065693
les quatre nominaux,agents entretien (v3),distance,0.128264,0.091066,8,65,0.037198,-0.005645,0.078724,0.104990
les quatre nominaux,agents entretien (v3),ratio_entropie,0.756857,0.884885,8,65,-0.128028,-0.302703,0.057928,0.142786
les quatre nominaux,agents v7,distance,0.173961,0.165317,8,65,0.008643,-0.040008,0.064700,0.796920
les quatre nominaux,agents v7,ratio_entropie,0.578323,0.607700,8,65,-0.029377,-0.168834,0.111831,0.751625
les quatre nominaux,agents v8,distance,0.122917,0.117462,8,65,0.005455,-0.039256,0.052953,0.869313
les quatre nominaux,agents v8,ratio_entropie,0.753247,0.819892,8,65,-0.066645,-0.272902,0.127660,0.585841
les quatre nominaux,humains vague 2,distance,0.022326,0.026735,8,65,-0.004409,-0.010533,0.001924,0.502950
les quatre nominaux,humains vague 2,ratio_entropie,0.989341,1.003578,8,65,-0.014238,-0.047919,0.018391,0.585641
attend,B0 mode,distance,0.263232,0.284026,11,65,-0.020793,-0.090909,0.049026,0.639436
