source,camp,mode,lecture,statistique,taux_total,valeur_moyenne,reference,s0,z,p_bilateral,puissance_empirique,n_tirages,tau_etoile_holm3,courbe_a,courbe_b,courbe_r2
B0 segment,gauche,concentre,camp,C,0.3,0.029652278177458035,0.03477218225419664,0.0018824072242574841,-2.719870605446786,0.006530746628438689,0.7,10,0.41500000000000004,-0.023046358348567626,0.020167058108881173,0.9960498089322671
C2,droite,concentre,global,A,0.02,-0.07432655141721364,-0.068442386630964,0.0042774784373516,-1.3756153005631107,0.1689407671178955,0.0,10,0.04705,-0.29409060307125395,-0.005881812061425079,1.0
C2,droite,concentre,global,B,0.02,0.04346912686780567,0.0421897808968637,0.001524859107359,0.838992904175753,0.40147329149788463,0.0,10,0.07705000000000001,0.06394172185835538,0.0012788344371671076,1.0
C2,droite,concentre,global,C,0.02,0.028802281368821292,0.0272338403041825,0.0009241516858999,1.6971684286995692,0.08966482211156884,0.0,10,0.03815,0.07839069695315833,0.0015678139390631664,1.0
C2,droite,concentre,camp,A,0.02,-0.05924069957200708,-0.04240789140881873,0.005220668890779636,-3.224262736316648,0.0012629746597872852,1.0,10,0.0201,-0.841303886604776,-0.016826077732095518,1.0
C2,droite,concentre,camp,B,0.02,0.0410536464805819,0.03606690150542229,0.001803978879310672,2.7643034141647593,0.005704446859123123,0.8,10,0.023450000000000002,0.24923755373648585,0.004984751074729717,1.0
C2,droite,concentre,camp,C,0.02,0.030722891566265058,0.025753012048192775,0.0014427410880173514,3.4447480281455127,0.0005715919555610666,0.9,10,0.0188,0.24839461805639165,0.004967892361127833,1.0
C2,droite,uniforme,global,A,0.02,-0.07231246662268528,-0.068442386630964,0.0042774784373516,-0.9047573350521544,0.3655939590071298,0.0,10,0.0517,-0.19174962359244613,-1.471451769088144,0.999675528381206
C2,droite,uniforme,global,A,0.05,-0.0820627328734749,-0.068442386630964,0.0042774784373516,-3.1841998602671957,0.0014515475395496921,0.9,10,0.0517,-0.19174962359244613,-1.471451769088144,0.999675528381206
C2,droite,uniforme,global,A,0.1,-0.10226544749855848,-0.068442386630964,0.0042774784373516,-7.907242868192231,2.631519277293164e-15,1.0,10,0.0517,-0.19174962359244613,-1.471451769088144,0.999675528381206
