statistique,source_evaluee,calibration,source_calibration,taux_vrai,taux_estime_median,erreur_absolue_mediane,erreur_quadratique_moyenne,n_tirages
A,agents composite,croisee,IM m=10 mode des m,0.05,0.050325,0.009975000000000001,0.012051042486025846,20
A,agents composite,croisee,IM m=10 mode des m,0.1,0.09465000000000001,0.018825,0.02360022510485864,20
A,agents composite,croisee,IM m=10 mode des m,0.25,0.32500000000000007,0.07500000000000004,0.07829252758086178,20
A,agents composite,croisee,IM m=10 mode des m,0.5,0.8895500000000001,0.38955000000000006,0.39379426243280896,20
A,agents composite,croisee,PMM k=10,0.05,0.109675,0.059675,0.06218002894820813,20
A,agents composite,croisee,PMM k=10,0.1,0.21325,0.11325,0.12612540981102896,20
A,agents composite,croisee,PMM k=10,0.25,1.0,0.75,0.709386233567441,20
A,agents composite,croisee,PMM k=10,0.5,1.0,0.5,0.5,20
A,agents composite,croisee,agents demographiques (v6),0.05,0.025300000000000003,0.0247,0.02624654262945884,20
A,agents composite,croisee,agents demographiques (v6),0.1,0.046825000000000006,0.053175,0.054632153993779166,20
A,agents composite,croisee,agents demographiques (v6),0.25,0.147675,0.102325,0.1052489026071056,20
A,agents composite,croisee,agents demographiques (v6),0.5,0.32125000000000004,0.17875,0.1797478675116898,20
A,agents composite,croisee,agents v8,0.05,0.01225,0.037750000000000006,0.0382722190367896,20
A,agents composite,croisee,agents v8,0.1,0.02275,0.07725,0.07759787851481509,20
A,agents composite,croisee,agents v8,0.25,0.07265,0.17734999999999998,0.17847603305486145,20
A,agents composite,croisee,agents v8,0.5,0.1614,0.3386,0.3389202478091269,20
A,agents composite,croisee,humains vague 2,0.05,0.30752500000000005,0.257525,0.2643670859335557,20
A,agents composite,croisee,humains vague 2,0.1,0.72915,0.6291500000000001,0.6543844554235684,20
A,agents composite,croisee,humains vague 2,0.25,1.0,0.75,0.75,20
A,agents composite,croisee,humains vague 2,0.5,1.0,0.5,0.5,20
A,agents composite,agnostique,moyenne des sources a modele de langage,0.05,0.021275000000000002,0.028725,0.029851229036674518,20
A,agents composite,agnostique,moyenne des sources a modele de langage,0.1,0.037975,0.062025,0.06294564123114484,20
A,agents composite,agnostique,moyenne des sources a modele de langage,0.25,0.10502500000000001,0.144975,0.14651900218060454,20
A,agents composite,agnostique,moyenne des sources a modele de langage,0.5,0.19685000000000002,0.30315,0.3035031083036877,20
A,agents demographiques (v6),propre,agents demographiques (v6),0.05,0.04037500000000001,0.009624999999999998,0.011699957264879218,20
A,agents demographiques (v6),propre,agents demographiques (v6),0.1,0.0947,0.009325,0.016430391048298274,20
A,agents demographiques (v6),propre,agents demographiques (v6),0.25,0.25965000000000005,0.012999999999999984,0.017920327145451338,20
A,agents demographiques (v6),propre,agents demographiques (v6),0.5,0.5021,0.009750000000000009,0.019431404992948913,20
A,agents demographiques (v6),croisee,B0 segment,0.05,0.0,0.05,0.05000000000000001,20
A,agents demographiques (v6),croisee,B0 segment,0.1,0.0,0.1,0.10000000000000002,20
A,agents demographiques (v6),croisee,B0 segment,0.25,0.0,0.25,0.25,20
A,agents demographiques (v6),croisee,B0 segment,0.5,0.0,0.5,0.5,20
A,agents demographiques (v6),croisee,C2,0.05,0.024,0.026000000000000002,0.025890690894605346,20
A,agents demographiques (v6),croisee,C2,0.1,0.0512,0.0488,0.05073639719175969,20
A,agents demographiques (v6),croisee,C2,0.25,0.116275,0.133725,0.13443670769176105,20
A,agents demographiques (v6),croisee,C2,0.5,0.1902,0.30979999999999996,0.31089629621467024,20
A,agents demographiques (v6),croisee,C3,0.05,0.045375,0.005125000000000001,0.0075960269220165366,20
A,agents demographiques (v6),croisee,C3,0.1,0.08245,0.017550000000000003,0.021385921186612467,20
