condition,axe_transport,variante,axe_mesure,mesure,ratio_inter,inter_ic_bas,inter_ic_haut,ratio_intra,intra_ic_bas,intra_ic_haut,ratio_global,exactitude,exact_ic_bas,exact_ic_haut,delta_exactitude,delta_ic_bas,delta_ic_haut,diversite_conservee,accord_paires,part_changee
agents demographiques (v8),profil croise,dilatation,_tous_axes,entropie,2.4817,2.3385,2.6008,1.0059,0.9974,1.0150,1.0412,0.4933,0.4887,0.4978,-0.0658,-0.0691,-0.0624,1.0415,0.4538,0.1887
agents demographiques (v8),profil croise,dilatation,_tous_axes,gini_simpson,2.8774,2.7002,3.0382,1.0324,1.0229,1.0430,1.0766,0.4933,0.4887,0.4978,-0.0658,-0.0691,-0.0624,1.0415,0.4538,0.1887
agents composite,political_ideology,naive,political_ideology,entropie,0.9242,0.8750,0.9745,0.8915,0.8856,0.8974,0.8930,0.6658,0.6620,0.6697,-0.0181,-0.0193,-0.0170,0.8929,0.5391,0.0390
agents composite,political_ideology,naive,political_ideology,gini_simpson,1.0013,0.9467,1.0615,0.9036,0.8969,0.9102,0.9085,0.6658,0.6620,0.6697,-0.0181,-0.0193,-0.0170,0.8929,0.5391,0.0390
agents composite,political_ideology,naive,profil croise,entropie,1.0043,0.9628,1.0481,0.8865,0.8805,0.8929,0.8930,0.6658,0.6620,0.6697,-0.0181,-0.0193,-0.0170,0.8929,0.5391,0.0390
agents composite,political_ideology,naive,profil croise,gini_simpson,1.0718,1.0200,1.1225,0.8991,0.8926,0.9058,0.9085,0.6658,0.6620,0.6697,-0.0181,-0.0193,-0.0170,0.8929,0.5391,0.0390
agents composite,political_ideology,naive,_tous_axes,entropie,1.0095,0.9754,1.0455,0.8902,0.8853,0.8954,0.8930,0.6658,0.6620,0.6697,-0.0181,-0.0193,-0.0170,0.8929,0.5391,0.0390
agents composite,political_ideology,naive,_tous_axes,gini_simpson,1.0602,1.0192,1.1072,0.9048,0.8991,0.9102,0.9085,0.6658,0.6620,0.6697,-0.0181,-0.0193,-0.0170,0.8929,0.5391,0.0390
agents composite,political_ideology,informee,political_ideology,entropie,0.9242,0.8412,1.0059,0.8915,0.8834,0.8985,0.8930,0.6750,0.6710,0.6791,-0.0090,-0.0101,-0.0079,0.8929,0.5391,0.0390
agents composite,political_ideology,informee,political_ideology,gini_simpson,1.0013,0.9129,1.0924,0.9036,0.8945,0.9118,0.9085,0.6750,0.6710,0.6791,-0.0090,-0.0101,-0.0079,0.8929,0.5391,0.0390
agents composite,political_ideology,informee,profil croise,entropie,1.0553,0.9953,1.1152,0.8835,0.8756,0.8913,0.8930,0.6750,0.6710,0.6791,-0.0090,-0.0101,-0.0079,0.8929,0.5391,0.0390
agents composite,political_ideology,informee,profil croise,gini_simpson,1.1275,1.0487,1.2005,0.8960,0.8874,0.9046,0.9085,0.6750,0.6710,0.6791,-0.0090,-0.0101,-0.0079,0.8929,0.5391,0.0390
agents composite,political_ideology,informee,_tous_axes,entropie,1.0774,1.0305,1.1262,0.8885,0.8828,0.8940,0.8930,0.6750,0.6710,0.6791,-0.0090,-0.0101,-0.0079,0.8929,0.5391,0.0390
agents composite,political_ideology,informee,_tous_axes,gini_simpson,1.1309,1.0733,1.1903,0.9030,0.8963,0.9095,0.9085,0.6750,0.6710,0.6791,-0.0090,-0.0101,-0.0079,0.8929,0.5391,0.0390
agents composite,profil croise,naive,political_ideology,entropie,1.3408,1.2791,1.4069,0.8718,0.8658,0.8783,0.8936,0.6700,0.6663,0.6738,-0.0139,-0.0148,-0.0130,0.8935,0.5385,0.0296
